script	stamped_on	stamp_source	file	bytes	sha256	rows	file_mtime
build-data.R	2026-08-17	disk	derived/blocks_check.csv	175	sha256:8db2727361507f1e86da655ead91b6a5a7f675b9ddb52e0617e51eaac23c3c52	2	2026-08-13
build-data.R	2026-08-17	disk	derived/checks.csv	842	sha256:3290aa12ad818f922a38bcf44a686092bbd7ada510d7dbad9c3aa145d2096d0b	13	2026-08-13
build-data.R	2026-08-17	disk	derived/churn.csv	271	sha256:8f59d69c3a61d8f4d637bc71d26d384c3a5d8b511251075f00ee88c540a16f94	6	2026-08-13
build-data.R	2026-08-17	disk	derived/cities.csv	291	sha256:ff4aa5c964e3ee5d4014a071acb467c60e1a863f6cc4d4b3c81803be37fdd3d2	6	2026-08-13
build-data.R	2026-08-17	disk	derived/cities_big.csv	4597	sha256:52a451e4a980db4038956947b2c03c69ef3ede8e65eeb038e25baf998d035cc4	100	2026-08-13
build-data.R	2026-08-17	disk	derived/digit_rows.csv	421	sha256:8fb2ddf8748701e7699d78b53c63c3e910bdbe455ea65105481c2b82a3a0591f	10	2026-08-13
build-data.R	2026-08-17	disk	derived/digits.csv	1823335	sha256:9796cd2bec415954716615d4051275f0f8f2d8f17dda85c60bab6ba21f7be6b3	33791	2026-08-13
build-data.R	2026-08-17	disk	derived/facts.csv	3583	sha256:49a7efc2e311c19bae606bc46552888522552c89eb4f3b32b5b64ad4201ed91a	49	2026-08-13
build-data.R	2026-08-17	disk	derived/lists.csv	384	sha256:bee5712f8aa8bb1dae5eaf516bd84ac83428c171230371ce098d1d42f780cc6b	5	2026-08-13
build-data.R	2026-08-17	disk	derived/nesting.csv	287	sha256:e14ec75c7abe18cae41871b8535264c9c197c6fdb7ef07296c2aba5868cb94de	3	2026-08-13
build-data.R	2026-08-17	disk	derived/no_ground.csv	487	sha256:f280bd04d7bf83a1c6552254cb28eb436aabc234bd80431c87ffe29b77c25d3e	5	2026-08-13
build-data.R	2026-08-17	disk	derived/no_ground_kind.csv	989	sha256:62c020c7c5dc0c5732381eca856db1c1aaa3b197e87c6b98c23031360e576697	53	2026-08-13
build-data.R	2026-08-17	disk	derived/pa_split.csv	197	sha256:222135a518de3c2947db368d9eeca9b397bd7dbabed0e032f8503ba420bdc200	3	2026-08-13
build-data.R	2026-08-17	disk	derived/pgh_blocks.csv	243050	sha256:59ae42885cc5f641f56ff115d1017f85b3dfd598a266385cde29791c919fd1e9	7828	2026-08-13
build-data.R	2026-08-17	disk	derived/pgh_ids.csv	1473	sha256:4b14261b7f368ca22ad467e60e917e2453016bf5ec043784932a3affd1fb003a	46	2026-08-13
build-data.R	2026-08-17	disk	derived/pgh_rings.csv	97604	sha256:5357cd45d7ed8c276f4ffc65466d78717110cf816b99f17cb1b24905d1610aa6	4501	2026-08-13
build-data.R	2026-08-17	disk	derived/scf.csv	35979	sha256:8fc7a3482673c6a36c165ac32252b822418cdd48427472baa6852092f03d1b50	896	2026-08-13
build-data.R	2026-08-17	disk	derived/zip_vs_zcta.csv	1020	sha256:94fd940e6818def029f0a4821d4cb27faddbf8ef9434c3c239c5e511608cf07d	9	2026-08-13
build-data.R	2026-08-17	disk	raw/2024_Gaz_zcta_national.zip	1013803	sha256:7b85c04a131672f58b38a950eb82855d5fd4054f0bd9bc3f69aa28897a714e3d		2026-08-13
build-data.R	2026-08-17	disk	raw/geonames-US.zip	634334	sha256:64516a3e8c5b358c05b765cea3624f37d714bfedd782617547c49ddc90e331c4		2026-08-13
