"national_2p","margin","seats"
38,-24,126
38.1,-23.8,126
38.2,-23.6,127
38.3,-23.4,127
38.4,-23.2,128
38.5,-23,128
38.6,-22.8,128
38.7,-22.6,129
38.8,-22.4,129
38.9,-22.2,130
39,-22,131
39.1,-21.8,131
39.2,-21.6,134
39.3,-21.4,134
39.4,-21.2,134
39.5,-21,134
39.6,-20.8,136
39.7,-20.6,136
39.8,-20.4,137
39.9,-20.2,138
40,-20,139
40.1,-19.8,139
40.2,-19.6,140
40.3,-19.4,142
40.4,-19.2,142
40.5,-19,143
40.6,-18.8,144
40.7,-18.6,145
40.8,-18.4,146
40.9,-18.2,147
41,-18,147
41.1,-17.8,148
41.2,-17.6,150
41.3,-17.4,151
41.4,-17.2,151
41.5,-17,152
41.6,-16.8,153
41.7,-16.6,153
41.8,-16.4,154
41.9,-16.2,155
42,-16,156
42.1,-15.8,156
42.2,-15.6,157
42.3,-15.4,160
42.4,-15.2,163
42.5,-15,164
42.6,-14.8,165
42.7,-14.6,165
42.8,-14.4,165
42.9,-14.2,166
43,-14,166
43.1,-13.8,168
43.2,-13.6,168
43.3,-13.4,168
43.4,-13.2,168
43.5,-13,168
43.6,-12.8,170
43.7,-12.6,171
43.8,-12.4,171
43.9,-12.2,171
44,-12,171
44.1,-11.8,174
44.2,-11.6,175
44.3,-11.4,177
44.4,-11.2,178
44.5,-11,180
44.6,-10.8,182
44.7,-10.6,183
44.8,-10.4,185
44.9,-10.2,185
45,-10,186
45.1,-9.8,186
45.2,-9.6,187
45.3,-9.4,189
45.4,-9.2,189
45.5,-9,190
45.6,-8.8,190
45.7,-8.6,191
45.8,-8.4,191
45.9,-8.2,192
46,-8,192
46.1,-7.8,193
46.2,-7.6,195
46.3,-7.4,195
46.4,-7.2,196
46.5,-7,197
46.6,-6.8,198
46.7,-6.6,199
46.8,-6.4,199
46.9,-6.2,200
47,-6,200
47.1,-5.8,200
47.2,-5.6,202
47.3,-5.4,204
47.4,-5.2,207
47.5,-5,207
47.6,-4.8,209
47.7,-4.6,210
47.8,-4.4,211
47.9,-4.2,211
48,-4,211
48.1,-3.8,211
48.2,-3.6,211
48.3,-3.4,212
48.4,-3.2,213
48.5,-3,213
48.6,-2.8,214
48.7,-2.6,215
48.8,-2.4,216
48.9,-2.2,216
49,-2,216
49.1,-1.8,217
49.2,-1.6,219
49.3,-1.4,220
49.4,-1.2,220
49.5,-1,221
49.6,-0.8,222
49.7,-0.6,222
49.8,-0.4,222
49.9,-0.2,222
50,0,223
50.1,0.2,224
50.2,0.4,224
50.3,0.6,224
50.4,0.8,225
50.5,1,225
50.6,1.2,228
50.7,1.4,229
50.8,1.6,229
50.9,1.8,229
51,2,229
51.1,2.2,229
51.2,2.4,229
51.3,2.6,230
51.4,2.8,231
51.5,3,231
51.6,3.2,231
51.7,3.4,231
51.8,3.6,231
51.9,3.8,233
52,4,233
52.1,4.2,234
52.2,4.4,234
52.3,4.6,234
52.4,4.8,234
52.5,5,234
52.6,5.2,234
52.7,5.4,235
52.8,5.6,235
52.9,5.8,235
53,6,235
53.1,6.2,235
53.2,6.4,236
53.3,6.6,236
53.4,6.8,236
53.5,7,237
53.6,7.2,237
53.7,7.4,237
53.8,7.6,237
53.9,7.8,238
54,8,239
54.1,8.2,239
54.2,8.4,241
54.3,8.6,241
54.4,8.8,241
54.5,9,241
54.6,9.2,242
54.7,9.4,242
54.8,9.6,243
54.9,9.8,245
55,10,245
55.1,10.2,247
55.2,10.4,250
55.3,10.6,250
55.4,10.8,250
55.5,11,251
55.6,11.2,251
55.7,11.4,251
55.8,11.6,252
55.9,11.8,253
56,12,255
56.1,12.2,255
56.2,12.4,256
56.3,12.6,256
56.4,12.8,257
56.5,13,257
56.6,13.2,258
56.7,13.4,259
56.8,13.6,260
56.9,13.8,260
57,14,261
57.1,14.2,261
57.2,14.4,263
57.3,14.6,266
57.4,14.8,266
57.5,15,266
57.6,15.2,267
57.7,15.4,268
57.8,15.6,268
57.9,15.8,268
58,16,270
58.1,16.2,270
58.2,16.4,273
58.3,16.6,274
58.4,16.8,275
58.5,17,277
58.6,17.2,279
58.7,17.4,279
58.8,17.6,282
58.9,17.8,282
59,18,284
59.1,18.2,287
59.2,18.4,287
59.3,18.6,287
59.4,18.8,289
59.5,19,289
59.6,19.2,290
59.7,19.4,291
59.8,19.6,291
59.9,19.8,291
60,20,292
60.1,20.2,294
60.2,20.4,294
60.3,20.6,297
60.4,20.8,298
60.5,21,300
60.6,21.2,300
60.7,21.4,302
60.8,21.6,303
60.9,21.8,304
61,22,305
61.1,22.2,306
61.2,22.4,308
61.3,22.6,308
61.4,22.8,309
61.5,23,310
61.6,23.2,312
61.7,23.4,314
61.8,23.6,315
61.9,23.8,316
62,24,316
