"year","pres_year","midterm","state","sen_2p","pres_2p","gap","resid"
2020,2020,FALSE,"North Carolina",49.06,49.32,-0.26,0.28
2020,2020,FALSE,"Massachusetts",66.73,67.12,-0.38,0.16
2020,2020,FALSE,"Wyoming",26.9,27.52,-0.62,-0.08
2020,2020,FALSE,"Michigan",50.87,51.41,-0.55,0
2022,2020,TRUE,"Hawaii",73.25,65.03,8.22,9.8
2022,2020,TRUE,"South Dakota",27.35,36.57,-9.22,-7.64
2022,2020,TRUE,"South Carolina",37.04,44.07,-7.04,-5.46
2022,2020,TRUE,"Florida",41.72,48.3,-6.59,-5.01
2022,2020,TRUE,"Arizona",52.5,50.15,2.35,3.93
2022,2020,TRUE,"Alabama",31.69,37.09,-5.4,-3.82
2022,2020,TRUE,"Pennsylvania",52.51,50.51,2,3.58
2022,2020,TRUE,"New York",57.03,61.73,-4.7,-3.12
2022,2020,TRUE,"Kentucky",38.2,36.8,1.4,2.98
2022,2020,TRUE,"Kansas",38.14,42.51,-4.36,-2.79
2022,2020,TRUE,"Missouri",43.24,42.16,1.07,2.65
2022,2020,TRUE,"Ohio",46.95,45.92,1.02,2.6
2022,2020,TRUE,"New Hampshire",54.69,53.75,0.95,2.52
2022,2020,TRUE,"California",61.1,64.91,-3.81,-2.23
2022,2020,TRUE,"Arkansas",32.02,35.79,-3.76,-2.19
2022,2020,TRUE,"Colorado",57.51,56.94,0.57,2.15
2022,2020,TRUE,"Oklahoma",33.3,33.06,0.24,1.81
2022,2020,TRUE,"Connecticut",57.5,60.18,-2.68,-1.1
2022,2020,TRUE,"Washington",57.27,59.92,-2.65,-1.07
2022,2020,TRUE,"Oregon",57.69,58.3,-0.62,0.96
2022,2020,TRUE,"Indiana",39.27,41.8,-2.53,-0.95
2022,2020,TRUE,"Nevada",50.41,51.22,-0.81,0.77
2022,2020,TRUE,"Wisconsin",49.5,50.32,-0.82,0.76
2022,2020,TRUE,"Illinois",57.78,58.66,-0.88,0.7
2022,2020,TRUE,"North Carolina",48.36,49.32,-0.96,0.62
2022,2020,TRUE,"Idaho",32.1,34.12,-2.02,-0.44
2022,2020,TRUE,"Iowa",43.89,45.82,-1.93,-0.35
2022,2020,TRUE,"Maryland",65.8,67.03,-1.23,0.35
