"model","p_house","p_senate","p_both","p_neither","p_split","p_independent"
"one national error, shared by both chambers",0.9044,0.5888,0.5865,0.0933,0.3202,0.5325
"a separate national error for each chamber",0.9036,0.588,0.532,0.0404,0.4276,0.5313
