"stcd","district_id","state","district","dv","dpres","base","imputed","no_totals","uncontested","top_two","party_2024"
3803,"PA-03","Pennsylvania",3,NA,88.89,91.4047,TRUE,FALSE,1,0,"D"
512,"CA-12","California",12,NA,88.54,91.031,TRUE,FALSE,0,1,"D"
2004,"MD-04","Maryland",4,88.72,87.63,88.72,FALSE,FALSE,0,0,"D"
1005,"GA-05","Georgia",5,85.68,85.86,85.68,FALSE,FALSE,0,0,"D"
3210,"NY-10","New York",10,84.59,80.61,84.59,FALSE,FALSE,0,0,"D"
2107,"MA-07","Massachusetts",7,NA,82.47,84.5512,TRUE,FALSE,1,0,"D"
4707,"WA-07","Washington",7,84.18,88.66,84.18,FALSE,FALSE,0,0,"D"
3213,"NY-13","New York",13,83.54,79.8,83.54,FALSE,FALSE,0,0,"D"
537,"CA-37","California",37,NA,81.44,83.4516,TRUE,FALSE,1,0,"D"
1307,"IL-07","Illinois",7,83.3,82.83,83.3,FALSE,FALSE,0,0,"D"
2007,"MD-07","Maryland",7,82.38,80.41,82.38,FALSE,FALSE,0,0,"D"
511,"CA-11","California",11,81.03,85.42,81.03,FALSE,FALSE,0,0,"D"
2501,"MO-01","Missouri",1,80.52,78.79,80.52,FALSE,FALSE,0,0,"D"
3212,"NY-12","New York",12,80.51,82.65,80.51,FALSE,FALSE,0,0,"D"
3511,"OH-11","Ohio",11,79.95,77.78,79.95,FALSE,FALSE,0,0,"D"
2008,"MD-08","Maryland",8,78.96,79.38,78.96,FALSE,FALSE,0,0,"D"
534,"CA-34","California",34,NA,76.84,78.541,TRUE,FALSE,0,1,"D"
3215,"NY-15","New York",15,78.36,74.75,78.36,FALSE,FALSE,0,0,"D"
3207,"NY-07","New York",7,78.11,73.47,78.11,FALSE,FALSE,0,0,"D"
601,"CO-01","Colorado",1,78.01,78.57,78.01,FALSE,FALSE,0,0,"D"
3010,"NJ-10","New Jersey",10,76.99,75.76,76.99,FALSE,FALSE,0,0,"D"
4904,"WI-04","Wisconsin",4,76.94,76.53,76.94,FALSE,FALSE,0,0,"D"
516,"CA-16","California",16,NA,75,76.5768,TRUE,FALSE,0,1,"D"
4337,"TX-37","Texas",37,75.89,75.51,75.89,FALSE,FALSE,0,0,"D"
