"state","last_name","first_name","party","held","pres24_2p","baseline"
"MA","Markey","Edward","Democrat","D",62.9576,62.9576
"DE","Coons","Christopher","Democrat","D",57.4786,57.4786
"OR","Merkley","Jeff","Democrat","D",57.4293,57.4293
"RI","Reed","John","Democrat","D",57.0812,57.0812
"CO","Hickenlooper","John","Democrat","D",55.6492,55.6492
"IL","Durbin","Richard","Democrat","D",55.5703,55.5703
"ME","Collins","Susan","Republican","R",53.5459,53.5459
"NM","Luján","Ben","Democrat","D",53.0706,53.0706
"NJ","Booker","Cory","Democrat","D",53.0144,53.0144
"VA","Warner","Mark","Democrat","D",52.9526,52.9526
"MN","Smith","Tina","Democrat","D",52.1721,52.1721
"NH","Shaheen","Jeanne","Democrat","D",51.4109,51.4109
"MI","Peters","Gary","Democrat","D",49.2758,49.2758
"GA","Ossoff","Jon","Democrat","D",48.8918,48.8918
"NC","Tillis","Thom","Republican","R",48.3707,48.3707
"IA","Ernst","Joni","Republican","R",43.2774,43.2774
"AK","Sullivan","Dan","Republican","R",43.1579,43.1579
"TX","Cornyn","John","Republican","R",43.0629,43.0629
"KS","Marshall","Roger","Republican","R",41.7923,41.7923
"SC","Graham Nordone","Darline","Republican","R",40.9372,40.9372
"MT","Daines","Steve","Republican","R",39.7109,39.7109
"NE","Ricketts","Pete","Republican","R",39.5804,39.5804
"LA","Cassidy","Bill","Republican","R",38.8195,38.8195
"MS","Hyde-Smith","Cindy","Republican","R",38.4265,38.4265
"SD","Rounds","Mike","Republican","R",35.0568,35.0568
"TN","Hagerty","Bill","Republican","R",34.9382,34.9382
"AL","Tuberville","Tommy","Republican","R",34.5596,34.5596
"KY","McConnell","Mitch","Republican","R",34.4884,34.4884
"AR","Cotton","Tom","Republican","R",34.329,34.329
"OK","Armstrong","Alan","Republican","R",32.5311,32.5311
"ID","Risch","James","Republican","R",31.2391,31.2391
"WV","Capito","Shelley","Republican","R",28.653,28.653
"WY","Lummis","Cynthia","Republican","R",26.5189,26.5189
