"year","state_abbrev","two","rel","national_two"
1980,"WY",30.8686,-13.9738,44.8424
1984,"WY",28.5975,-12.2329,40.8304
1988,"WY",38.5732,-7.5253,46.0985
1992,"WY",46.206,-7.249,53.455
1996,"WY",42.5101,-12.2263,54.7364
2000,"WY",29.0174,-21.2474,50.2648
2004,"WY",29.6845,-19.0715,48.756
2008,"WY",33.4361,-20.2527,53.6888
2012,"WY",28.841,-23.1229,51.9639
2016,"WY",24.2976,-26.8157,51.1133
2020,"WY",27.5158,-24.754,52.2698
2024,"WY",26.5189,-22.731,49.2499
