"state","first","last","change","lo","hi","range","rel_first","rel_last","rel_change","dem_wins","flips"
"AR",65.02,34.33,-30.69,34.33,65.02,30.69,13.97,-14.92,-28.89,3,3
"WV",58.07,28.65,-29.42,27.84,58.35,30.51,7.02,-20.6,-27.62,5,3
"AL",56.67,34.56,-22.11,34.56,56.67,22.11,5.62,-14.69,-20.31,1,1
"TN",56.57,34.94,-21.64,34.94,56.57,21.64,5.52,-14.31,-19.84,3,3
"KY",53.65,34.49,-19.16,34.33,53.65,19.32,2.6,-14.76,-17.36,3,3
"GA",66.94,48.89,-18.05,39.8,66.94,27.14,15.89,-0.36,-16.25,4,5
"OK",49.39,32.53,-16.85,30.7,49.39,18.69,-1.66,-16.72,-15.06,0,0
"ND",46.99,31.3,-15.69,29.02,46.99,17.97,-4.06,-17.95,-13.89,0,0
"SC",56.57,40.94,-15.63,35.89,56.57,20.68,5.52,-8.31,-13.83,1,1
"SD",49.25,35.06,-14.2,34.03,49.25,15.22,-1.79,-14.19,-12.4,0,0
"LA",52.96,38.82,-14.14,38.59,56.56,17.98,1.91,-10.43,-12.34,3,3
"WY",40.17,26.52,-13.65,24.3,46.21,21.91,-10.88,-22.73,-11.85,0,0
"MS",50.97,38.43,-12.54,37.72,50.97,13.25,-0.08,-10.82,-10.74,1,1
"MO",51.84,40.66,-11.18,39.98,56.51,16.53,0.79,-8.59,-9.38,3,3
"FL",52.68,43.39,-9.29,34.67,53.15,18.49,1.63,-5.86,-7.49,4,5
"TX",51.6,43.06,-8.54,36.21,51.6,15.39,0.55,-6.19,-6.74,1,1
"NC",55.55,48.37,-7.18,37.97,55.55,17.58,4.5,-0.88,-5.38,2,3
"ID",38.27,31.24,-7.03,26.72,40.34,13.62,-12.78,-18.01,-5.23,0,0
"MT",46.21,39.71,-6.5,36.34,51.73,15.39,-4.84,-9.54,-4.7,1,2
"IA",49.48,43.28,-6.21,42.93,55.73,12.8,-1.56,-5.97,-4.41,6,4
"OH",50.14,44.27,-5.87,40.53,53.6,13.07,-0.91,-4.98,-4.07,5,5
"IN",46.15,40.35,-5.81,37.93,50.53,12.6,-4.9,-8.9,-4.01,1,2
"MN",56.64,52.17,-4.47,50.09,59.38,9.29,5.6,2.92,-2.67,13,0
"KS",46.13,41.79,-4.33,32.97,46.46,13.49,-4.92,-7.46,-2.53,0,0
"PA",51.36,49.14,-2.22,46.14,55.56,9.42,0.31,-0.11,-0.42,8,5
"WI",50.86,49.56,-1.3,45.38,57.06,11.68,-0.18,0.31,0.5,9,5
"NE",39.39,39.58,0.19,28.44,42.39,13.96,-11.66,-9.67,1.99,0,0
"NV",47.73,48.42,0.69,30.07,56.39,26.32,-3.32,-0.83,2.49,6,4
"RI",55.67,57.08,1.41,48.17,69,20.83,4.62,7.83,3.21,12,2
"MI",47.26,49.28,2.02,40.45,58.37,17.92,-3.79,0.03,3.82,7,4
"VA",49.32,52.95,3.64,37.32,55.15,17.83,-1.73,3.7,5.44,5,1
"UT",35.02,38.89,3.87,22.04,39.31,17.27,-16.03,-10.36,5.67,0,0
"ME",49.57,53.55,3.98,38.93,62.66,23.73,-1.48,4.3,5.78,9,1
"NJ",48.9,53.01,4.12,39.48,59.97,20.49,-2.15,3.76,5.92,9,1
"NY",52.22,56.34,4.12,45.98,66.02,20.04,1.17,7.09,5.92,11,2
"NM",48.75,53.07,4.32,39.65,57.67,18.01,-2.3,3.82,6.12,8,3
"DE",52.74,57.48,4.73,40.05,62.64,22.59,1.7,8.23,6.53,10,2
"MA",58.12,62.96,4.84,48.6,68.64,20.04,7.07,13.71,6.64,11,2
"AK",38.11,43.16,5.05,30.95,44.74,13.79,-12.94,-6.09,6.85,0,0
"AZ",41.37,47.22,5.85,31.76,51.21,19.45,-9.68,-2.03,7.65,2,4
"IL",49,55.57,6.57,43.53,62.74,19.2,-2.05,6.32,8.37,9,1
"NH",44.26,51.41,7.15,31.07,55.61,24.54,-6.79,2.16,8.95,8,3
"OR",49.92,57.43,7.51,43.89,58.41,14.52,-1.13,8.18,9.31,10,1
"CT",47.39,57.38,9.99,39,61.32,22.32,-3.66,8.13,11.79,9,1
"DC",83.18,93.31,10.14,83.18,95.69,12.52,32.13,44.06,11.93,13,0
"HI",51.28,61.78,10.5,44.3,73,28.7,0.23,12.53,12.3,12,2
"CA",49.08,60.4,11.32,40.53,66.13,25.6,-1.97,11.15,13.12,9,1
"WA",47.97,59.46,11.49,42.87,59.92,17.04,-3.08,10.21,13.29,10,1
"CO",44.06,55.65,11.58,35.63,56.94,21.3,-6.98,6.4,13.38,6,3
"MD",53.04,64.76,11.72,47.24,67.03,19.79,1.99,15.51,13.52,11,2
"VT",44.26,66.39,22.13,41.34,68.9,27.57,-6.79,17.14,23.93,9,1
