"key","value"
"from","1976"
"to","2024"
"elections","13"
"states","51"
"rows","663"
"up_state","VT"
"up_change","22.13"
"up_first","44.26"
"up_last","66.39"
"dn_state","AR"
"dn_change","-30.69"
"dn_first","65.02"
"dn_last","34.33"
"stable_state","MN"
"stable_range","9.29"
"volatile_state","AR"
"volatile_range","30.69"
"relup_state","VT"
"relup_change","23.93"
"reldn_state","AR"
"reldn_change","-28.89"
"nat_lo","40.8"
"nat_lo_year","1984"
"nat_hi","54.7"
"nat_hi_year","1996"
"median_same","89.2"
"min_same","60.8"
"flips_max","5"
"flips_max_state","GA"
"never_flipped","11"
