"year","national_two"
1976,51.0491
1980,44.8424
1984,40.8304
1988,46.0985
1992,53.455
1996,54.7364
2000,50.2648
2004,48.756
2008,53.6888
2012,51.9639
2016,51.1133
2020,52.2698
2024,49.2499
