justice,name,term,arguments_present,arguments_spoke,turns,words,seconds
anthony_m_kennedy,Anthony M. Kennedy,2012,74,72,723,22868,8129.2
anthony_m_kennedy,Anthony M. Kennedy,2013,67,66,715,21204,7727.0
anthony_m_kennedy,Anthony M. Kennedy,2014,56,54,561,15437,5415.8
anthony_m_kennedy,Anthony M. Kennedy,2015,69,66,828,20190,7278.4
anthony_m_kennedy,Anthony M. Kennedy,2016,62,60,631,15833,5704.6
anthony_m_kennedy,Anthony M. Kennedy,2017,65,61,581,13373,4664.3
david_h_souter,David H. Souter,2005,78,75,1402,44316,15685.0
david_h_souter,David H. Souter,2006,71,67,967,39282,14799.0
david_h_souter,David H. Souter,2007,70,68,1023,41480,15483.7
david_h_souter,David H. Souter,2008,79,75,1205,52979,19210.7
clarence_thomas,Clarence Thomas,2005,78,3,10,273,93.8
clarence_thomas,Clarence Thomas,2006,71,0,0,0,0
clarence_thomas,Clarence Thomas,2007,70,0,0,0,0
clarence_thomas,Clarence Thomas,2008,79,0,0,0,0
clarence_thomas,Clarence Thomas,2009,77,0,0,0,0
clarence_thomas,Clarence Thomas,2010,78,0,0,0,0
clarence_thomas,Clarence Thomas,2011,73,0,0,0,0
clarence_thomas,Clarence Thomas,2012,74,1,1,10,4.8
clarence_thomas,Clarence Thomas,2013,67,0,0,0,0
clarence_thomas,Clarence Thomas,2014,56,0,0,0,0
clarence_thomas,Clarence Thomas,2015,69,1,11,298,151.2
clarence_thomas,Clarence Thomas,2016,62,0,0,0,0
clarence_thomas,Clarence Thomas,2017,65,0,0,0,0
clarence_thomas,Clarence Thomas,2018,71,1,3,39,17.4
clarence_thomas,Clarence Thomas,2019,58,10,73,2780,1295.8
clarence_thomas,Clarence Thomas,2020,58,58,474,19086,9435.0
clarence_thomas,Clarence Thomas,2021,63,59,578,15918,7708.1
clarence_thomas,Clarence Thomas,2022,59,58,548,14903,6889.5
clarence_thomas,Clarence Thomas,2023,61,59,511,12625,5875.2
clarence_thomas,Clarence Thomas,2024,61,61,514,10794,5008.5
clarence_thomas,Clarence Thomas,2025,59,59,533,10305,4905.6
ruth_bader_ginsburg,Ruth Bader Ginsburg,2005,78,78,1196,36081,15556.8
ruth_bader_ginsburg,Ruth Bader Ginsburg,2006,71,71,868,30677,13697.5
ruth_bader_ginsburg,Ruth Bader Ginsburg,2007,70,70,1143,39647,17300.1
ruth_bader_ginsburg,Ruth Bader Ginsburg,2008,79,79,1106,42683,19998.8
ruth_bader_ginsburg,Ruth Bader Ginsburg,2009,77,77,1164,41832,19236.7
ruth_bader_ginsburg,Ruth Bader Ginsburg,2010,78,77,941,37243,17573.6
ruth_bader_ginsburg,Ruth Bader Ginsburg,2011,73,73,811,30961,14319.9
ruth_bader_ginsburg,Ruth Bader Ginsburg,2012,74,74,778,29316,13490.8
ruth_bader_ginsburg,Ruth Bader Ginsburg,2013,67,67,617,23367,11241.4
ruth_bader_ginsburg,Ruth Bader Ginsburg,2014,56,55,628,20677,9137.9
ruth_bader_ginsburg,Ruth Bader Ginsburg,2015,69,68,712,21518,9574.1
ruth_bader_ginsburg,Ruth Bader Ginsburg,2016,62,61,652,19349,8960.5
ruth_bader_ginsburg,Ruth Bader Ginsburg,2017,65,65,659,20185,9362.7
ruth_bader_ginsburg,Ruth Bader Ginsburg,2018,71,58,500,14073,6732.0
ruth_bader_ginsburg,Ruth Bader Ginsburg,2019,58,56,495,16691,8452.0
stephen_g_breyer,Stephen G. Breyer,2005,78,76,1739,64234,22070.3
stephen_g_breyer,Stephen G. Breyer,2006,71,68,1209,61230,21476.8
stephen_g_breyer,Stephen G. Breyer,2007,70,61,871,45421,16407.8
stephen_g_breyer,Stephen G. Breyer,2008,79,77,1366,64740,22682.7
stephen_g_breyer,Stephen G. Breyer,2009,77,73,1633,68084,43369.8
stephen_g_breyer,Stephen G. Breyer,2010,78,75,1348,58388,20376.0
stephen_g_breyer,Stephen G. Breyer,2011,73,71,1191,61472,21505.5
stephen_g_breyer,Stephen G. Breyer,2012,74,71,1226,67202,23253.3
stephen_g_breyer,Stephen G. Breyer,2013,67,65,1131,59264,21024.5
stephen_g_breyer,Stephen G. Breyer,2014,56,52,899,45052,16373.1
stephen_g_breyer,Stephen G. Breyer,2015,69,67,1333,59903,22127.2
stephen_g_breyer,Stephen G. Breyer,2016,62,61,1245,51315,18458.3
stephen_g_breyer,Stephen G. Breyer,2017,65,63,1379,56464,20291.6
stephen_g_breyer,Stephen G. Breyer,2018,71,68,1307,52164,19925.4
stephen_g_breyer,Stephen G. Breyer,2019,58,56,1016,40219,15341.0
stephen_g_breyer,Stephen G. Breyer,2020,58,58,675,35281,14049.9
stephen_g_breyer,Stephen G. Breyer,2021,63,62,1221,53184,19453.2
samuel_a_alito_jr,"Samuel A. Alito, Jr.",2005,35,33,171,4503,1534.2
samuel_a_alito_jr,"Samuel A. Alito, Jr.",2006,71,63,290,10047,3492.1
samuel_a_alito_jr,"Samuel A. Alito, Jr.",2007,70,68,416,14641,5013.6
samuel_a_alito_jr,"Samuel A. Alito, Jr.",2008,79,67,450,17692,6348.2
samuel_a_alito_jr,"Samuel A. Alito, Jr.",2009,77,65,577,23489,10777.5
samuel_a_alito_jr,"Samuel A. Alito, Jr.",2010,78,75,776,31040,11312.4
samuel_a_alito_jr,"Samuel A. Alito, Jr.",2011,73,68,695,28353,12538.6
samuel_a_alito_jr,"Samuel A. Alito, Jr.",2012,74,60,529,22170,7813.9
samuel_a_alito_jr,"Samuel A. Alito, Jr.",2013,67,65,747,31156,10576.7
samuel_a_alito_jr,"Samuel A. Alito, Jr.",2014,56,52,534,20614,7192.0
samuel_a_alito_jr,"Samuel A. Alito, Jr.",2015,69,62,685,26290,9695.8
samuel_a_alito_jr,"Samuel A. Alito, Jr.",2016,62,57,594,22042,7967.2
samuel_a_alito_jr,"Samuel A. Alito, Jr.",2017,65,61,849,28368,10409.2
samuel_a_alito_jr,"Samuel A. Alito, Jr.",2018,71,67,940,29573,10889.3
samuel_a_alito_jr,"Samuel A. Alito, Jr.",2019,58,57,778,25663,9774.5
samuel_a_alito_jr,"Samuel A. Alito, Jr.",2020,58,57,677,29354,12573.2
samuel_a_alito_jr,"Samuel A. Alito, Jr.",2021,63,58,951,32967,13059.2
samuel_a_alito_jr,"Samuel A. Alito, Jr.",2022,59,56,1054,33737,13519.3
samuel_a_alito_jr,"Samuel A. Alito, Jr.",2023,61,58,1145,39565,15470.3
samuel_a_alito_jr,"Samuel A. Alito, Jr.",2024,61,58,861,31867,12727.3
samuel_a_alito_jr,"Samuel A. Alito, Jr.",2025,59,57,932,33529,13743.3
sonia_sotomayor,Sonia Sotomayor,2009,77,71,1245,37509,15554.7
sonia_sotomayor,Sonia Sotomayor,2010,78,76,1309,42849,18260.5
sonia_sotomayor,Sonia Sotomayor,2011,73,71,1375,43187,22695.7
sonia_sotomayor,Sonia Sotomayor,2012,74,73,1526,43467,17867.2
sonia_sotomayor,Sonia Sotomayor,2013,67,67,1034,28350,11707.8
sonia_sotomayor,Sonia Sotomayor,2014,56,55,1012,26842,11287.3
sonia_sotomayor,Sonia Sotomayor,2015,69,68,1399,35758,15366.1
sonia_sotomayor,Sonia Sotomayor,2016,62,60,1172,32272,14163.7
sonia_sotomayor,Sonia Sotomayor,2017,65,65,1588,44546,19174.2
sonia_sotomayor,Sonia Sotomayor,2018,71,71,1671,45965,20029.6
sonia_sotomayor,Sonia Sotomayor,2019,58,57,1128,33102,14900.1
sonia_sotomayor,Sonia Sotomayor,2020,58,58,721,34662,16522.2
sonia_sotomayor,Sonia Sotomayor,2021,63,63,1307,42916,19756.7
sonia_sotomayor,Sonia Sotomayor,2022,59,59,1737,47617,20756.0
sonia_sotomayor,Sonia Sotomayor,2023,61,61,1417,42093,17993.1
sonia_sotomayor,Sonia Sotomayor,2024,61,61,1763,48967,20876.2
sonia_sotomayor,Sonia Sotomayor,2025,59,59,1793,51598,22595.2
elena_kagan,Elena Kagan,2010,78,50,469,19684,6771.5
elena_kagan,Elena Kagan,2011,73,69,726,32322,10960.7
elena_kagan,Elena Kagan,2012,74,71,781,37749,12756.0
elena_kagan,Elena Kagan,2013,67,65,741,36484,12569.9
elena_kagan,Elena Kagan,2014,56,56,707,33810,11579.7
elena_kagan,Elena Kagan,2015,69,67,968,42850,15052.6
elena_kagan,Elena Kagan,2016,62,59,988,40078,13947.6
elena_kagan,Elena Kagan,2017,65,64,980,40913,14113.5
elena_kagan,Elena Kagan,2018,71,71,1055,41512,14835.3
elena_kagan,Elena Kagan,2019,58,57,850,32304,11475.9
elena_kagan,Elena Kagan,2020,58,58,740,35815,13513.3
elena_kagan,Elena Kagan,2021,63,62,1012,48147,17472.3
elena_kagan,Elena Kagan,2022,59,59,1049,47084,17164.8
elena_kagan,Elena Kagan,2023,61,61,1146,47418,17056.6
elena_kagan,Elena Kagan,2024,61,60,1057,46955,16543.0
elena_kagan,Elena Kagan,2025,59,59,916,43474,15525.1
neil_gorsuch,Neil Gorsuch,2016,13,12,168,4140,1362.8
neil_gorsuch,Neil Gorsuch,2017,61,54,946,24944,8096.6
neil_gorsuch,Neil Gorsuch,2018,71,64,1000,30675,10374.5
neil_gorsuch,Neil Gorsuch,2019,58,48,790,23255,8098.3
neil_gorsuch,Neil Gorsuch,2020,58,58,727,31092,11508.1
neil_gorsuch,Neil Gorsuch,2021,63,53,1100,31627,10926.5
neil_gorsuch,Neil Gorsuch,2022,59,57,1614,41958,14234.7
neil_gorsuch,Neil Gorsuch,2023,61,61,2016,48454,16571.1
neil_gorsuch,Neil Gorsuch,2024,61,55,1913,42703,14468.8
neil_gorsuch,Neil Gorsuch,2025,59,57,1791,40132,13647.0
brett_m_kavanaugh,Brett M. Kavanaugh,2018,64,61,966,21791,7577.4
brett_m_kavanaugh,Brett M. Kavanaugh,2019,58,54,921,22781,8197.2
brett_m_kavanaugh,Brett M. Kavanaugh,2020,58,58,607,34413,13796.9
brett_m_kavanaugh,Brett M. Kavanaugh,2021,63,60,958,34766,12698.4
brett_m_kavanaugh,Brett M. Kavanaugh,2022,59,52,1100,32280,11666.9
brett_m_kavanaugh,Brett M. Kavanaugh,2023,61,59,1369,37762,13631.0
brett_m_kavanaugh,Brett M. Kavanaugh,2024,61,58,1224,32895,11780.4
brett_m_kavanaugh,Brett M. Kavanaugh,2025,59,56,1363,36635,12987.9
amy_coney_barrett,Amy Coney Barrett,2020,48,48,566,31570,10506.0
amy_coney_barrett,Amy Coney Barrett,2021,63,57,586,24784,7831.2
amy_coney_barrett,Amy Coney Barrett,2022,59,55,857,32283,9977.0
amy_coney_barrett,Amy Coney Barrett,2023,61,59,1050,37530,11494.1
amy_coney_barrett,Amy Coney Barrett,2024,61,52,840,30080,9002.6
amy_coney_barrett,Amy Coney Barrett,2025,59,57,1020,36456,11101.2
ketanji_brown_jackson,Ketanji Brown Jackson,2022,59,58,1618,75575,27978.9
ketanji_brown_jackson,Ketanji Brown Jackson,2023,61,60,1788,74628,26882.8
ketanji_brown_jackson,Ketanji Brown Jackson,2024,61,61,1877,74520,27088.4
ketanji_brown_jackson,Ketanji Brown Jackson,2025,59,59,1772,76323,27996.8
