justice,name,term,arguments_present,arguments_spoke,turns,words,seconds
john_g_roberts_jr,"John G. Roberts, Jr.",2005,78,74,1544,37603,12244.1
john_g_roberts_jr,"John G. Roberts, Jr.",2006,71,68,1345,39463,13434.2
john_g_roberts_jr,"John G. Roberts, Jr.",2007,70,68,1562,46789,15396.1
john_g_roberts_jr,"John G. Roberts, Jr.",2008,79,79,1629,50589,16958.4
john_g_roberts_jr,"John G. Roberts, Jr.",2009,77,77,1621,43940,18197.2
john_g_roberts_jr,"John G. Roberts, Jr.",2010,78,77,1340,37833,13065.7
john_g_roberts_jr,"John G. Roberts, Jr.",2011,73,71,1246,37114,19889.2
john_g_roberts_jr,"John G. Roberts, Jr.",2012,74,74,1273,34942,11732.8
john_g_roberts_jr,"John G. Roberts, Jr.",2013,67,67,994,28836,9995.0
john_g_roberts_jr,"John G. Roberts, Jr.",2014,56,56,743,20693,7012.2
john_g_roberts_jr,"John G. Roberts, Jr.",2015,69,69,1308,34245,11990.4
john_g_roberts_jr,"John G. Roberts, Jr.",2016,62,62,1079,31622,11028.3
john_g_roberts_jr,"John G. Roberts, Jr.",2017,65,65,1029,27779,9396.9
john_g_roberts_jr,"John G. Roberts, Jr.",2018,71,71,1015,26378,9088.4
john_g_roberts_jr,"John G. Roberts, Jr.",2019,58,58,870,20036,7945.8
john_g_roberts_jr,"John G. Roberts, Jr.",2020,58,58,1133,29712,12439.3
john_g_roberts_jr,"John G. Roberts, Jr.",2021,63,63,1234,35761,14227.0
john_g_roberts_jr,"John G. Roberts, Jr.",2022,59,59,1132,29328,11646.0
john_g_roberts_jr,"John G. Roberts, Jr.",2023,61,61,969,24763,10158.7
john_g_roberts_jr,"John G. Roberts, Jr.",2024,61,61,814,18164,7146.6
john_g_roberts_jr,"John G. Roberts, Jr.",2025,59,59,756,16972,6903.5
john_paul_stevens,John Paul Stevens,2005,78,75,1361,28204,8353.5
john_paul_stevens,John Paul Stevens,2006,71,67,861,22035,7018.8
john_paul_stevens,John Paul Stevens,2007,70,68,773,18800,5959.3
john_paul_stevens,John Paul Stevens,2008,79,75,837,21131,6722.0
john_paul_stevens,John Paul Stevens,2009,77,65,657,16122,7213.8
sandra_day_oconnor,Sandra Day O'Connor,2005,43,35,353,5545,2307.0
antonin_scalia,Antonin Scalia,2005,78,78,2219,55583,19323.2
antonin_scalia,Antonin Scalia,2006,71,71,1676,49789,19011.2
antonin_scalia,Antonin Scalia,2007,70,70,1680,46877,17408.3
antonin_scalia,Antonin Scalia,2008,79,76,1680,45002,16759.2
antonin_scalia,Antonin Scalia,2009,77,77,2021,50006,24839.1
antonin_scalia,Antonin Scalia,2010,78,78,1694,47119,17621.1
antonin_scalia,Antonin Scalia,2011,73,72,1476,41416,15461.9
antonin_scalia,Antonin Scalia,2012,74,73,1462,40241,14976.0
antonin_scalia,Antonin Scalia,2013,67,67,1327,37274,14051.6
antonin_scalia,Antonin Scalia,2014,56,56,1122,28028,10496.7
antonin_scalia,Antonin Scalia,2015,38,37,827,18469,6908.9
anthony_m_kennedy,Anthony M. Kennedy,2005,78,77,1092,25289,8430.6
anthony_m_kennedy,Anthony M. Kennedy,2006,71,69,848,23848,8427.9
anthony_m_kennedy,Anthony M. Kennedy,2007,70,66,943,25858,9112.7
anthony_m_kennedy,Anthony M. Kennedy,2008,79,75,851,26610,9453.6
anthony_m_kennedy,Anthony M. Kennedy,2009,77,73,842,24562,8479.7
anthony_m_kennedy,Anthony M. Kennedy,2010,78,76,706,22281,8125.8
anthony_m_kennedy,Anthony M. Kennedy,2011,73,69,703,22319,7916.9
