justice,name,joined,chief,seniority_rank
john_g_roberts_jr,"John G. Roberts, Jr.",2005-09-29,1,0
john_paul_stevens,John Paul Stevens,1975-12-19,0,1
sandra_day_oconnor,Sandra Day O'Connor,1981-09-25,0,2
antonin_scalia,Antonin Scalia,1986-09-26,0,3
anthony_m_kennedy,Anthony M. Kennedy,1988-02-18,0,4
david_h_souter,David H. Souter,1990-10-08,0,5
clarence_thomas,Clarence Thomas,1991-10-23,0,6
ruth_bader_ginsburg,Ruth Bader Ginsburg,1993-08-10,0,7
stephen_g_breyer,Stephen G. Breyer,1994-08-03,0,8
samuel_a_alito_jr,"Samuel A. Alito, Jr.",2006-01-31,0,9
sonia_sotomayor,Sonia Sotomayor,2009-08-08,0,10
elena_kagan,Elena Kagan,2010-08-07,0,11
neil_gorsuch,Neil Gorsuch,2017-04-07,0,12
brett_m_kavanaugh,Brett M. Kavanaugh,2018-10-06,0,13
amy_coney_barrett,Amy Coney Barrett,2020-10-27,0,14
ketanji_brown_jackson,Ketanji Brown Jackson,2022-06-30,0,15
