justice,name,term,arguments_on_bench,arguments_silent,pct_silent,regime
john_g_roberts_jr,"John G. Roberts, Jr.",2005,78,4,5.1,"in person, no rounds"
john_g_roberts_jr,"John G. Roberts, Jr.",2006,71,3,4.2,"in person, no rounds"
john_g_roberts_jr,"John G. Roberts, Jr.",2007,70,2,2.9,"in person, no rounds"
john_g_roberts_jr,"John G. Roberts, Jr.",2008,79,0,0.0,"in person, no rounds"
john_g_roberts_jr,"John G. Roberts, Jr.",2009,77,0,0.0,"in person, no rounds"
john_g_roberts_jr,"John G. Roberts, Jr.",2010,78,1,1.3,"in person, no rounds"
john_g_roberts_jr,"John G. Roberts, Jr.",2011,73,2,2.7,"in person, no rounds"
john_g_roberts_jr,"John G. Roberts, Jr.",2012,74,0,0.0,"in person, no rounds"
john_g_roberts_jr,"John G. Roberts, Jr.",2013,67,0,0.0,"in person, no rounds"
john_g_roberts_jr,"John G. Roberts, Jr.",2014,56,0,0.0,"in person, no rounds"
john_g_roberts_jr,"John G. Roberts, Jr.",2015,69,0,0.0,"in person, no rounds"
john_g_roberts_jr,"John G. Roberts, Jr.",2016,62,0,0.0,"in person, no rounds"
john_g_roberts_jr,"John G. Roberts, Jr.",2017,65,0,0.0,"in person, no rounds"
john_g_roberts_jr,"John G. Roberts, Jr.",2018,71,0,0.0,"in person, no rounds"
john_g_roberts_jr,"John G. Roberts, Jr.",2019,58,0,0.0,"in person, no rounds"
john_g_roberts_jr,"John G. Roberts, Jr.",2020,58,0,0.0,"telephone, seniority rounds"
john_g_roberts_jr,"John G. Roberts, Jr.",2021,63,0,0.0,"in person, seniority round added"
john_g_roberts_jr,"John G. Roberts, Jr.",2022,59,0,0.0,"in person, seniority round added"
john_g_roberts_jr,"John G. Roberts, Jr.",2023,61,0,0.0,"in person, seniority round added"
john_g_roberts_jr,"John G. Roberts, Jr.",2024,61,0,0.0,"in person, seniority round added"
john_g_roberts_jr,"John G. Roberts, Jr.",2025,59,0,0.0,"in person, seniority round added"
john_paul_stevens,John Paul Stevens,2005,78,3,3.8,"in person, no rounds"
john_paul_stevens,John Paul Stevens,2006,71,4,5.6,"in person, no rounds"
john_paul_stevens,John Paul Stevens,2007,70,2,2.9,"in person, no rounds"
john_paul_stevens,John Paul Stevens,2008,79,4,5.1,"in person, no rounds"
john_paul_stevens,John Paul Stevens,2009,77,12,15.6,"in person, no rounds"
sandra_day_oconnor,Sandra Day O'Connor,2005,43,8,18.6,"in person, no rounds"
antonin_scalia,Antonin Scalia,2005,78,0,0.0,"in person, no rounds"
antonin_scalia,Antonin Scalia,2006,71,0,0.0,"in person, no rounds"
antonin_scalia,Antonin Scalia,2007,70,0,0.0,"in person, no rounds"
antonin_scalia,Antonin Scalia,2008,79,3,3.8,"in person, no rounds"
antonin_scalia,Antonin Scalia,2009,77,0,0.0,"in person, no rounds"
antonin_scalia,Antonin Scalia,2010,78,0,0.0,"in person, no rounds"
antonin_scalia,Antonin Scalia,2011,73,1,1.4,"in person, no rounds"
antonin_scalia,Antonin Scalia,2012,74,1,1.4,"in person, no rounds"
antonin_scalia,Antonin Scalia,2013,67,0,0.0,"in person, no rounds"
antonin_scalia,Antonin Scalia,2014,56,0,0.0,"in person, no rounds"
antonin_scalia,Antonin Scalia,2015,38,1,2.6,"in person, no rounds"
anthony_m_kennedy,Anthony M. Kennedy,2005,78,1,1.3,"in person, no rounds"
anthony_m_kennedy,Anthony M. Kennedy,2006,71,2,2.8,"in person, no rounds"
anthony_m_kennedy,Anthony M. Kennedy,2007,70,4,5.7,"in person, no rounds"
anthony_m_kennedy,Anthony M. Kennedy,2008,79,4,5.1,"in person, no rounds"
anthony_m_kennedy,Anthony M. Kennedy,2009,77,4,5.2,"in person, no rounds"
anthony_m_kennedy,Anthony M. Kennedy,2010,78,2,2.6,"in person, no rounds"
anthony_m_kennedy,Anthony M. Kennedy,2011,73,4,5.5,"in person, no rounds"
anthony_m_kennedy,Anthony M. Kennedy,2012,74,2,2.7,"in person, no rounds"
anthony_m_kennedy,Anthony M. Kennedy,2013,67,1,1.5,"in person, no rounds"
anthony_m_kennedy,Anthony M. Kennedy,2014,56,2,3.6,"in person, no rounds"
anthony_m_kennedy,Anthony M. Kennedy,2015,69,3,4.3,"in person, no rounds"
anthony_m_kennedy,Anthony M. Kennedy,2016,62,2,3.2,"in person, no rounds"
anthony_m_kennedy,Anthony M. Kennedy,2017,65,4,6.2,"in person, no rounds"
david_h_souter,David H. Souter,2005,78,3,3.8,"in person, no rounds"
david_h_souter,David H. Souter,2006,71,4,5.6,"in person, no rounds"
david_h_souter,David H. Souter,2007,70,2,2.9,"in person, no rounds"
david_h_souter,David H. Souter,2008,79,4,5.1,"in person, no rounds"
clarence_thomas,Clarence Thomas,2005,78,75,96.2,"in person, no rounds"
clarence_thomas,Clarence Thomas,2006,71,71,100.0,"in person, no rounds"
clarence_thomas,Clarence Thomas,2007,70,70,100.0,"in person, no rounds"
clarence_thomas,Clarence Thomas,2008,79,79,100.0,"in person, no rounds"
clarence_thomas,Clarence Thomas,2009,77,77,100.0,"in person, no rounds"
clarence_thomas,Clarence Thomas,2010,78,78,100.0,"in person, no rounds"
clarence_thomas,Clarence Thomas,2011,73,73,100.0,"in person, no rounds"
clarence_thomas,Clarence Thomas,2012,74,73,98.6,"in person, no rounds"
clarence_thomas,Clarence Thomas,2013,67,67,100.0,"in person, no rounds"
clarence_thomas,Clarence Thomas,2014,56,56,100.0,"in person, no rounds"
clarence_thomas,Clarence Thomas,2015,69,68,98.6,"in person, no rounds"
clarence_thomas,Clarence Thomas,2016,62,62,100.0,"in person, no rounds"
clarence_thomas,Clarence Thomas,2017,65,65,100.0,"in person, no rounds"
clarence_thomas,Clarence Thomas,2018,71,70,98.6,"in person, no rounds"
clarence_thomas,Clarence Thomas,2019,58,48,82.8,"in person, no rounds"
clarence_thomas,Clarence Thomas,2020,58,0,0.0,"telephone, seniority rounds"
clarence_thomas,Clarence Thomas,2021,63,4,6.3,"in person, seniority round added"
clarence_thomas,Clarence Thomas,2022,59,1,1.7,"in person, seniority round added"
clarence_thomas,Clarence Thomas,2023,61,2,3.3,"in person, seniority round added"
clarence_thomas,Clarence Thomas,2024,61,0,0.0,"in person, seniority round added"
clarence_thomas,Clarence Thomas,2025,59,0,0.0,"in person, seniority round added"
ruth_bader_ginsburg,Ruth Bader Ginsburg,2005,78,0,0.0,"in person, no rounds"
ruth_bader_ginsburg,Ruth Bader Ginsburg,2006,71,0,0.0,"in person, no rounds"
ruth_bader_ginsburg,Ruth Bader Ginsburg,2007,70,0,0.0,"in person, no rounds"
ruth_bader_ginsburg,Ruth Bader Ginsburg,2008,79,0,0.0,"in person, no rounds"
ruth_bader_ginsburg,Ruth Bader Ginsburg,2009,77,0,0.0,"in person, no rounds"
ruth_bader_ginsburg,Ruth Bader Ginsburg,2010,78,1,1.3,"in person, no rounds"
ruth_bader_ginsburg,Ruth Bader Ginsburg,2011,73,0,0.0,"in person, no rounds"
ruth_bader_ginsburg,Ruth Bader Ginsburg,2012,74,0,0.0,"in person, no rounds"
ruth_bader_ginsburg,Ruth Bader Ginsburg,2013,67,0,0.0,"in person, no rounds"
ruth_bader_ginsburg,Ruth Bader Ginsburg,2014,56,1,1.8,"in person, no rounds"
ruth_bader_ginsburg,Ruth Bader Ginsburg,2015,69,1,1.4,"in person, no rounds"
ruth_bader_ginsburg,Ruth Bader Ginsburg,2016,62,1,1.6,"in person, no rounds"
ruth_bader_ginsburg,Ruth Bader Ginsburg,2017,65,0,0.0,"in person, no rounds"
ruth_bader_ginsburg,Ruth Bader Ginsburg,2018,71,13,18.3,"in person, no rounds"
ruth_bader_ginsburg,Ruth Bader Ginsburg,2019,58,2,3.4,"in person, no rounds"
stephen_g_breyer,Stephen G. Breyer,2005,78,2,2.6,"in person, no rounds"
stephen_g_breyer,Stephen G. Breyer,2006,71,3,4.2,"in person, no rounds"
stephen_g_breyer,Stephen G. Breyer,2007,70,9,12.9,"in person, no rounds"
stephen_g_breyer,Stephen G. Breyer,2008,79,2,2.5,"in person, no rounds"
stephen_g_breyer,Stephen G. Breyer,2009,77,4,5.2,"in person, no rounds"
stephen_g_breyer,Stephen G. Breyer,2010,78,3,3.8,"in person, no rounds"
stephen_g_breyer,Stephen G. Breyer,2011,73,2,2.7,"in person, no rounds"
stephen_g_breyer,Stephen G. Breyer,2012,74,3,4.1,"in person, no rounds"
stephen_g_breyer,Stephen G. Breyer,2013,67,2,3.0,"in person, no rounds"
stephen_g_breyer,Stephen G. Breyer,2014,56,4,7.1,"in person, no rounds"
stephen_g_breyer,Stephen G. Breyer,2015,69,2,2.9,"in person, no rounds"
stephen_g_breyer,Stephen G. Breyer,2016,62,1,1.6,"in person, no rounds"
stephen_g_breyer,Stephen G. Breyer,2017,65,2,3.1,"in person, no rounds"
stephen_g_breyer,Stephen G. Breyer,2018,71,3,4.2,"in person, no rounds"
stephen_g_breyer,Stephen G. Breyer,2019,58,2,3.4,"in person, no rounds"
stephen_g_breyer,Stephen G. Breyer,2020,58,0,0.0,"telephone, seniority rounds"
stephen_g_breyer,Stephen G. Breyer,2021,63,1,1.6,"in person, seniority round added"
samuel_a_alito_jr,"Samuel A. Alito, Jr.",2005,35,2,5.7,"in person, no rounds"
samuel_a_alito_jr,"Samuel A. Alito, Jr.",2006,71,8,11.3,"in person, no rounds"
samuel_a_alito_jr,"Samuel A. Alito, Jr.",2007,70,2,2.9,"in person, no rounds"
samuel_a_alito_jr,"Samuel A. Alito, Jr.",2008,79,12,15.2,"in person, no rounds"
samuel_a_alito_jr,"Samuel A. Alito, Jr.",2009,77,12,15.6,"in person, no rounds"
samuel_a_alito_jr,"Samuel A. Alito, Jr.",2010,78,3,3.8,"in person, no rounds"
samuel_a_alito_jr,"Samuel A. Alito, Jr.",2011,73,5,6.8,"in person, no rounds"
samuel_a_alito_jr,"Samuel A. Alito, Jr.",2012,74,14,18.9,"in person, no rounds"
samuel_a_alito_jr,"Samuel A. Alito, Jr.",2013,67,2,3.0,"in person, no rounds"
samuel_a_alito_jr,"Samuel A. Alito, Jr.",2014,56,4,7.1,"in person, no rounds"
samuel_a_alito_jr,"Samuel A. Alito, Jr.",2015,69,7,10.1,"in person, no rounds"
samuel_a_alito_jr,"Samuel A. Alito, Jr.",2016,62,5,8.1,"in person, no rounds"
samuel_a_alito_jr,"Samuel A. Alito, Jr.",2017,65,4,6.2,"in person, no rounds"
samuel_a_alito_jr,"Samuel A. Alito, Jr.",2018,71,4,5.6,"in person, no rounds"
samuel_a_alito_jr,"Samuel A. Alito, Jr.",2019,58,1,1.7,"in person, no rounds"
samuel_a_alito_jr,"Samuel A. Alito, Jr.",2020,58,1,1.7,"telephone, seniority rounds"
samuel_a_alito_jr,"Samuel A. Alito, Jr.",2021,63,5,7.9,"in person, seniority round added"
samuel_a_alito_jr,"Samuel A. Alito, Jr.",2022,59,3,5.1,"in person, seniority round added"
samuel_a_alito_jr,"Samuel A. Alito, Jr.",2023,61,3,4.9,"in person, seniority round added"
samuel_a_alito_jr,"Samuel A. Alito, Jr.",2024,61,3,4.9,"in person, seniority round added"
samuel_a_alito_jr,"Samuel A. Alito, Jr.",2025,59,2,3.4,"in person, seniority round added"
sonia_sotomayor,Sonia Sotomayor,2009,77,6,7.8,"in person, no rounds"
sonia_sotomayor,Sonia Sotomayor,2010,78,2,2.6,"in person, no rounds"
sonia_sotomayor,Sonia Sotomayor,2011,73,2,2.7,"in person, no rounds"
sonia_sotomayor,Sonia Sotomayor,2012,74,1,1.4,"in person, no rounds"
sonia_sotomayor,Sonia Sotomayor,2013,67,0,0.0,"in person, no rounds"
sonia_sotomayor,Sonia Sotomayor,2014,56,1,1.8,"in person, no rounds"
sonia_sotomayor,Sonia Sotomayor,2015,69,1,1.4,"in person, no rounds"
sonia_sotomayor,Sonia Sotomayor,2016,62,2,3.2,"in person, no rounds"
sonia_sotomayor,Sonia Sotomayor,2017,65,0,0.0,"in person, no rounds"
sonia_sotomayor,Sonia Sotomayor,2018,71,0,0.0,"in person, no rounds"
sonia_sotomayor,Sonia Sotomayor,2019,58,1,1.7,"in person, no rounds"
sonia_sotomayor,Sonia Sotomayor,2020,58,0,0.0,"telephone, seniority rounds"
sonia_sotomayor,Sonia Sotomayor,2021,63,0,0.0,"in person, seniority round added"
sonia_sotomayor,Sonia Sotomayor,2022,59,0,0.0,"in person, seniority round added"
sonia_sotomayor,Sonia Sotomayor,2023,61,0,0.0,"in person, seniority round added"
sonia_sotomayor,Sonia Sotomayor,2024,61,0,0.0,"in person, seniority round added"
sonia_sotomayor,Sonia Sotomayor,2025,59,0,0.0,"in person, seniority round added"
elena_kagan,Elena Kagan,2010,78,28,35.9,"in person, no rounds"
elena_kagan,Elena Kagan,2011,73,4,5.5,"in person, no rounds"
elena_kagan,Elena Kagan,2012,74,3,4.1,"in person, no rounds"
elena_kagan,Elena Kagan,2013,67,2,3.0,"in person, no rounds"
elena_kagan,Elena Kagan,2014,56,0,0.0,"in person, no rounds"
elena_kagan,Elena Kagan,2015,69,2,2.9,"in person, no rounds"
elena_kagan,Elena Kagan,2016,62,3,4.8,"in person, no rounds"
elena_kagan,Elena Kagan,2017,65,1,1.5,"in person, no rounds"
elena_kagan,Elena Kagan,2018,71,0,0.0,"in person, no rounds"
elena_kagan,Elena Kagan,2019,58,1,1.7,"in person, no rounds"
elena_kagan,Elena Kagan,2020,58,0,0.0,"telephone, seniority rounds"
elena_kagan,Elena Kagan,2021,63,1,1.6,"in person, seniority round added"
elena_kagan,Elena Kagan,2022,59,0,0.0,"in person, seniority round added"
elena_kagan,Elena Kagan,2023,61,0,0.0,"in person, seniority round added"
elena_kagan,Elena Kagan,2024,61,1,1.6,"in person, seniority round added"
elena_kagan,Elena Kagan,2025,59,0,0.0,"in person, seniority round added"
neil_gorsuch,Neil Gorsuch,2016,13,1,7.7,"in person, no rounds"
neil_gorsuch,Neil Gorsuch,2017,61,7,11.5,"in person, no rounds"
neil_gorsuch,Neil Gorsuch,2018,71,7,9.9,"in person, no rounds"
neil_gorsuch,Neil Gorsuch,2019,58,10,17.2,"in person, no rounds"
neil_gorsuch,Neil Gorsuch,2020,58,0,0.0,"telephone, seniority rounds"
neil_gorsuch,Neil Gorsuch,2021,63,10,15.9,"in person, seniority round added"
neil_gorsuch,Neil Gorsuch,2022,59,2,3.4,"in person, seniority round added"
neil_gorsuch,Neil Gorsuch,2023,61,0,0.0,"in person, seniority round added"
neil_gorsuch,Neil Gorsuch,2024,61,6,9.8,"in person, seniority round added"
neil_gorsuch,Neil Gorsuch,2025,59,2,3.4,"in person, seniority round added"
brett_m_kavanaugh,Brett M. Kavanaugh,2018,64,3,4.7,"in person, no rounds"
brett_m_kavanaugh,Brett M. Kavanaugh,2019,58,4,6.9,"in person, no rounds"
brett_m_kavanaugh,Brett M. Kavanaugh,2020,58,0,0.0,"telephone, seniority rounds"
brett_m_kavanaugh,Brett M. Kavanaugh,2021,63,3,4.8,"in person, seniority round added"
brett_m_kavanaugh,Brett M. Kavanaugh,2022,59,7,11.9,"in person, seniority round added"
brett_m_kavanaugh,Brett M. Kavanaugh,2023,61,2,3.3,"in person, seniority round added"
brett_m_kavanaugh,Brett M. Kavanaugh,2024,61,3,4.9,"in person, seniority round added"
brett_m_kavanaugh,Brett M. Kavanaugh,2025,59,3,5.1,"in person, seniority round added"
amy_coney_barrett,Amy Coney Barrett,2020,48,0,0.0,"telephone, seniority rounds"
amy_coney_barrett,Amy Coney Barrett,2021,63,6,9.5,"in person, seniority round added"
amy_coney_barrett,Amy Coney Barrett,2022,59,4,6.8,"in person, seniority round added"
amy_coney_barrett,Amy Coney Barrett,2023,61,2,3.3,"in person, seniority round added"
amy_coney_barrett,Amy Coney Barrett,2024,61,9,14.8,"in person, seniority round added"
