measure,justice,name,value,rank,term_from,term_to
turns per argument,neil_gorsuch,Neil Gorsuch,30.558,1,2022,2025
turns per argument,ketanji_brown_jackson,Ketanji Brown Jackson,29.396,2,2022,2025
turns per argument,sonia_sotomayor,Sonia Sotomayor,27.958,3,2022,2025
turns per argument,brett_m_kavanaugh,Brett M. Kavanaugh,21.067,4,2022,2025
turns per argument,elena_kagan,Elena Kagan,17.367,5,2022,2025
turns per argument,samuel_a_alito_jr,"Samuel A. Alito, Jr.",16.633,6,2022,2025
turns per argument,amy_coney_barrett,Amy Coney Barrett,15.696,7,2022,2025
turns per argument,john_g_roberts_jr,"John G. Roberts, Jr.",15.296,8,2022,2025
turns per argument,clarence_thomas,Clarence Thomas,8.775,9,2022,2025
words per argument,ketanji_brown_jackson,Ketanji Brown Jackson,1254.358,1,2022,2025
words per argument,sonia_sotomayor,Sonia Sotomayor,792.812,2,2022,2025
words per argument,elena_kagan,Elena Kagan,770.546,3,2022,2025
words per argument,neil_gorsuch,Neil Gorsuch,721.862,4,2022,2025
words per argument,brett_m_kavanaugh,Brett M. Kavanaugh,581.55,5,2022,2025
words per argument,samuel_a_alito_jr,"Samuel A. Alito, Jr.",577.908,6,2022,2025
words per argument,amy_coney_barrett,Amy Coney Barrett,568.121,7,2022,2025
words per argument,john_g_roberts_jr,"John G. Roberts, Jr.",371.779,8,2022,2025
words per argument,clarence_thomas,Clarence Thomas,202.613,9,2022,2025
words per turn,elena_kagan,Elena Kagan,44.369,1,2022,2025
words per turn,ketanji_brown_jackson,Ketanji Brown Jackson,42.671,2,2022,2025
words per turn,amy_coney_barrett,Amy Coney Barrett,36.196,3,2022,2025
words per turn,samuel_a_alito_jr,"Samuel A. Alito, Jr.",34.744,4,2022,2025
words per turn,sonia_sotomayor,Sonia Sotomayor,28.357,5,2022,2025
words per turn,brett_m_kavanaugh,Brett M. Kavanaugh,27.605,6,2022,2025
words per turn,john_g_roberts_jr,"John G. Roberts, Jr.",24.306,7,2022,2025
words per turn,neil_gorsuch,Neil Gorsuch,23.622,8,2022,2025
words per turn,clarence_thomas,Clarence Thomas,23.09,9,2022,2025
seconds of floor per argument,ketanji_brown_jackson,Ketanji Brown Jackson,458.112,1,2022,2025
seconds of floor per argument,sonia_sotomayor,Sonia Sotomayor,342.586,2,2022,2025
seconds of floor per argument,elena_kagan,Elena Kagan,276.206,3,2022,2025
seconds of floor per argument,neil_gorsuch,Neil Gorsuch,245.507,4,2022,2025
seconds of floor per argument,samuel_a_alito_jr,"Samuel A. Alito, Jr.",231.084,5,2022,2025
seconds of floor per argument,brett_m_kavanaugh,Brett M. Kavanaugh,208.609,6,2022,2025
seconds of floor per argument,amy_coney_barrett,Amy Coney Barrett,173.228,7,2022,2025
seconds of floor per argument,john_g_roberts_jr,"John G. Roberts, Jr.",149.395,8,2022,2025
seconds of floor per argument,clarence_thomas,Clarence Thomas,94.495,9,2022,2025
share of all justice words,ketanji_brown_jackson,Ketanji Brown Jackson,21.473,1,2022,2025
share of all justice words,sonia_sotomayor,Sonia Sotomayor,13.572,2,2022,2025
share of all justice words,elena_kagan,Elena Kagan,13.191,3,2022,2025
share of all justice words,neil_gorsuch,Neil Gorsuch,12.357,4,2022,2025
share of all justice words,brett_m_kavanaugh,Brett M. Kavanaugh,9.955,5,2022,2025
share of all justice words,samuel_a_alito_jr,"Samuel A. Alito, Jr.",9.893,6,2022,2025
share of all justice words,amy_coney_barrett,Amy Coney Barrett,9.726,7,2022,2025
share of all justice words,john_g_roberts_jr,"John G. Roberts, Jr.",6.364,8,2022,2025
share of all justice words,clarence_thomas,Clarence Thomas,3.468,9,2022,2025
share of the argument clock,ketanji_brown_jackson,Ketanji Brown Jackson,8.666,1,2022,2025
share of the argument clock,sonia_sotomayor,Sonia Sotomayor,6.481,2,2022,2025
share of the argument clock,elena_kagan,Elena Kagan,5.225,3,2022,2025
share of the argument clock,neil_gorsuch,Neil Gorsuch,4.644,4,2022,2025
share of the argument clock,samuel_a_alito_jr,"Samuel A. Alito, Jr.",4.371,5,2022,2025
share of the argument clock,brett_m_kavanaugh,Brett M. Kavanaugh,3.946,6,2022,2025
share of the argument clock,amy_coney_barrett,Amy Coney Barrett,3.277,7,2022,2025
share of the argument clock,john_g_roberts_jr,"John G. Roberts, Jr.",2.826,8,2022,2025
share of the argument clock,clarence_thomas,Clarence Thomas,1.788,9,2022,2025
