"election_year","congress","seats","dem","rep","pres_party","midterm","pres_party_seats","pres_party_change"
1858,36,238,83,116,"D",TRUE,83,NA
1860,37,183,44,108,"D",FALSE,44,-39
1862,38,184,72,85,"R",TRUE,85,-23
1864,39,193,38,136,"R",FALSE,136,51
1866,40,226,47,173,"R",TRUE,173,37
1868,41,243,67,171,"R",FALSE,171,-2
1870,42,243,104,136,"R",TRUE,136,-35
1872,43,292,88,199,"R",FALSE,199,63
1874,44,293,182,103,"R",TRUE,103,-96
1876,45,293,155,136,"R",FALSE,136,33
1878,46,293,141,132,"R",TRUE,132,-4
1880,47,293,128,151,"R",FALSE,151,19
1882,48,325,196,117,"R",TRUE,117,-34
1884,49,325,182,141,"R",FALSE,141,24
1886,50,325,167,152,"D",TRUE,167,-15
1888,51,332,152,179,"D",FALSE,152,-15
1890,52,332,238,86,"R",TRUE,86,-93
1892,53,356,218,124,"R",FALSE,124,38
1894,54,357,93,254,"D",TRUE,93,-125
1896,55,357,124,206,"D",FALSE,124,31
1898,56,357,161,187,"R",TRUE,187,-19
1900,57,357,151,200,"R",FALSE,200,13
1902,58,386,176,207,"R",TRUE,207,7
1904,59,386,135,251,"R",FALSE,251,44
1906,60,391,167,223,"R",TRUE,223,-28
1908,61,391,172,219,"R",FALSE,219,-4
1910,62,394,230,162,"R",TRUE,162,-57
1912,63,435,291,134,"R",FALSE,134,-28
1914,64,435,230,196,"D",TRUE,230,-61
1916,65,435,214,215,"D",FALSE,214,-16
1918,66,435,192,240,"D",TRUE,192,-22
1920,67,435,132,302,"D",FALSE,132,-60
1922,68,435,207,225,"R",TRUE,225,-77
1924,69,435,183,247,"R",FALSE,247,22
1926,70,435,194,238,"R",TRUE,238,-9
1928,71,435,164,270,"R",FALSE,270,32
1930,72,435,216,218,"R",TRUE,218,-52
1932,73,435,313,117,"R",FALSE,117,-101
1934,74,435,322,103,"D",TRUE,322,9
1936,75,435,334,88,"D",FALSE,334,12
1938,76,435,262,169,"D",TRUE,262,-72
1940,77,435,267,162,"D",FALSE,267,5
1942,78,435,222,209,"D",TRUE,222,-45
1944,79,435,244,189,"D",FALSE,244,22
1946,80,435,188,246,"D",TRUE,188,-56
1948,81,435,263,171,"D",FALSE,263,75
1950,82,435,235,199,"D",TRUE,235,-28
1952,83,435,213,221,"D",FALSE,213,-22
1954,84,435,232,203,"R",TRUE,203,-18
1956,85,435,232,203,"R",FALSE,203,0
1958,86,436,282,153,"R",TRUE,153,-50
1960,87,437,264,173,"R",FALSE,173,20
1962,88,435,258,176,"D",TRUE,258,-6
1964,89,435,295,140,"D",FALSE,295,37
1966,90,435,248,187,"D",TRUE,248,-47
1968,91,435,243,192,"D",FALSE,243,-5
1970,92,435,255,180,"R",TRUE,180,-12
1972,93,435,243,192,"R",FALSE,192,12
1974,94,435,291,144,"R",TRUE,144,-48
1976,95,435,292,143,"R",FALSE,143,-1
1978,96,435,278,157,"D",TRUE,278,-14
1980,97,435,243,192,"D",FALSE,243,-35
1982,98,435,269,166,"R",TRUE,166,-26
1984,99,435,253,181,"R",FALSE,181,15
1986,100,435,258,177,"R",TRUE,177,-4
1988,101,435,260,175,"R",FALSE,175,-2
1990,102,435,267,167,"R",TRUE,167,-8
1992,103,435,258,176,"R",FALSE,176,9
1994,104,435,204,230,"D",TRUE,204,-54
1996,105,435,207,226,"D",FALSE,207,3
1998,106,435,211,223,"D",TRUE,211,4
2000,107,435,212,221,"D",FALSE,212,1
2002,108,435,205,229,"R",TRUE,229,8
2004,109,435,202,232,"R",FALSE,232,3
2006,110,435,233,202,"R",TRUE,202,-30
2008,111,435,257,178,"R",FALSE,178,-24
2010,112,435,193,242,"D",TRUE,193,-64
2012,113,435,201,234,"D",FALSE,201,8
2014,114,435,188,247,"D",TRUE,188,-13
2016,115,435,194,241,"D",FALSE,194,6
2018,116,435,235,199,"R",TRUE,199,-42
2020,117,435,222,212,"R",FALSE,212,13
2022,118,435,213,222,"D",TRUE,213,-9
2024,119,435,215,220,"D",FALSE,215,2
