"group","level","est","se","bureau_states_it"
"Total",0,-0.24,0.25,FALSE
"0 to 17",0,-0.84,0.38,TRUE
"0 to 9",1,-1.4,0.49,TRUE
"0 to 4",2,-2.79,0.64,TRUE
"5 to 9",2,-0.1,0.56,FALSE
"10 to 17",1,-0.21,0.43,FALSE
"18 to 29",0,-1.62,0.57,TRUE
"30 to 49",0,-1.47,0.35,TRUE
"50 and over",0,1.65,0.25,TRUE
