"fips","piece","bin","states_it","pts"
"27","conus",6,TRUE,"493 547 0 -1 0 -2 1 -1 0 -1 0 -2 -1 -1 1 -2 0 -1 0 -2 -1 -1 0 -1 1 -1 0 -2 1 -2 0 -1 1 -2 1 -2 0 -2 0 -1 0 -1 0 -4 1 -2 0 -1 -1 -2 1 -2 0 -2 0 -2 0 -1 1 -2 0 -2 1 -2 1 -1 0 -2 0 -2 0 -2 0 -1 0 -1 0 -2 -1 0 -1 -1 -1 -1 -1 -1 0 -1 1 -1 0 -1 1 -1 0 -1 1 0 1 0 1 0 0 -1 0 -1 0 -1 0 -5 0 -4 0 -3 0 -2 0 -4 0 -3 0 -7 0 -6 0 -1 4 0 2 0 3 0 5 0 1 0 1 0 2 0 4 0 1 0 6 0 1 0 2 0 4 0 5 1 1 0 1 0 4 0 2 0 1 0 2 0 4 0 2 0 4 0 1 0 4 0 1 1 2 0 2 0 4 0 -1 1 0 1 0 1 0 1 0 1 -1 2 -1 1 -1 1 0 1 -2 0 -1 1 -1 1 -2 1 -1 1 0 2 -1 1 -2 0 0 1 -2 0 -1 1 0 1 -1 0 -2 1 -1 0 -2 2 -1 1 0 2 1 2 -1 1 0 1 1 1 -1 2 0 2 1 1 1 1 0 1 -1 0 -1 1 0 1 -1 0 -1 0 0 2 0 1 1 0 0 1 1 1 0 1 0 1 1 0 1 1 1 0 1 0 0 1 1 0 1 1 0 1 0 3 0 3 0 2 0 3 1 0 0 1 1 1 1 -1 0 2 0 1 2 1 1 1 1 1 1 1 1 1 2 1 1 1 1 2 2 2 1 2 2 2 2 1 1 1 2 1 1 1 1 0 2 1 2 0 1 1 1 1 1 0 1 1 1 1 1 0 1 1 -2 0 -1 0 -2 -1 -1 1 -1 1 -2 0 -2 0 -2 0 -1 0 -2 0 -1 0 -1 1 0 1 -1 0 -2 -1 -1 -1 -1 -1 -2 0 -1 -1 -1 0 -1 1 -1 0 -1 2 -1 0 -1 1 -1 0 -1 1 0 1 -2 0 -1 0 -1 -1 0 -1 0 -1 -1 0 0 1 -1 2 0 1 -1 0 -2 1 1 1 -2 0 -2 1 -1 1 -1 0 -1 0 -1 0 -2 0 0 -1 -1 0 0 -1 -2 0 -1 -1 -2 0 0 1 0 1 -2 0 -2 1 -2 0 0 1 -2 0 -1 0 -2 0 -1 1 0 1 0 1 0 3 -1 1 0 1 0 2 -1 2 -1 1 -1 0 -1 -1 -1 1 0 -1 0 -3 0 -4 -2 0 -9 0 -6 0 -7 0 -3 1 0 -2"
"19","conus",2,FALSE,"500 424 0 -1 1 -1 1 -2 0 -1 1 -1 0 -1 0 -1 1 -1 0 -1 0 -1 0 -1 1 -1 0 -1 1 0 1 -1 -1 -2 1 -1 1 -1 0 -2 -1 0 0 -1 0 -1 0 -1 1 0 1 0 0 -1 0 -1 1 0 0 -1 0 -1 0 -1 0 -1 0 -1 1 0 0 -1 0 -1 0 -2 0 -1 0 -1 1 0 -1 -1 0 -1 -1 -1 1 -1 1 -1 1 -1 -1 0 4 0 2 0 1 0 2 0 2 0 2 0 2 0 2 0 2 0 1 0 2 0 1 0 2 0 2 0 2 0 1 0 3 0 3 0 1 0 3 0 3 0 3 1 1 0 3 0 2 0 2 0 4 0 3 1 0 -1 1 0 0 -1 1 0 0 -1 1 -1 2 -1 0 1 0 1 0 1 0 1 1 1 1 0 1 1 1 0 0 1 0 1 0 1 1 1 1 1 0 1 0 1 0 1 0 1 -1 1 -1 1 -1 1 1 2 0 1 1 1 1 -1 1 1 1 0 1 0 1 1 1 1 1 0 1 0 0 1 1 0 0 2 1 0 0 1 1 1 1 1 -1 1 1 0 0 1 0 2 0 1 -1 1 0 1 -1 0 -1 0 0 1 -1 0 -1 1 0 1 0 1 -1 0 -1 1 -1 1 -1 2 0 1 -1 0 -1 0 -1 1 -1 0 -1 0 -1 1 0 2 -1 1 0 1 0 1 0 1 0 2 1 1 0 1 -1 1 0 1 -1 0 0 1 -1 1 1 1 -4 0 -2 0 -2 0 -1 -1 -4 0 -1 0 -4 0 -2 0 -4 0 -2 0 -1 0 -2 0 -4 0 -1 0 -1 0 -5 -1 -4 0 -2 0 -1 0 -6 0 -1 0 -4 0 -2 0 -1 0 -1 0 -5 0 -3 0 -2 0 -4 0 -2 0 0 -1 1 -1 0 -1 0 -1 -1 0 1 -1 1 0 0 -2 0 -1 0 -1 -1 0 1 -1 -1 0 1 -1 -1 0 0 -1 -1 -1 0 -1 0 -1"
"29","conus",3,FALSE,"512 379 1 0 1 -1 0 -1 0 -1 0 -1 1 0 1 0 0 -1 1 0 0 -1 0 -1 1 -1 0 -1 0 -1 1 1 0 -1 1 -1 2 -1 1 -1 1 1 1 0 0 -1 1 -1 0 -1 0 -1 -2 0 -1 -1 0 -1 0 -1 -1 0 1 0 0 -1 1 -1 1 -1 1 0 -1 -2 1 -1 1 0 0 -1 1 -1 1 1 1 -1 0 -1 0 -2 0 -3 0 -2 0 -4 0 -2 0 -4 0 -4 0 -1 0 -7 0 -5 1 -5 0 -3 0 -5 0 -3 0 -2 4 0 4 0 2 0 2 0 2 0 2 0 3 0 1 0 1 0 2 0 5 0 1 0 3 0 1 0 3 1 3 0 2 0 5 0 1 0 3 0 1 0 4 0 2 0 4 1 3 0 1 0 4 0 2 0 0 -1 1 -1 0 -2 -1 0 0 -1 -1 -1 0 -1 -1 -1 -1 -1 0 -1 1 0 3 0 2 0 1 1 3 0 1 1 0 1 1 1 -1 0 0 1 -1 0 0 1 2 0 -1 1 0 1 1 0 1 0 0 1 -1 0 1 1 -1 1 0 1 1 0 1 0 1 2 1 -1 1 0 0 1 1 0 0 1 -1 1 1 1 0 1 0 1 0 1 1 1 -1 0 -1 0 -1 1 -1 0 -1 0 0 1 -1 2 -1 1 0 1 0 1 1 0 0 1 -1 1 -1 2 0 1 0 1 0 1 -1 0 -1 1 -1 1 -1 1 -2 1 -1 -1 0 1 0 1 -1 0 -1 1 -1 0 -1 1 -1 1 -1 1 -1 1 0 2 0 1 1 1 0 1 0 1 1 0 0 2 0 1 0 1 1 1 0 1 0 1 -1 0 -1 1 -1 0 -1 0 -1 0 -1 -1 -1 0 -1 0 0 1 -1 1 0 1 0 1 0 1 -1 2 -1 2 -2 1 -2 1 0 1 -1 1 -1 1 -1 1 -1 0 -1 1 0 1 0 1 -1 0 0 2 -1 2 0 1 0 2 0 1 0 1 0 1 1 1 -2 1 -1 1 0 1 -1 0 0 1 -1 0 0 1 -3 -1 -4 0 -2 0 -2 0 -3 0 -1 0 -3 -1 -3 0 -3 0 -1 0 -3 0 -3 0 -1 0 -2 0 -2 0 -2 0 -1 0 -2 0 -1 0 -2 0 -2 0 -2 0 -2 0 -2 0 -2 0 -1 0 -2 0 -4 0 0 -2"
"24","conus",3,FALSE,"817 360 1 0 0 1 -1 1 0 -2"
"24","conus",3,FALSE,"760 375 1 0 1 2 1 0 0 1 1 2 1 1 1 0 1 0 0 1 1 1 1 2 1 0 1 -1 1 0 2 0 1 1 0 1 1 0 1 1 2 1 1 -1 1 0 1 0 2 0 0 -1 0 -1 2 -1 0 -1 0 -1 1 0 1 0 1 0 1 -1 1 0 -1 -1 0 -1 1 -1 2 0 1 0 1 -1 1 0 1 -1 1 2 0 -1 2 -1 -1 -1 0 -1 0 -1 0 -1 -1 0 0 -1 0 -1 -1 -1 -1 -1 1 -2 1 -1 1 1 1 1 1 -1 0 -1 1 -1 1 0 1 0 1 0 1 0 2 0 1 -1 1 -1 2 0 0 -1 0 1 0 1 -1 1 0 1 0 1 -1 0 0 1 0 1 -1 1 -1 0 -1 1 0 2 0 1 0 1 -1 0 0 1 1 1 -1 0 0 1 1 1 -1 1 1 0 0 1 0 1 -1 1 -1 1 0 1 1 0 1 1 1 1 0 1 1 1 1 2 1 0 0 -1 0 -1 -1 0 0 -1 -1 -1 0 -2 0 -1 0 -1 1 -1 -1 0 -1 -1 0 -1 0 -2 1 0 0 1 1 1 1 0 0 -1 0 -1 -1 0 -1 -1 -1 0 0 -1 1 0 0 -1 1 0 1 1 1 -1 0 -1 -1 0 0 -1 0 -1 -1 -1 2 -2 0 -1 1 0 1 -2 1 0 1 -2 1 0 0 1 -1 1 0 1 1 0 1 0 1 0 -1 -1 0 -1 1 0 0 -1 1 -1 -1 -1 0 -1 1 0 1 1 1 1 1 -1 0 1 6 2 0 2 0 1 1 1 0 2 0 1 0 2 -2 0 -2 -1 -3 0 -3 -1 0 2 -1 2 -1 3 -2 7 0 2 0 1 -1 1 -2 7 -5 -1 -1 -1 -3 0 -2 -1 -2 0 -1 0 -3 -1 -1 0 -3 -1 -3 0 -1 0 -4 -1 -5 -1 -4 -1 -5 -1 -2 0 -1 0 -2 -1 -5 -1 -2 0 1 -4 1 -3 0 -3"
"41","conus",4,FALSE,"100 486 1 -2 0 -2 0 -1 -1 -1 -1 -2 0 -1 0 -1 0 -1 0 -1 0 -1 0 -1 1 -1 0 -1 3 -1 3 -1 2 0 2 -1 1 0 1 -1 2 0 1 0 2 -1 3 -1 4 -1 3 -1 3 0 3 -2 3 0 3 -1 3 -1 3 -1 2 0 3 -1 2 -1 5 -1 3 -1 4 -1 5 -1 2 -1 3 0 3 -1 4 -1 4 -1 5 -1 4 -1 3 -1 3 0 2 -1 2 8 2 8 1 4 2 11 1 2 0 3 1 1 1 2 0 1 0 1 1 1 0 1 0 1 -1 0 -1 1 -1 0 0 1 0 1 0 1 0 1 1 1 1 0 1 2 1 2 2 0 1 1 0 1 1 1 0 1 0 1 1 0 1 1 1 3 1 1 1 2 2 2 1 1 -1 1 0 2 0 1 -1 0 -1 1 -1 0 0 1 0 1 -1 1 0 1 -6 1 -1 0 -2 1 -2 0 -3 1 -5 1 -4 1 -1 0 -4 1 -1 0 -1 0 -2 0 -1 0 -1 0 -1 0 -1 1 -2 -1 -1 0 -1 0 -2 0 -1 0 -1 0 -2 -1 -1 0 -1 0 -1 1 -1 0 -1 1 -1 0 -3 0 0 -1 -1 1 -2 0 0 -1 -1 0 0 2 -2 1 -1 0 -1 1 -2 0 -1 0 -1 1 -1 0 -1 -1 -1 0 -2 -1 -1 1 -1 -1 -1 1 -1 0 -1 1 -2 1 -1 1 0 1 0 1 0 1 1 1 0 1 0 1 0 2 -1 1 0 1 -1 0 -1 2 -1 0 -1 0 -1 0 -1 0 0 1 0 1 0 1 -1 0 -1 0 -1 0 -1 -1 0 1 -1 0 -2 0 0 1 -1 0 1 -2 -1 -2 0 -1 -1 0 0 -1 0 -1 -1 -1 0 -1 0 -1 0 -1 -1 -2 0 -1 -1 -1 0 -2 0 -1 -1 -1 0 -2 -1 -1 -1 -2 -1 -2 -1 -1 0 -2 -1 -1 -1 -2 0 -2 -1 -2 0 -1 -1 -3 -2 -3 0 -1 -2 -3 -1 -2 0 -1 -2 -2 -1 -1 -1 -1 0 -1 0 -1 -1 -1 -1 -1 -1 -2 -2 -2 0 -2"
"26","conus",4,FALSE,"666 496 1 -1 2 -2 1 0 0 1 -1 1 -1 0 -2 1"
"26","conus",4,FALSE,"652 491 1 -2 1 0 1 0 1 4 0 1 -2 0 -1 -2 -1 0 0 -1"
"26","conus",4,FALSE,"647 476 1 0 1 2 1 1 -1 1 -1 0 -1 -3 0 -1"
"26","conus",4,FALSE,"644 411 3 0 1 0 1 0 4 1 2 0 4 0 2 1 5 0 1 0 1 0 5 1 1 0 0 -1 5 1 1 0 4 0 3 1 2 0 3 1 1 0 1 0 -1 1 1 1 1 1 0 1 1 0 0 1 0 1 1 1 0 1 0 1 0 1 0 2 2 1 1 2 0 1 0 1 1 1 0 1 1 1 1 0 -1 -1 1 -2 1 1 1 2 0 2 0 3 0 1 0 1 -1 2 -1 1 0 1 -1 4 -1 3 -1 2 0 1 0 2 -2 2 -1 2 -2 0 -2 0 0 -1 -1 -1 -2 0 0 -1 -2 -1 0 -2 -1 -1 0 -1 -2 -3 0 1 -2 1 -1 0 -1 1 0 1 0 2 1 1 1 1 1 0 0 1 1 1 0 2 1 2 1 0 0 1 1 1 0 3 0 2 0 2 0 1 -1 2 0 1 -2 1 0 1 0 1 1 0 1 0 -1 2 -1 1 0 1 -2 2 -1 -1 -2 1 -2 1 -1 1 -1 -1 -1 0 -1 2 -1 1 -2 0 -1 0 -1 0 -1 1 -3 1 -2 -1 -2 0 1 -1 -1 -1 -1 -2 1 -1 1 -1 1 0 1 -1 -1 0 -1 -1 -1 0 -1 0 -2 -1 -1 -1 0 -1 1 -1 0 -2 0 -1 -1 0 0 -1 -1 0 -1 1 0 3 -1 -1 0 -1 -1 -1 -1 -2 -1 -1 -1 1 0 -1 -1 0 0 -2 0 -1 0 -1 -1 0 -2 -1 0 -1 1 -1 0 -1 0 -1 0 -2 0 -1 -1 -2 -1 -1 0 -2 -1 -1 0 -1 1 -1 0 -1 1 -1 0 -1 -1 -1 0 -1 -1 -1 1 -1 1 -2 0 -1 1 -2 2 -3 0 -1 1 -1 0 -2 1 -2 0 -2 0 -3 0 -2 0 -2 0 -1 -1 -3 -2 -2 0 -1 -1 -4 -1 -2 -2 -1"
