"group","level","year","est","se","bureau_states_it"
"Total",0,2020,-0.24,0.25,FALSE
"Total",0,2010,0.01,0.14,FALSE
"Total",0,2000,0.49,0.2,TRUE
"Total",0,1990,-1.61,0.2,TRUE
"0 to 17",0,2020,-0.84,0.38,TRUE
"0 to 17",0,2010,0.33,0.22,FALSE
"0 to 17",0,2000,NA,NA,FALSE
"0 to 17",0,1990,-3.18,0.29,TRUE
"0 to 9",1,2020,-1.4,0.49,TRUE
"0 to 9",1,2010,-0.2,0.29,FALSE
"0 to 9",1,2000,0.46,0.33,FALSE
"0 to 9",1,1990,NA,NA,FALSE
"0 to 4",2,2020,-2.79,0.64,TRUE
"0 to 4",2,2010,-0.72,0.4,TRUE
"0 to 4",2,2000,NA,NA,FALSE
"0 to 4",2,1990,NA,NA,FALSE
"5 to 9",2,2020,-0.1,0.56,FALSE
"5 to 9",2,2010,0.33,0.31,FALSE
"5 to 9",2,2000,NA,NA,FALSE
"5 to 9",2,1990,NA,NA,FALSE
"10 to 17",1,2020,-0.21,0.43,FALSE
"10 to 17",1,2010,0.97,0.29,TRUE
"10 to 17",1,2000,1.32,0.41,TRUE
"10 to 17",1,1990,NA,NA,FALSE
"18-to-29 males",0,2020,-2.25,0.57,TRUE
"18-to-29 males",0,2010,-1.21,0.45,TRUE
"18-to-29 males",0,2000,-1.12,0.63,TRUE
"18-to-29 males",0,1990,-3.3,0.54,TRUE
"18-to-29 females",0,2020,-0.98,0.58,TRUE
"18-to-29 females",0,2010,0.28,0.36,FALSE
"18-to-29 females",0,2000,1.39,0.52,TRUE
"18-to-29 females",0,1990,-2.83,0.47,TRUE
"30-to-49 males",0,2020,-3.05,0.35,TRUE
"30-to-49 males",0,2010,-3.57,0.2,TRUE
"30-to-49 males",0,2000,-2.01,0.25,TRUE
"30-to-49 males",0,1990,-1.89,0.32,TRUE
"30-to-49 females",0,2020,0.1,0.36,FALSE
"30-to-49 females",0,2010,0.42,0.21,TRUE
"30-to-49 females",0,2000,0.6,0.25,TRUE
"30-to-49 females",0,1990,-0.88,0.25,TRUE
"50-and-over males",0,2020,0.55,0.25,TRUE
"50-and-over males",0,2010,0.32,0.14,TRUE
"50-and-over males",0,2000,0.8,0.27,TRUE
"50-and-over males",0,1990,0.59,0.34,TRUE
"50-and-over females",0,2020,2.63,0.25,TRUE
"50-and-over females",0,2010,2.35,0.14,TRUE
"50-and-over females",0,2000,2.53,0.27,TRUE
"50-and-over females",0,1990,1.24,0.29,TRUE
