"group","level","est_2020","se_2020","bureau_states_it","est_2010","se_2010"
"Total",0,-0.24,0.25,FALSE,0.01,0.14
"White",1,0.66,0.21,TRUE,0.54,0.14
"Non-Hispanic White alone",2,1.64,0.21,TRUE,0.83,0.15
"Black or African American",1,-3.3,0.61,TRUE,-2.06,0.5
"Asian",1,2.62,0.77,TRUE,0,0.52
"American Indian or Alaska Native",1,-0.91,0.54,TRUE,-0.15,0.71
"On Reservation",2,-5.64,2.72,TRUE,-4.88,2.37
"American Indian Areas Off Reservation",2,3.06,2.72,FALSE,3.86,2.99
"Balance of the United States",2,-0.86,0.47,TRUE,0.05,0.58
"Native Hawaiian or Other Pacific Islander",1,1.28,2.11,FALSE,-1.02,2.06
"Some Other Race",1,-4.34,0.49,TRUE,-1.63,0.31
"Hispanic or Latino",0,-4.99,0.53,TRUE,-1.54,0.33
