"tgt","id","part","x","y"
"PEC",1,1,12.6771,14.818
"PEC",1,1,12.7303,14.6996
"PEC",1,1,12.7248,14.578
"PEC",1,1,12.7554,14.4885
"PEC",1,1,12.7148,14.275
"PEC",1,1,12.6968,14.0091
"PEC",1,1,12.7538,13.9824
"PEC",1,1,12.8309,13.9932
"PEC",1,1,12.887,13.9527
"PEC",1,1,12.9693,13.9609
"PEC",1,1,13.0528,13.89
"PEC",1,1,13.0869,13.832
"PEC",1,1,13.06,13.7799
"PEC",1,1,13.0775,13.6989
"PEC",1,1,13.0639,13.5975
"PEC",1,1,13.094,13.5589
"PEC",1,1,13.1458,13.3886
"PEC",1,1,13.1817,13.3396
"PEC",1,1,13.24,13.3166
"PEC",1,1,13.2628,13.3098
"PEC",1,1,13.3248,13.2912
"PEC",1,1,13.4548,13.2858
"PEC",1,1,13.5951,13.2799
"PEC",1,1,13.7004,13.2495
"PEC",1,1,13.787,13.1922
"PEC",1,1,13.8178,13.1719
"PEC",1,1,13.8938,13.0651
"PEC",1,1,13.9829,12.9428
"PEC",1,1,14.0909,12.834
"PEC",1,1,14.2123,12.7688
"PEC",1,1,14.2666,12.7599
"PEC",1,1,14.5087,12.7207
"PEC",1,1,14.5054,12.6593
"PEC",1,1,14.3879,12.5132
"PEC",1,1,14.404,12.498
"PEC",1,1,14.5568,12.4848
"PEC",1,1,14.7276,12.4421
"PEC",1,1,14.7897,12.4053
"PEC",1,1,14.8744,12.3229
"PEC",1,1,15.0066,12.2278
"PEC",1,1,15.0622,12.0928
"PEC",1,1,15.1236,12.0637
"PEC",1,1,15.2817,11.9365
"PEC",1,1,15.6126,11.8382
"PEC",1,1,15.8044,11.7586
"PEC",1,1,16.3982,11.6515
"PEC",1,1,16.4901,11.5692
"PEC",1,1,16.7404,11.4824
"PEC",1,1,16.9147,11.4337
"PEC",1,1,17.0125,11.3254
"PEC",1,1,17.0382,11.2423
"PEC",1,1,17.0485,11.218
"PEC",1,1,16.8986,11.1605
"PEC",1,1,16.7308,11.1246
"PEC",1,1,16.4728,11.093
"PEC",1,1,16.3308,11.06
"PEC",1,1,16.1026,10.9749
"PEC",1,1,15.9784,10.9028
"PEC",1,1,15.8483,10.808
"PEC",1,1,15.7491,10.7221
"PEC",1,1,15.3631,10.3184
"PEC",1,1,15.1872,10.1521
"PEC",1,1,14.9359,9.9418
"PEC",1,1,14.5509,9.6183
"PEC",1,1,14.4612,9.5515
"PEC",1,1,14.1882,9.3488
"PEC",1,1,13.6273,8.9115
"PEC",1,1,13.3423,8.7003
"PEC",1,1,13.3251,8.6874
"PEC",1,1,13.1126,8.9586
"PEC",1,1,12.5421,9.6882
"PEC",1,1,12.3859,9.8538
"PEC",1,1,12.2218,9.9492
"PEC",1,1,12.0249,9.9929
"PEC",1,1,11.0609,10.0288
"PEC",1,1,11.0462,9.2926
"PEC",1,1,11.0395,8.9937
"PEC",1,1,11.0677,8.7574
"PEC",1,1,11.1129,8.4658
"PEC",1,1,11.13,8.3695
"PEC",1,1,11.122,8.1807
"PEC",1,1,11.115,8.1371
"PEC",1,1,11.113,8.1248
"PEC",1,1,11.0906,7.9867
"PEC",1,1,11.0628,7.8181
"PEC",1,1,11.0413,7.7026
"PEC",1,1,11.0133,7.5392
"PEC",1,1,10.9878,7.422
"PEC",1,1,10.9411,7.2196
"PEC",1,1,10.9204,7.1331
"PEC",1,1,10.9017,7.071
"PEC",1,1,10.8583,6.9597
"PEC",1,1,10.8936,6.8777
"PEC",1,1,10.8118,6.8469
"PEC",1,1,10.6724,6.7947
"PEC",1,1,10.5962,6.7694
"PEC",1,1,10.453,6.7152
"PEC",1,1,10.3908,6.6909
"PEC",1,1,10.3328,6.6683
"PEC",1,1,10.2766,6.6705
"PEC",1,1,10.2194,6.7165
"PEC",1,1,10.1305,6.6411
"PEC",1,1,10.0349,6.5482
"PEC",1,1,9.8392,6.3654
"PEC",1,1,9.7363,6.2675
"PEC",1,1,9.6822,6.216
"PEC",1,1,9.4329,5.9801
"PEC",1,1,9.4246,5.9868
"PEC",1,1,9.3159,5.8825
"PEC",1,1,9.2687,5.8391
"PEC",1,1,9.0745,5.6531
"PEC",1,1,8.965,5.5499
"PEC",1,1,8.957,5.5425
"PEC",1,1,8.8219,5.6297
"PEC",1,1,8.6447,5.6509
"PEC",1,1,8.4072,4.1241
"PEC",1,1,8.3816,3.9881
"PEC",1,1,8.3598,3.8607
"PEC",1,1,8.2824,3.5756
"PEC",1,1,8.1776,3.2453
"PEC",1,1,7.9603,2.5611
"PEC",1,1,7.9344,2.5731
"PEC",1,1,7.9216,2.5824
"PEC",1,1,7.774,2.6975
"PEC",1,1,7.6601,2.7306
"PEC",1,1,7.5678,2.7997
"PEC",1,1,7.5126,2.7881
"PEC",1,1,7.3777,2.8399
"PEC",1,1,7.3167,2.8414
"PEC",1,1,7.2206,2.7842
"PEC",1,1,7.1015,2.6826
"PEC",1,1,7.0356,2.5913
"PEC",1,1,6.9405,2.4949
"PEC",1,1,6.8183,2.39
"PEC",1,1,6.6595,2.3749
"PEC",1,1,6.5772,2.3546
"PEC",1,1,6.5006,2.3382
"PEC",1,1,6.3122,2.321
"PEC",1,1,6.2231,2.3239
"PEC",1,1,6.1692,2.2744
"PEC",1,1,6.0439,2.2553
"PEC",1,1,5.9139,2.2746
"PEC",1,1,5.8476,2.2378
"PEC",1,1,5.8367,2.195
"PEC",1,1,5.756,2.1587
"PEC",1,1,5.6391,2.0343
"PEC",1,1,5.4544,1.9342
"PEC",1,1,5.3534,1.92
"PEC",1,1,5.2318,1.8421
