"id","tgt","pop","x","y"
1,"PEC",12,12.3641,14.3378
2,"PEC",0,11.9817,14.2756
3,"PEC",0,11.9361,13.9458
4,"PEC",0,11.857,13.8999
5,"PEC",0,13.3577,13.2724
6,"PEC",0,13.8523,13.1185
7,"PEC",0,14.3963,12.6934
8,"PEC",402,12.9095,12.6011
9,"PEC",39,12.2608,13.2296
10,"PEC",9,12.8019,11.5655
11,"PEC",192,11.8774,11.6214
12,"PEC",72,11.2978,12.3992
13,"PEC",116,11.5717,12.311
14,"PEC",35,11.6278,13.1453
15,"PEC",0,13.8271,12.8884
16,"PEC",24,14.5677,12.2707
17,"PEC",426,14.939,11.56
18,"PEC",0,15.2725,11.9229
19,"PEC",191,15.9463,11.4581
20,"PEC",0,16.8308,11.3821
21,"PEC",0,16.8707,11.1733
22,"PEC",0,16.0395,10.9573
23,"PEC",0,11.1409,11.6201
24,"PEC",0,11.16,12.2491
25,"PEC",0,11.5576,13.3324
26,"PEC",32,14.2593,11.6485
27,"PEC",3,12.7123,11.2842
28,"PEC",12,12.9631,11.2987
29,"PEC",62,12.2285,14.5889
30,"PEC",0,12.1489,14.84
31,"PEC",0,12.0519,14.5867
32,"PEC",0,15.3471,10.552
33,"PEC",3,14.6571,11.1074
34,"PEC",222,14.419,10.0941
35,"PEC",88,13.8843,9.8131
36,"PEC",47,14.4808,10.6944
37,"PEC",275,13.3198,10.3371
38,"PEC",308,12.0833,10.6127
39,"PEC",0,11.5497,11.2461
40,"PEC",23,12.6202,11.0826
41,"PEC",11,11.1946,10.6341
42,"PEC",10,12.0912,11.1961
43,"PEC",58,11.8789,11.0079
44,"PEC",175,13.1059,9.5353
45,"PEC",0,12.8579,9.3019
46,"PEC",0,14.3542,9.4818
47,"PEC",25,13.4459,9.5599
48,"ROZR",169,11.9865,7.8373
49,"ROZR",26,11.6828,7.455
50,"ROZR",31,11.7985,7.8665
51,"ROZR",26,11.8541,7.594
52,"ROZR",20,11.7105,7.8624
53,"ROZR",28,11.7429,8.0602
54,"ROZR",7,11.5185,7.5291
55,"ROZR",17,11.7878,7.7322
56,"ROZR",24,11.7032,7.7342
57,"ROZR",16,11.8894,7.8352
58,"ROZR",44,11.4006,7.6446
59,"ROZR",41,11.4082,7.7425
60,"ROZR",0,11.1538,7.7555
61,"ROZR",32,11.5823,7.2957
62,"ROZR",23,11.736,7.4638
63,"ROZR",14,11.7478,7.5979
