"id","part","x","y","tgt","pop"
8,1,12.1203,13.6324,"PEC",402
8,1,12.4419,13.6274,"PEC",402
8,1,12.5468,13.5663,"PEC",402
8,1,12.5602,13.5159,"PEC",402
8,1,12.5601,13.267,"PEC",402
8,1,12.5692,13.2056,"PEC",402
8,1,12.6415,13.0975,"PEC",402
8,1,12.2572,12.8279,"PEC",402
8,1,11.9381,13.2536,"PEC",402
8,1,11.3493,12.8059,"PEC",402
8,1,11.2641,12.7272,"PEC",402
8,1,11.394,12.6972,"PEC",402
8,1,11.4301,12.6648,"PEC",402
8,1,11.5333,12.6627,"PEC",402
8,1,11.5598,12.6166,"PEC",402
8,1,11.5528,12.4754,"PEC",402
8,1,11.5806,12.4128,"PEC",402
8,1,11.7508,12.2838,"PEC",402
8,1,11.7587,12.2383,"PEC",402
8,1,11.7343,12.149,"PEC",402
8,1,11.6498,12.0361,"PEC",402
8,1,11.5053,11.9573,"PEC",402
8,1,11.4459,12.0368,"PEC",402
8,1,11.3728,12.0296,"PEC",402
8,1,11.1634,12.0375,"PEC",402
9,1,12.1203,13.6324,"PEC",39
9,1,12.1175,13.4922,"PEC",39
9,1,12.0794,13.3932,"PEC",39
9,1,12.0088,13.3061,"PEC",39
9,1,11.9381,13.2536,"PEC",39
9,1,12.2572,12.8279,"PEC",39
9,1,12.6415,13.0975,"PEC",39
9,1,12.5692,13.2056,"PEC",39
9,1,12.5601,13.267,"PEC",39
9,1,12.5602,13.5159,"PEC",39
9,1,12.5468,13.5663,"PEC",39
9,1,12.4419,13.6274,"PEC",39
9,1,12.1203,13.6324,"PEC",39
10,1,13.4924,11.206,"PEC",9
10,1,13.3394,11.7485,"PEC",9
10,1,13.6013,11.7408,"PEC",9
10,1,13.5235,12.0954,"PEC",9
10,1,12.9502,12.1071,"PEC",9
10,1,12.229,12.1269,"PEC",9
10,1,12.2078,11.3902,"PEC",9
10,1,12.3488,11.3838,"PEC",9
10,1,12.345,11.24,"PEC",9
10,1,12.43,11.2384,"PEC",9
10,1,12.6407,11.2321,"PEC",9
10,1,12.6423,11.343,"PEC",9
10,1,12.7869,11.3364,"PEC",9
10,1,12.7792,11.2279,"PEC",9
10,1,12.918,11.2256,"PEC",9
10,1,12.9216,11.3736,"PEC",9
10,1,13.0095,11.3718,"PEC",9
10,1,13.0032,11.2255,"PEC",9
10,1,13.4924,11.206,"PEC",9
11,1,11.7802,11.2548,"PEC",192
11,1,11.7863,11.4423,"PEC",192
11,1,12.0095,11.438,"PEC",192
11,1,12.025,12.1393,"PEC",192
11,1,11.9192,12.1435,"PEC",192
11,1,11.8614,12.0624,"PEC",192
11,1,11.8444,12.0017,"PEC",192
11,1,11.7601,11.9373,"PEC",192
11,1,11.6728,11.9026,"PEC",192
11,1,11.599,11.8004,"PEC",192
11,1,11.7575,11.9036,"PEC",192
11,1,11.7202,11.2564,"PEC",192
11,1,11.7802,11.2548,"PEC",192
12,1,11.2164,12.6662,"PEC",72
12,1,11.1762,12.4601,"PEC",72
12,1,11.1634,12.0375,"PEC",72
12,1,11.3728,12.0296,"PEC",72
12,1,11.4459,12.0368,"PEC",72
12,1,11.4581,12.2245,"PEC",72
12,1,11.4191,12.3382,"PEC",72
12,1,11.4301,12.6648,"PEC",72
12,1,11.394,12.6972,"PEC",72
12,1,11.2641,12.7272,"PEC",72
12,1,11.2164,12.6662,"PEC",72
13,1,11.4301,12.6648,"PEC",116
13,1,11.4191,12.3382,"PEC",116
13,1,11.4581,12.2245,"PEC",116
13,1,11.4459,12.0368,"PEC",116
13,1,11.5053,11.9573,"PEC",116
13,1,11.6498,12.0361,"PEC",116
13,1,11.7343,12.149,"PEC",116
13,1,11.7587,12.2383,"PEC",116
13,1,11.7508,12.2838,"PEC",116
13,1,11.5806,12.4128,"PEC",116
13,1,11.5528,12.4754,"PEC",116
13,1,11.5598,12.6166,"PEC",116
13,1,11.5333,12.6627,"PEC",116
13,1,11.4301,12.6648,"PEC",116
14,1,11.8478,13.8062,"PEC",35
14,1,11.6771,13.5196,"PEC",35
14,1,11.397,13.0371,"PEC",35
14,1,11.2743,12.8094,"PEC",35
14,1,11.2164,12.6662,"PEC",35
14,1,11.2641,12.7272,"PEC",35
14,1,11.3493,12.8059,"PEC",35
14,1,11.9381,13.2536,"PEC",35
14,1,12.0088,13.3061,"PEC",35
14,1,12.0794,13.3932,"PEC",35
14,1,12.1175,13.4922,"PEC",35
14,1,12.1203,13.6324,"PEC",35
14,1,12.052,13.7913,"PEC",35
14,1,11.9045,13.7747,"PEC",35
14,1,11.8478,13.8062,"PEC",35
15,1,13.24,13.3166,"PEC",0
15,1,13.2972,13.2593,"PEC",0
15,1,13.5244,13.2569,"PEC",0
15,1,13.5571,13.2351,"PEC",0
15,1,13.6481,13.2455,"PEC",0
15,1,13.6104,13.1326,"PEC",0
15,1,13.534,13.115,"PEC",0
15,1,13.5367,12.9703,"PEC",0
15,1,13.5758,12.9547,"PEC",0
15,1,13.6513,12.8339,"PEC",0
15,1,13.7605,12.7955,"PEC",0
15,1,13.8478,12.8133,"PEC",0
15,1,13.8532,12.7479,"PEC",0
15,1,13.9313,12.7624,"PEC",0
15,1,14.0041,12.731,"PEC",0
15,1,14.062,12.6578,"PEC",0
15,1,14.2024,12.6401,"PEC",0
15,1,14.283,12.5855,"PEC",0
15,1,14.3599,12.4923,"PEC",0
15,1,14.3879,12.5132,"PEC",0
15,1,14.5054,12.6593,"PEC",0
15,1,14.5087,12.7207,"PEC",0
15,1,14.381,12.6662,"PEC",0
15,1,14.2666,12.7599,"PEC",0
15,1,14.2123,12.7688,"PEC",0
15,1,14.0909,12.834,"PEC",0
15,1,13.9829,12.9428,"PEC",0
15,1,13.8938,13.0651,"PEC",0
15,1,13.787,13.1922,"PEC",0
15,1,13.7004,13.2495,"PEC",0
15,1,13.5951,13.2799,"PEC",0
15,1,13.4548,13.2858,"PEC",0
15,1,13.3387,13.259,"PEC",0
15,1,13.2628,13.3098,"PEC",0
15,1,13.24,13.3166,"PEC",0
16,1,14.404,12.498,"PEC",24
16,1,14.3533,12.41,"PEC",24
16,1,14.2644,12.1331,"PEC",24
16,1,14.5944,12.1232,"PEC",24
16,1,14.5951,12.1512,"PEC",24
16,1,14.891,12.1464,"PEC",24
16,1,14.8311,12.2095,"PEC",24
16,1,14.8225,12.332,"PEC",24
16,1,14.7276,12.4421,"PEC",24
16,1,14.5568,12.4848,"PEC",24
16,1,14.404,12.498,"PEC",24
17,1,14.5944,12.1232,"PEC",426
17,1,14.5677,11.9014,"PEC",426
17,1,14.5414,11.9021,"PEC",426
17,1,14.5052,11.5098,"PEC",426
17,1,14.5717,11.5081,"PEC",426
17,1,14.5406,11.1785,"PEC",426
17,1,14.6105,11.1762,"PEC",426
17,1,14.7135,11.1716,"PEC",426
17,1,14.8443,11.1707,"PEC",426
17,1,15.1459,11.0892,"PEC",426
17,1,15.3424,11.0186,"PEC",426
17,1,15.3705,11.6101,"PEC",426
17,1,15.0533,11.6201,"PEC",426
17,1,15.075,12.004,"PEC",426
17,1,14.9789,12.0533,"PEC",426
17,1,14.891,12.1464,"PEC",426
17,1,14.5951,12.1512,"PEC",426
17,1,14.5944,12.1232,"PEC",426
18,1,14.7276,12.4421,"PEC",0
18,1,14.8225,12.332,"PEC",0
18,1,14.8311,12.2095,"PEC",0
18,1,14.891,12.1464,"PEC",0
18,1,14.9789,12.0533,"PEC",0
18,1,15.075,12.004,"PEC",0
18,1,15.1581,11.9885,"PEC",0
18,1,15.2296,11.9092,"PEC",0
18,1,15.3007,11.8649,"PEC",0
18,1,15.4565,11.8332,"PEC",0
18,1,15.5383,11.7877,"PEC",0
18,1,15.5517,11.7104,"PEC",0
18,1,15.6986,11.7015,"PEC",0
18,1,15.8408,11.5961,"PEC",0
18,1,15.9475,11.6072,"PEC",0
18,1,16.0001,11.6784,"PEC",0
18,1,16.0552,11.6776,"PEC",0
18,1,16.1528,11.629,"PEC",0
18,1,16.3671,11.586,"PEC",0
18,1,16.4863,11.5012,"PEC",0
18,1,16.5724,11.415,"PEC",0
18,1,16.6579,11.3951,"PEC",0
18,1,16.9147,11.4337,"PEC",0
18,1,16.7404,11.4824,"PEC",0
18,1,16.4901,11.5692,"PEC",0
18,1,16.3982,11.6515,"PEC",0
18,1,15.8044,11.7586,"PEC",0
18,1,15.6126,11.8382,"PEC",0
18,1,15.2817,11.9365,"PEC",0
18,1,15.1236,12.0637,"PEC",0
18,1,15.0622,12.0928,"PEC",0
