"yr","name","code","x","y","status","focus","split"
2020,"HAFS","HAFS",20.496,7.427,"kept",FALSE,FALSE
2020,"CENT","CENT",16.079,39.176,"kept",FALSE,FALSE
2020,"CGTC","CGTC",17.409,27.136,"kept",FALSE,FALSE
2020,"MCMS","MCMS",14.75,29.059,"kept",FALSE,FALSE
2020,"TMS","TMS",16.957,36.719,"kept",FALSE,FALSE
2020,"BMS","BMS",26.458,28.504,"kept",FALSE,FALSE
2020,"VHS","VHS",27.934,19.661,"kept",FALSE,FALSE
2020,"ROZR","ROZR",13.559,20.32,"kept",TRUE,TRUE
2020,"HEFS","HEFS",7.279,8.08,"kept",FALSE,FALSE
2020,"RECR","RECR",26.53,37.022,"retired",FALSE,FALSE
2020,"NSES","NSES",18.715,42.625,"retired",FALSE,FALSE
2020,"HHPC","HHPC",21.023,37.694,"kept",FALSE,FALSE
2020,"TWPK","TWPK",21.14,31.638,"kept",FALSE,FALSE
2020,"FMMS","FMMS",17.463,32.286,"kept",FALSE,FALSE
2020,"ANNX","ANNX",16.724,34.353,"kept",FALSE,FALSE
2020,"HCTC","HCTC",21.099,34.799,"retired",FALSE,FALSE
2024,"HEFS","HEFS",7.279,8.08,"kept",FALSE,FALSE
2024,"PEC","PEC",9.062,20.448,"new",FALSE,FALSE
2024,"HAFS","HAFS",20.496,7.427,"kept",FALSE,FALSE
2024,"ROZR","ROZR",16.734,19.433,"kept",TRUE,FALSE
2024,"VHS","VHS",27.934,19.661,"kept",FALSE,FALSE
2024,"MCMS","MCMS",14.75,29.059,"kept",FALSE,FALSE
2024,"TMS","TMS",16.957,36.719,"kept",FALSE,FALSE
2024,"CENT","CENT",16.079,39.176,"kept",FALSE,FALSE
2024,"CGTC","CGTC",17.409,27.136,"kept",FALSE,FALSE
2024,"TWPK","TWPK",21.14,31.638,"kept",FALSE,FALSE
2024,"FMMS","FMMS",17.463,32.286,"kept",FALSE,FALSE
2024,"ANNX","ANNX",16.794,34.376,"kept",FALSE,FALSE
2024,"VFW","VFW",21.099,34.799,"new",FALSE,FALSE
2024,"HHPC","HHPC",21.023,37.694,"kept",FALSE,FALSE
2024,"NORTH HOUSTON SPORT COMPLEX","NHSC",18.715,42.625,"new",FALSE,FALSE
2024,"BMS","BMS",26.458,28.504,"kept",FALSE,FALSE
2024,"WELLSTON CENTER","WELL",26.53,37.022,"new",FALSE,FALSE
