"fips","county","state","pop","white","black","api","aian","twoplus","hispanic"
"01001","Autauga County","Alabama",61464,0.709342,0.212775,0.014236,0.00406742,0.0194748,0.0401048
"01003","Baldwin County","Alabama",261608,0.81749,0.0831091,0.012297,0.00650974,0.0190399,0.0615539
"01005","Barbour County","Alabama",24358,0.448641,0.46145,0.00714344,0.00414648,0.0138763,0.0647426
"01007","Bibb County","Alabama",22258,0.73012,0.210037,0.0029203,0.00476233,0.0163986,0.0357624
"01009","Blount County","Alabama",60163,0.850323,0.0191646,0.00430497,0.00477037,0.0139454,0.107491
"01011","Bullock County","Alabama",9901,0.221695,0.695384,0.00303,0.002828,0.0101,0.0669629
"01013","Butler County","Alabama",18256,0.502629,0.447195,0.0132011,0.00460123,0.0130368,0.0193361
"01015","Calhoun County","Alabama",116427,0.690673,0.222491,0.00975719,0.0038479,0.0227181,0.0505123
"01017","Chambers County","Alabama",33813,0.543134,0.386626,0.00807382,0.00260255,0.0130127,0.0465501
"01019","Cherokee County","Alabama",26138,0.906764,0.0419695,0.00462928,0.00681001,0.0190527,0.0207744
"01021","Chilton County","Alabama",47262,0.7699,0.0985993,0.00469722,0.00363929,0.0147476,0.108417
"01023","Choctaw County","Alabama",12052,0.568951,0.401095,0.00381679,0.00248921,0.0101228,0.0135247
"01025","Clarke County","Alabama",22142,0.515446,0.447611,0.00465179,0.00591636,0.0121037,0.0142715
"01027","Clay County","Alabama",14239,0.797739,0.135333,0.00400309,0.0056886,0.0221223,0.0351148
"01029","Cleburne County","Alabama",15905,0.923357,0.0291103,0.00358378,0.00402389,0.0172273,0.0226973
"01031","Coffee County","Alabama",56358,0.673551,0.161556,0.018418,0.0100429,0.0307853,0.105646
"01033","Colbert County","Alabama",58785,0.767662,0.15504,0.00942417,0.00590287,0.0215701,0.0404015
"01035","Conecuh County","Alabama",11109,0.502295,0.438383,0.00540103,0.00612116,0.0165631,0.0312359
"01037","Coosa County","Alabama",10291,0.663881,0.2818,0.00272082,0.00651054,0.0171023,0.0279856
"01039","Covington County","Alabama",37748,0.824653,0.121781,0.00598707,0.00664936,0.0188619,0.0220674
"01041","Crenshaw County","Alabama",13114,0.695135,0.231737,0.0121244,0.00739668,0.0228001,0.0308068
"01043","Cullman County","Alabama",92604,0.905944,0.0128936,0.00777504,0.00559371,0.0136495,0.0541445
"01045","Dale County","Alabama",50067,0.662073,0.209379,0.0168175,0.00699063,0.0309186,0.0738211
"01047","Dallas County","Alabama",35545,0.262906,0.704009,0.00796174,0.002532,0.01055,0.0120411
"01049","DeKalb County","Alabama",73122,0.766418,0.0156041,0.00464976,0.0122808,0.0216077,0.17944
"01051","Elmore County","Alabama",91042,0.716823,0.217131,0.00800729,0.00384438,0.0174315,0.0367633
"01053","Escambia County","Alabama",36630,0.604395,0.306607,0.0036855,0.0347802,0.0251979,0.0253344
"01055","Etowah County","Alabama",103207,0.761266,0.148856,0.00906915,0.0042439,0.0189038,0.0576608
"01057","Fayette County","Alabama",15863,0.83887,0.11095,0.00504318,0.00384543,0.0176511,0.0236399
"01059","Franklin County","Alabama",31874,0.71883,0.0365502,0.00417268,0.00505114,0.0159064,0.219489
"01061","Geneva County","Alabama",27259,0.814006,0.0878242,0.00491581,0.00924465,0.0255695,0.0584394
"01063","Greene County","Alabama",7127,0.184229,0.787989,0.00336748,0.00308685,0.0110846,0.0102427
"01065","Hale County","Alabama",15116,0.393226,0.574028,0.00403546,0.00258005,0.0105848,0.0155464
"01067","Henry County","Alabama",18141,0.713632,0.232402,0.00589824,0.00490601,0.0190177,0.0241442
"01069","Houston County","Alabama",109366,0.636459,0.271995,0.0131851,0.0041512,0.022603,0.0516065
"01071","Jackson County","Alabama",53780,0.878393,0.0323354,0.00673113,0.0130532,0.0288583,0.0406285
"01073","Jefferson County","Alabama",664744,0.476934,0.427604,0.0203522,0.00190901,0.014377,0.0588241
"01075","Lamar County","Alabama",13543,0.852396,0.103744,0.00118142,0.00287972,0.0184597,0.0213394
"01077","Lauderdale County","Alabama",97502,0.829993,0.0993621,0.0111177,0.00410248,0.0185637,0.0368608
"01079","Lawrence County","Alabama",33567,0.755921,0.0992046,0.00312807,0.0543987,0.0496619,0.0376858
"01081","Lee County","Alabama",187847,0.652973,0.221798,0.0481722,0.00249139,0.0179987,0.0565673
"01083","Limestone County","Alabama",118942,0.722697,0.145188,0.0252308,0.00549007,0.0230953,0.0782987
"01085","Lowndes County","Alabama",9485,0.255456,0.711123,0.00432261,0.00337375,0.00843437,0.0172905
"01087","Macon County","Alabama",18159,0.173027,0.778567,0.00616774,0.00275346,0.0126659,0.0268187
"01089","Madison County","Alabama",423355,0.618431,0.246183,0.0291174,0.00604457,0.0278324,0.0723908
"01091","Marengo County","Alabama",18512,0.437068,0.513343,0.00356525,0.00237684,0.0101016,0.0335458
"01093","Marion County","Alabama",29323,0.898237,0.0425604,0.00426287,0.00446748,0.0151076,0.0353647
"01095","Marshall County","Alabama",102156,0.756373,0.0285935,0.008859,0.00600063,0.0160343,0.18414
"01097","Mobile County","Alabama",412339,0.548372,0.364465,0.0229738,0.00891499,0.0183223,0.0369526
