"state","name","seats","label_x","label_y"
"AK","Alaska",1,159.9,618.5
"AL","Alabama",7,633.2,516.8
"AR","Arkansas",4,526.8,497.8
"AZ","Arizona",9,302.6,486.4
"CA","California",52,175.5,359.5
"CO","Colorado",8,360.9,394.9
"CT","Connecticut",5,958.8,138.4
"DE","Delaware",1,864.2,298.6
"FL","Florida",28,740.3,629.3
"GA","Georgia",14,710.5,513.3
"HI","Hawaii",2,320.5,648.4
"IA","Iowa",4,480.7,267.3
"ID","Idaho",2,253.1,223.4
"IL","Illinois",17,548.4,338.2
"IN","Indiana",9,613.4,334.1
"KS","Kansas",4,439.1,397.7
"KY","Kentucky",6,650.2,397
"LA","Louisiana",6,552.3,567.3
"MA","Massachusetts",9,1001.3,87.9
"MD","Maryland",8,821.3,317.5
"ME","Maine",2,1000.2,26.9
"MI","Michigan",13,599.2,169.3
"MN","Minnesota",8,468.7,186.5
"MO","Missouri",8,524,434.4
"MS","Mississippi",4,585.8,523.4
"MT","Montana",2,321.2,157.4
"NC","North Carolina",14,809.7,433.1
"ND","North Dakota",1,403.5,163.4
"NE","Nebraska",3,430.4,325.8
"NH","New Hampshire",2,959.2,40.3
"NJ","New Jersey",12,911,284.7
"NM","New Mexico",3,360.7,483.8
"NV","Nevada",4,240.8,313.3
"NY","New York",26,866.3,137.9
"OH","Ohio",15,683.2,307.9
"OK","Oklahoma",5,459.1,464.6
"OR","Oregon",6,169.8,194
"PA","Pennsylvania",17,807.5,235.6
"RI","Rhode Island",2,1014.8,141.6
"SC","South Carolina",7,784.2,494.9
"SD","South Dakota",1,394.9,230
"TN","Tennessee",9,631.5,445.9
"TX","Texas",38,435.6,554.1
"UT","Utah",4,288.7,366.9
"VA","Virginia",11,779.1,375.8
"VT","Vermont",1,924.1,44.8
"WA","Washington",10,208.5,124.9
"WI","Wisconsin",8,547.2,225.4
"WV","West Virginia",2,731.3,354.5
"WY","Wyoming",1,336.2,275.3
