"state","cd","district","democrat","republican","dem_share","pres_party","house_rep","house_rep_party"
"IL","14","IL-14",51.75,46.56,52.64,"democrat","Lauren Underwood","democrat"
"IL","15","IL-15",29.26,69.17,29.73,"republican","Mary E. Miller","republican"
"IL","16","IL-16",37.79,60.53,38.44,"republican","Darin Lahood","republican"
"IL","17","IL-17",51.45,46.64,52.45,"democrat","Eric Sorensen","democrat"
"IN","01","IN-01",49.63,49.29,50.17,"democrat","Frank J. Mrvan","democrat"
"IN","02","IN-02",35.9,62.34,36.54,"republican","Rudy Yakym Iii","republican"
"IN","03","IN-03",34.14,65.75,34.18,"republican","Marlin A. Stutzman","republican"
"IN","04","IN-04",35.1,64.84,35.12,"republican","James R. Baird","republican"
"IN","05","IN-05",40.47,57.2,41.44,"republican","Victoria Spartz","republican"
"IN","06","IN-06",33.45,66.55,33.45,"republican","Jefferson Shreve","republican"
"IN","07","IN-07",69.75,28.38,71.08,"democrat","André Carson","democrat"
"IN","08","IN-08",31.76,68.26,31.75,"republican","Mark Messmer","republican"
"IN","09","IN-09",34.81,65.19,34.81,"republican","Erin Houchin","republican"
"KS","01","KS-01",33.45,64.72,34.07,"republican","Tracey Mann","republican"
"KS","02","KS-02",39.21,58.89,39.97,"republican","Derek Schmidt","republican"
"KS","03","KS-03",51.16,47.06,52.09,"democrat","Sharice Davids","democrat"
"KS","04","KS-04",37.5,60.79,38.15,"republican","Ron Estes","republican"
"KY","01","KY-01",25.71,72.99,26.05,"republican","James Comer","republican"
"KY","02","KY-02",28.61,69.92,29.04,"republican","Brett Guthrie","republican"
"KY","03","KY-03",58.53,39.62,59.63,"democrat","Morgan Mcgarvey","democrat"
"KY","04","KY-04",31.37,66.91,31.92,"republican","Thomas Massie","republican"
"KY","05","KY-05",17.45,81.32,17.67,"republican","Harold Rogers","republican"
"KY","06","KY-06",41.52,56.54,42.34,"republican","Andy Barr","republican"
"LA","01","LA-01",29.99,68.16,30.56,"republican","Steve Scalise","republican"
"LA","02","LA-02",64.7,33.35,65.99,"democrat","Troy A. Carter","democrat"
"LA","03","LA-03",26.82,71.84,27.18,"republican","Clay Higgins","republican"
"LA","04","LA-04",23.23,75.56,23.51,"republican","Mike Johnson","republican"
"LA","05","LA-05",31.06,67.44,31.53,"republican","Julia Letlow","republican"
"LA","06","LA-06",56.64,41.8,57.54,"democrat","Cleo Fields","democrat"
"MA","01","MA-01",55.63,41.86,57.06,"democrat","Richard E. Neal","democrat"
"MA","02","MA-02",60.26,36.71,62.14,"democrat","James P. Mcgovern","democrat"
"MA","03","MA-03",58.1,39.27,59.67,"democrat","Lori Trahan","democrat"
"MA","04","MA-04",58.44,38.86,60.06,"democrat","Jake Auchincloss","democrat"
"MA","05","MA-05",70.85,25.97,73.18,"democrat","Katherine M. Clark","democrat"
"MA","06","MA-06",59.04,38.47,60.55,"democrat","Seth Moulton","democrat"
"MA","07","MA-07",79.46,16.73,82.61,"democrat","Ayanna Pressley","democrat"
"MA","08","MA-08",61.72,35.49,63.49,"democrat","Stephen F. Lynch","democrat"
"MA","09","MA-09",54.29,43.58,55.47,"democrat","William R. Keating","democrat"
"MD","01","MD-01",40.17,56.99,41.34,"republican","Andy Harris","republican"
"MD","02","MD-02",57.48,39.17,59.47,"democrat","John \""Johnny O\"" Olszewski, Jr.","democrat"
"MD","03","MD-03",59.84,36.3,62.24,"democrat","Sarah Elfreth","democrat"
"MD","04","MD-04",85,11.77,87.84,"democrat","Glenn Ivey","democrat"
"MD","05","MD-05",65.11,32.03,67.03,"democrat","Steny H. Hoyer","democrat"
"MD","06","MD-06",51.25,45.51,52.97,"democrat","April Mcclain Delaney","democrat"
"MD","07","MD-07",77.68,19.12,80.25,"democrat","Kweisi Mfume","democrat"
"MD","08","MD-08",76.01,20.17,79.03,"democrat","Jamie Raskin","democrat"
"ME","01","ME-01",59.78,37.97,61.16,"democrat","Chellie Pingree","democrat"
"ME","02","ME-02",44.22,53.75,45.14,"republican","Continuing Ballots",NA
"MI","01","MI-01",38.65,59.89,39.22,"republican","Jack Bergman","republican"
"MI","02","MI-02",34.3,64.18,34.83,"republican","John R. Moolenaar","republican"
"MI","03","MI-03",52.96,45.12,54,"democrat","Hillary J. Scholten","democrat"
"MI","04","MI-04",46.25,51.92,47.11,"republican","Bill Huizenga","republican"
"MI","05","MI-05",35.63,62.71,36.23,"republican","Tim Walberg","republican"
"MI","06","MI-06",60.12,36.93,61.95,"democrat","Debbie Dingell","democrat"
"MI","07","MI-07",48.53,49.82,49.34,"republican","Tom Barrett","republican"
"MI","08","MI-08",48.21,50.2,48.99,"republican","Kristen Mcdonald Rivet","democrat"
"MI","09","MI-09",33.17,65.5,33.62,"republican","Lisa C. Mcclain","republican"
"MI","10","MI-10",45.69,52.24,46.66,"republican","John James","republican"
"MI","11","MI-11",57.06,40.96,58.21,"democrat","Haley M. Stevens","democrat"
"MI","12","MI-12",66.57,28.88,69.74,"democrat","Rashida Tlaib","democrat"
"MI","13","MI-13",69.42,28.04,71.23,"democrat","Shri Thanedar","democrat"
"MN","01","MN-01",43.06,55.06,43.89,"republican","Brad Finstad","republican"
"MN","02","MN-02",51.92,46.09,52.97,"democrat","Angie Craig","democrat"
"MN","03","MN-03",59.57,38.31,60.86,"democrat","Kelly Morrison","democrat"
"MN","04","MN-04",66.75,31.07,68.24,"democrat","Betty Mccollum","democrat"
"MN","05","MN-05",79.61,17.75,81.77,"democrat","Ilhan Omar","democrat"
"MN","06","MN-06",39.18,58.85,39.97,"republican","Tom Emmer","republican"
"MN","07","MN-07",30.93,67.41,31.45,"republican","Michelle Fischbach","republican"
"MN","08","MN-08",42.03,56.32,42.74,"republican","Pete Stauber","republican"
"MO","01","MO-01",77.65,20.53,79.09,"democrat","Wesley Bell","democrat"
"MO","02","MO-02",45.19,53.1,45.98,"republican","Ann Wagner","republican"
"MO","03","MO-03",35.88,62.66,36.41,"republican","Bob Onder","republican"
"MO","04","MO-04",28.21,70.51,28.58,"republican","Mark Alford","republican"
"MO","05","MO-05",60.69,37.53,61.79,"democrat","Emanuel Cleaver","democrat"
"MO","06","MO-06",29.97,68.83,30.33,"republican","Sam Graves","republican"
"MO","07","MO-07",28.09,70.68,28.44,"republican","Eric Burlison","republican"
"MO","08","MO-08",22.52,76.5,22.74,"republican","Jason Smith","republican"
"MS","01","MS-01",30.82,67.85,31.24,"republican","Trent Kelly","republican"
"MS","02","MS-02",59.68,39.29,60.3,"democrat","Bennie G. Thompson","democrat"
"MS","03","MS-03",34.49,63.68,35.13,"republican","Michael Guest","republican"
"MS","04","MS-04",28.19,70.72,28.5,"republican","Mike Ezell","republican"
"MT","01","MT-01",42.67,54.21,44.04,"republican","Ryan K. Zinke","republican"
"MT","02","MT-02",33.64,63.18,34.74,"republican","Troy Downing","republican"
"NC","01","NC-01",47.97,51.06,48.44,"republican","Donald G. Davis","democrat"
"NC","02","NC-02",66.21,31.92,67.47,"democrat","Deborah K. Ross","democrat"
"NC","03","NC-03",38.52,60.33,38.97,"republican","Gregory F. Murphy","republican"
"NC","04","NC-04",71.81,26.53,73.02,"democrat","Valerie P. Foushee","democrat"
"NC","05","NC-05",40.4,58.22,40.97,"republican","Virginia Foxx","republican"
"NC","06","NC-06",41.1,58.11,41.43,"republican","Addison Mcdowell","republican"
"NC","07","NC-07",42.52,56.31,43.02,"republican","David Rouzer","republican"
"NC","08","NC-08",39.58,59.14,40.09,"republican","Mark Harris","republican"
"NC","09","NC-09",41.71,57.5,42.04,"republican","Richard Hudson","republican"
"NC","10","NC-10",40.51,58.18,41.05,"republican","Pat Harrigan","republican"
"NC","11","NC-11",44.5,53.96,45.2,"republican","Chuck Edwards","republican"
"NC","12","NC-12",72.22,25.99,73.54,"democrat","Alma S. Adams","democrat"
"NC","13","NC-13",41.11,57.97,41.49,"republican","Brad Knott","republican"
"NC","14","NC-14",41.94,57.06,42.36,"republican","Tim Moore","republican"
"ND","00","ND-00",30.77,67.52,31.31,"republican","Julie Fedorchak","republican"
"NE","01","NE-01",42.77,55.82,43.38,"republican","Mike Flood","republican"
"NE","02","NE-02",51.64,47.02,52.34,"democrat","Don Bacon","republican"
"NE","03","NE-03",22.52,76.32,22.78,"republican","Adrian Smith","republican"
"NH","01","NH-01",50.27,48.28,51.01,"democrat","Chris Pappas","democrat"
"NH","02","NH-02",51.04,47.46,51.82,"democrat","Maggie Goodlander","democrat"
"NJ","01","NJ-01",58.61,39.88,59.51,"democrat","Donald Norcross","democrat"
"NJ","02","NJ-02",43,55.56,43.63,"republican","Jefferson Van Drew","republican"
"NJ","03","NJ-03",53.36,45,54.25,"democrat","Herb Conaway","democrat"
"NJ","04","NJ-04",34.26,64.37,34.74,"republican","Christopher H. Smith","republican"
"NJ","05","NJ-05",49.8,48.29,50.77,"democrat","Josh Gottheimer","democrat"
"NJ","06","NJ-06",51.95,45.53,53.29,"democrat","Frank Pallone, Jr.","democrat"
"NJ","07","NJ-07",48.45,49.63,49.4,"republican","Thomas H. Kean, Jr.","republican"
"NJ","08","NJ-08",60.83,36.65,62.4,"democrat","Robert Menendez","democrat"
"NJ","09","NJ-09",48.02,49.16,49.41,"republican","Nellie Pou","democrat"
"NJ","10","NJ-10",74.52,23.75,75.83,"democrat","Lamonica Mciver","democrat"
"NJ","11","NJ-11",53.34,44.62,54.45,"democrat","Mikie Sherrill","democrat"
"NJ","12","NJ-12",60.57,36.7,62.27,"democrat","Bonnie Watson Coleman","democrat"
