"state","cd","district","democrat","republican","dem_share","pres_party","house_rep","house_rep_party"
"RI","01","RI-01",59.66,37.62,61.33,"democrat","Gabe Amo","democrat"
"RI","02","RI-02",52.04,45.29,53.47,"democrat","Seth Magaziner","democrat"
"SC","01","SC-01",42.69,55.79,43.35,"republican","Nancy Mace","republican"
"SC","02","SC-02",42.27,56.23,42.91,"republican","Joe Wilson","republican"
"SC","03","SC-03",27.84,70.89,28.2,"republican","Sheri Biggs","republican"
"SC","04","SC-04",37.38,61.01,37.99,"republican","William R. Timmons Iv","republican"
"SC","05","SC-05",37.93,60.71,38.45,"republican","Ralph Norman","republican"
"SC","06","SC-06",60.62,37.78,61.61,"democrat","James E. Clyburn","democrat"
"SC","07","SC-07",36.29,62.65,36.68,"republican","Russell Fry","republican"
"SD","00","SD-00",34.24,63.43,35.06,"republican","Dusty Johnson","republican"
"TN","01","TN-01",20.57,78.41,20.78,"republican","Diana Harshbarger","republican"
"TN","02","TN-02",32.38,66.24,32.83,"republican","Tim Burchett","republican"
"TN","03","TN-03",31.41,67.28,31.83,"republican","Charles J. \""Chuck\"" Fleischmann","republican"
"TN","04","TN-04",27.61,71.19,27.95,"republican","Scott Desjarlais","republican"
"TN","05","TN-05",40.21,58.2,40.86,"republican","Andrew Ogles","republican"
"TN","06","TN-06",31.94,66.81,32.34,"republican","John W. Rose","republican"
"TN","07","TN-07",38.13,60.41,38.69,"republican","Mark E. Green","republican"
"TN","08","TN-08",28.88,69.99,29.21,"republican","David Kustoff","republican"
"TN","09","TN-09",70.84,27.38,72.12,"democrat","Steve Cohen","democrat"
"TX","01","TX-01",24,75.25,24.18,"republican","Nathaniel Moran","republican"
"TX","02","TX-02",37.49,61.26,37.96,"republican","Dan Crenshaw","republican"
"TX","03","TX-03",38.63,58.66,39.71,"republican","Keith Self","republican"
"TX","04","TX-04",32.87,65.43,33.44,"republican","Pat Fallon","republican"
"TX","05","TX-05",35.84,62.87,36.31,"republican","Lance Gooden","republican"
"TX","06","TX-06",35.15,63.65,35.58,"republican","Jake Ellzey","republican"
"TX","07","TX-07",58.83,38.1,60.69,"democrat","Lizzie Fletcher","democrat"
"TX","08","TX-08",32.42,66.28,32.85,"republican","Morgan Luttrell","republican"
"TX","09","TX-09",71.23,27.18,72.38,"democrat","Al Green","democrat"
