"state","part","x","y"
"AK",1,146.5,616.7
"AK",1,146.4,616.8
"AK",1,146.6,617
"AK",1,147,616.7
"AK",1,147.2,616.8
"AK",1,147.5,616.7
"AK",1,147.5,616.5
"AK",1,147,616.1
"AK",1,146.7,615.9
"AK",1,146.7,615.7
"AK",1,146.6,615.4
"AK",1,146.4,615.3
"AK",1,146,615.4
"AK",1,145.7,615.1
"AK",1,145.7,614.9
"AK",1,145.5,614.9
"AK",1,145.2,615.4
"AK",1,145.3,615.7
"AK",1,145.4,615.9
"AK",1,145.8,615.8
"AK",1,146.2,616.1
"AK",1,146.2,616.4
"AK",1,146.3,616.5
"AK",1,146.5,616.7
"AK",2,147,621.8
"AK",2,146.8,621.9
"AK",2,146.8,622.3
"AK",2,147.1,622.6
"AK",2,147.3,622.8
"AK",2,147.5,622.9
"AK",2,147.7,623.1
"AK",2,148,623
"AK",2,148.3,623
"AK",2,148.4,622.8
"AK",2,148.3,622.6
"AK",2,148.4,622.3
"AK",2,148.3,622
"AK",2,148.1,621.9
"AK",2,147.8,621.9
"AK",2,147.7,621.8
"AK",2,147.3,622
"AK",2,147,621.8
"AK",3,142.9,626
"AK",3,142.6,626
"AK",3,142.5,626.4
"AK",3,142.9,626.3
"AK",3,143.1,626.1
"AK",3,142.9,626
"AK",4,143.2,627.2
"AK",4,142.9,627.1
"AK",4,142.8,627.2
"AK",4,142.9,627.4
"AK",4,143.1,627.5
"AK",4,143.2,627.4
"AK",4,143.2,627.2
"AK",5,148.4,632.5
"AK",5,148.2,632.7
"AK",5,148.4,633.1
"AK",5,148.9,633
"AK",5,148.8,632.8
"AK",5,148.4,632.5
"AK",6,143.8,632.8
"AK",6,143.7,633
"AK",6,143.1,633.1
"AK",6,143.2,632.9
"AK",6,142.8,632.6
"AK",6,142.5,632.7
"AK",6,142.3,632.9
"AK",6,141.9,633.1
"AK",6,141.6,633.4
"AK",6,141.4,633.3
"AK",6,141.2,633.6
"AK",6,141.2,633.7
"AK",6,142,633.6
"AK",6,142.2,633.7
"AK",6,142.4,633.4
"AK",6,142.7,633.3
"AK",6,143,633.5
"AK",6,143.2,633.5
"AK",6,143.7,633.3
"AK",6,144.1,633.4
"AK",6,144.5,633.2
"AK",6,144.7,633.1
"AK",6,145,633
"AK",6,145.1,632.8
"AK",6,145.4,632.7
"AK",6,145.5,632.8
"AK",6,145.7,632.8
"AK",6,146.2,632.9
"AK",6,146.4,632.7
"AK",6,146.4,632.5
"AK",6,146.1,632.6
"AK",6,145.8,632.4
"AK",6,145.8,632.2
"AK",6,145.6,632.1
"AK",6,145.4,632.3
"AK",6,145.3,632.2
"AK",6,145,632.3
"AK",6,144.9,632.5
"AK",6,144.3,632.3
"AK",6,144.1,632.3
"AK",6,143.8,632.4
"AK",6,143.8,632.8
"AK",7,140.8,633.2
"AK",7,140.6,633
"AK",7,140.2,633.4
"AK",7,140.4,633.5
"AK",7,140.6,633.4
"AK",7,140.9,633.5
"AK",7,141,633.2
"AK",7,140.9,632.9
"AK",7,140.8,632.9
"AK",7,140.8,633.2
"AK",8,139,633.4
"AK",8,139.1,633.5
"AK",8,139.4,633.3
"AK",8,139.3,633.2
"AK",8,139,633.4
"AK",9,139.5,633.6
"AK",9,139.9,633.5
"AK",9,140,633.4
"AK",9,139.8,633.2
"AK",9,139.5,633.3
"AK",9,139.5,633.4
"AK",9,139.5,633.6
"AK",10,166.3,607.1
"AK",10,165.9,607
"AK",10,165.5,607
"AK",10,165.2,607.2
"AK",10,165.1,607.3
"AK",10,164.8,607.2
"AK",10,164.3,607
"AK",10,163.9,606.9
"AK",10,163.5,606.6
"AK",10,163.3,606.6
"AK",10,163.1,606.5
"AK",10,162.8,606.6
"AK",10,162.2,606.3
"AK",10,161.8,606.4
"AK",10,161.5,606.4
"AK",10,161.2,606.5
"AK",10,160.8,605.8
"AK",10,160.6,605.7
"AK",10,160.2,605.6
"AK",10,159.8,605.6
"AK",10,159.5,605.5
"AK",10,159.3,605.2
"AK",10,158.8,604.8
"AK",10,158.4,604.6
"AK",10,158.2,604.8
"AK",10,157.8,605.3
"AK",10,157.4,605.5
"AK",10,157.1,605.2
"AK",10,156.8,605.3
"AK",10,156.5,605.4
"AK",10,156,605.8
"AK",10,155.7,605.9
"AK",10,155.4,606
"AK",10,155.1,605.9
"AK",10,154.8,606.1
"AK",10,154.2,606.6
"AK",10,154,607
"AK",10,154,607.3
"AK",10,153.6,607.7
"AK",10,153.2,607.9
"AK",10,152.5,607.9
"AK",10,152,607.7
"AK",10,151.9,607.7
"AK",10,151.8,608.2
"AK",10,151.6,608.4
"AK",10,151.4,608.4
"AK",10,151.3,608.6
"AK",10,151.6,608.8
"AK",10,151.8,609.1
"AK",10,152,609.3
"AK",10,152.4,610
"AK",10,152.6,610.3
"AK",10,152.7,611.2
"AK",10,153.1,611.5
"AK",10,153.3,611.6
"AK",10,152.6,612
"AK",10,152.1,611.8
"AK",10,151.3,611.9
"AK",10,150.4,612.2
"AK",10,149.7,612.5
"AK",10,149.2,612.6
"AK",10,149.1,612.9
"AK",10,149.5,613.4
"AK",10,149.7,613.5
"AK",10,149.6,613.8
"AK",10,149.6,614
"AK",10,149.8,614.3
"AK",10,149.7,614.8
"AK",10,149.9,615
"AK",10,150.5,615.3
"AK",10,150.7,615.5
"AK",10,150.9,615.5
"AK",10,151.2,615.4
"AK",10,151.7,615.5
"AK",10,152,615.9
"AK",10,152.2,616.1
"AK",10,152.5,616
"AK",10,152.7,615.7
"AK",10,153.1,616.2
"AK",10,153.3,616.2
"AK",10,153.5,616.5
"AK",10,153.4,616.8
"AK",10,153.5,617.3
"AK",10,153.1,617.6
"AK",10,152.6,617.6
"AK",10,152.2,617.1
"AK",10,151.9,617.3
"AK",10,152,617.4
"AK",10,152.2,617.5
"AK",10,151.9,617.8
"AK",10,151.8,617.8
"AK",10,151.5,618
"AK",10,151.4,618
"AK",10,151.2,617.7
"AK",10,150.9,617.5
"AK",10,150.6,617.5
"AK",10,150.2,617.8
"AK",10,150.1,617.9
"AK",10,149.8,618.2
"AK",10,149.5,618.8
"AK",10,149.2,619
"AK",10,148.9,619.1
"AK",10,148.7,619.5
"AK",10,148.6,619.5
"AK",10,148.4,619.9
"AK",10,148.4,620.2
"AK",10,148.6,620.7
"AK",10,148.7,621
"AK",10,148.8,621.1
"AK",10,149,621.4
"AK",10,149,621.6
"AK",10,148.6,621.8
"AK",10,148.9,622.4
"AK",10,149.1,622.5
"AK",10,149.3,623
"AK",10,149.2,623.2
"AK",10,149.4,623.7
"AK",10,149.6,623.8
"AK",10,149.6,623.6
"AK",10,150.2,623.6
"AK",10,150.4,623.7
"AK",10,150.6,623.6
"AK",10,150.8,623.6
"AK",10,151,623.8
"AK",10,151.2,624.3
"AK",10,150.8,624.7
"AK",10,150.8,624.9
"AK",10,150.9,625.3
"AK",10,150.9,625.5
"AK",10,150.8,625.6
"AK",10,150.6,625.6
"AK",10,150.6,625.9
"AK",10,150.8,625.9
"AK",10,151,626.1
"AK",10,151.4,625.9
"AK",10,151.4,626.2
"AK",10,151.6,626.2
"AK",10,151.8,626.2
"AK",10,152,625.8
"AK",10,152.3,625.7
"AK",10,152.3,625.8
"AK",10,152.6,626
"AK",10,152.8,625.9
"AK",10,152.9,626
"AK",10,153.2,626.7
"AK",10,153.3,626.8
"AK",10,153.4,626.8
"AK",10,153.7,626.7
"AK",10,154,626.6
"AK",10,154.1,626.7
"AK",10,153.7,627.6
"AK",10,153,629.1
"AK",10,153,629.2
"AK",10,152.7,629.4
"AK",10,151.9,629.7
"AK",10,151.4,630
"AK",10,151.1,630.4
"AK",10,150.5,630.3
"AK",10,149.9,630.4
"AK",10,149.4,630.6
"AK",10,149.1,630.9
"AK",10,148.6,631.1
"AK",10,148.4,631.3
"AK",10,147.9,631.4
"AK",10,147.5,631.4
"AK",10,147.1,631.5
"AK",10,146.8,631.5
"AK",10,146.6,631.8
"AK",10,146.3,631.9
"AK",10,146.3,632.1
"AK",10,146.3,632.3
"AK",10,146.6,632.4
"AK",10,146.8,632.4
"AK",10,147.2,632.2
"AK",10,148.2,632.4
"AK",10,148.3,632.2
"AK",10,148.2,632
"AK",10,148.7,631.9
"AK",10,148.8,632.7
"AK",10,149,632.5
"AK",10,149.2,632.5
"AK",10,149.3,632.4
"AK",10,149.4,632.5
"AK",10,149.7,632.4
"AK",10,149.7,632.1
"AK",10,149.9,632.1
"AK",10,150.5,631.6
"AK",10,150.5,632
"AK",10,150.8,632.1
