"position","beat","companion","chapter","title","topic"
1,"1 source",FALSE,"admin-records-source","Records Made While Doing Something Else","Three institutions that wrote a person down, and the denominator none of them supplies"
2,"4 use",FALSE,"policing","Traffic Stops and the Benchmark Problem","Traffic stops in one city, and a disparity that changes sign when you change the denominator"
3,"4 use",FALSE,"jury-selection","Peremptory Strikes and Jury Composition","Peremptory strikes in one Mississippi district, and a pattern no single trial can show"
4,"4 use",FALSE,"redlining","HOLC Redlining Maps and Present-Day Geography","A form filled in on the edge of Cleveland in 1939, and the ground it still describes"
