"year","girls","per100k","rank","births","cumulative_births"
1880,0,0,NA,0,0
1881,0,0,NA,0,0
1882,0,0,NA,0,0
1883,0,0,NA,0,0
1884,0,0,NA,0,0
1885,0,0,NA,0,0
1886,0,0,NA,0,0
1887,0,0,NA,0,0
1888,0,0,NA,0,0
1889,0,0,NA,0,0
1890,0,0,NA,0,0
1891,0,0,NA,0,0
1892,0,0,NA,0,0
1893,0,0,NA,0,0
1894,0,0,NA,0,0
1895,0,0,NA,0,0
1896,0,0,NA,0,0
1897,0,0,NA,0,0
1898,0,0,NA,0,0
1899,0,0,NA,0,0
1900,0,0,NA,0,0
1901,0,0,NA,0,0
1902,0,0,NA,0,0
1903,0,0,NA,0,0
1904,0,0,NA,0,0
1905,0,0,NA,0,0
1906,0,0,NA,0,0
1907,0,0,NA,0,0
1908,0,0,NA,0,0
1909,0,0,NA,0,0
1910,0,0,NA,0,0
1911,0,0,NA,0,0
1912,0,0,NA,0,0
1913,0,0,NA,0,0
1914,0,0,NA,0,0
1915,0,0,NA,0,0
1916,5,0.258476,4430,5,5
1917,5,0.249159,4606,5,10
1918,0,0,NA,0,10
1919,0,0,NA,0,10
1920,0,0,NA,0,10
1921,6,0.257014,4474,6,16
1922,0,0,NA,0,16
1923,5,0.217158,4979,5,21
1924,5,0.209942,5085,5,26
1925,10,0.428577,3119,10,36
1926,6,0.261335,4314,6,42
1927,6,0.258694,4302,6,48
1928,7,0.309607,3751,7,55
1929,0,0,NA,0,55
1930,0,0,NA,0,55
1931,5,0.237598,4342,5,60
1932,0,0,NA,0,60
1933,0,0,NA,0,60
1934,0,0,NA,0,60
1935,5,0.239243,4215,5,65
1936,0,0,NA,0,65
1937,7,0.328532,3439,7,72
1938,0,0,NA,0,72
1939,0,0,NA,0,72
1940,0,0,NA,0,72
1941,6,0.246261,3961,6,78
1942,8,0.292839,3448,8,86
1943,6,0.212571,4203,6,92
1944,16,0.594774,2200,16,108
1945,20,0.753879,1875,20,128
1946,24,0.751097,1860,24,152
1947,46,1.27694,1358,46,198
1948,48,1.39029,1328,48,246
1949,45,1.29132,1376,45,291
1950,38,1.08469,1495,38,329
1951,55,1.49307,1254,55,384
1952,52,1.36915,1333,52,436
1953,39,1.01204,1565,39,475
1954,33,0.829007,1801,33,508
1955,41,1.02113,1597,41,549
1956,33,0.800387,1871,33,582
1957,53,1.26128,1458,53,635
1958,39,0.94339,1733,39,674
1959,26,0.625304,2235,26,700
1960,34,0.818437,1953,34,734
1961,36,0.869001,1921,36,770
1962,47,1.1647,1651,47,817
1963,34,0.858893,2017,34,851
1964,30,0.771694,2197,30,881
1965,28,0.772348,2249,28,909
1966,32,0.920694,2058,32,941
1967,46,1.355,1682,46,987
1968,79,2.33841,1231,79,1066
1969,75,2.15816,1304,75,1141
1970,86,2.38467,1270,86,1227
1971,68,1.9812,1489,68,1295
1972,92,2.92728,1169,92,1387
1973,152,5.03848,847,152,1539
1974,213,7.00688,690,213,1752
1975,211,6.98856,702,211,1963
1976,202,6.65764,723,202,2165
1977,189,5.9502,792,189,2354
1978,175,5.51408,846,175,2529
1979,176,5.29036,875,176,2705
1980,179,5.19706,859,179,2884
1981,222,6.4176,743,222,3106
1982,215,6.12925,767,215,3321
1983,219,6.32368,745,219,3540
1984,208,5.96217,775,214,3754
1985,200,5.60375,816,200,3954
1986,498,14.0003,432,503,4457
1987,821,22.77,294,830,5287
1988,918,24.8435,273,925,6212
1989,1305,33.9448,203,1310,7522
1990,2131,53.9141,146,2139,9661
1991,2476,63.5632,127,2487,12148
1992,2234,58.1568,140,2240,14388
1993,3037,80.5485,107,3048,17436
1994,3441,92.5551,95,3459,20895
1995,3359,91.7196,100,3359,24254
1996,3260,89.381,100,3266,27520
1997,3090,85.2214,106,3096,30616
1998,3622,98.469,93,3622,34238
1999,3644,98.6472,89,3652,37890
2000,3674,97.1948,87,3682,41572
2001,3898,104.127,78,3909,45481
2002,4401,117.724,69,4407,49888
2003,4598,120.921,67,4604,54492
2004,4440,116.193,72,4468,58960
2005,4664,121.296,66,4674,63634
2006,6117,154.607,39,6125,69759
2007,5785,144.696,40,5794,75553
2008,5226,132.94,50,5239,80792
2009,5311,139.006,43,5318,86110
2010,5043,136.435,50,5050,91160
2011,4510,123.281,55,4518,95678
2012,4297,117.469,57,4297,99975
2013,4106,112.606,60,4113,104088
2014,4249,114.614,64,4256,108344
2015,6053,163.513,32,6067,114411
2016,4775,130.118,51,4780,119191
2017,3896,108.905,66,3901,123092
2018,3068,87.2277,90,3076,126168
2019,2002,57.6516,139,2008,128176
2020,1285,38.4428,230,1290,129466
2021,708,20.8828,440,708,130174
2022,577,17.0401,535,577,130751
2023,492,14.8409,606,492,131243
2024,349,10.4395,806,349,131592
2025,243,7.32956,1029,243,131835
