"name","event","year","n","per100k"
"ALEXA",2015,1990,2131,53.9141
"ALEXA",2015,1991,2476,63.5632
"ALEXA",2015,1992,2234,58.1568
"ALEXA",2015,1993,3037,80.5485
"ALEXA",2015,1994,3441,92.5551
"ALEXA",2015,1995,3359,91.7196
"ALEXA",2015,1996,3260,89.381
"ALEXA",2015,1997,3090,85.2214
"ALEXA",2015,1998,3622,98.469
"ALEXA",2015,1999,3644,98.6472
"ALEXA",2015,2000,3674,97.1948
"ALEXA",2015,2001,3898,104.127
"ALEXA",2015,2002,4401,117.724
"ALEXA",2015,2003,4598,120.921
"ALEXA",2015,2004,4440,116.193
"ALEXA",2015,2005,4664,121.296
"ALEXA",2015,2006,6117,154.607
"ALEXA",2015,2007,5785,144.696
"ALEXA",2015,2008,5226,132.94
"ALEXA",2015,2009,5311,139.006
"ALEXA",2015,2010,5043,136.435
"ALEXA",2015,2011,4510,123.281
"ALEXA",2015,2012,4297,117.469
"ALEXA",2015,2013,4106,112.606
"ALEXA",2015,2014,4249,114.614
"ALEXA",2015,2015,6053,163.513
"ALEXA",2015,2016,4775,130.118
"ALEXA",2015,2017,3896,108.905
"ALEXA",2015,2018,3068,87.2277
"ALEXA",2015,2019,2002,57.6516
"ALEXA",2015,2020,1285,38.4428
"ALEXA",2015,2021,708,20.8828
"ALEXA",2015,2022,577,17.0401
"ALEXA",2015,2023,492,14.8409
"ALEXA",2015,2024,349,10.4395
"ALEXA",2015,2025,243,7.32956
"SIRI",2011,1990,23,0.581898
"SIRI",2011,1991,23,0.59045
"SIRI",2011,1992,22,0.572717
"SIRI",2011,1993,20,0.530448
"SIRI",2011,1994,17,0.457262
"SIRI",2011,1995,23,0.628029
"SIRI",2011,1996,31,0.849942
"SIRI",2011,1997,31,0.854972
"SIRI",2011,1998,28,0.761218
"SIRI",2011,1999,33,0.893347
"SIRI",2011,2000,35,0.925917
"SIRI",2011,2001,29,0.774675
"SIRI",2011,2002,36,0.96298
"SIRI",2011,2003,44,1.15714
"SIRI",2011,2004,55,1.43933
"SIRI",2011,2005,72,1.87249
"SIRI",2011,2006,105,2.65387
"SIRI",2011,2007,108,2.70133
"SIRI",2011,2008,115,2.9254
"SIRI",2011,2009,120,3.1408
"SIRI",2011,2010,111,3.00303
"SIRI",2011,2011,103,2.8155
"SIRI",2011,2012,108,2.95243
"SIRI",2011,2013,42,1.15184
"SIRI",2011,2014,39,1.052
"SIRI",2011,2015,25,0.67534
"SIRI",2011,2016,24,0.653994
"SIRI",2011,2017,20,0.559063
"SIRI",2011,2018,20,0.568629
"SIRI",2011,2019,13,0.374361
"SIRI",2011,2020,11,0.329083
"SIRI",2011,2021,9,0.26546
"SIRI",2011,2022,0,0
"SIRI",2011,2023,7,0.211151
"SIRI",2011,2024,7,0.209388
"SIRI",2011,2025,6,0.180977
"ISIS",2014,1990,88,2.22639
"ISIS",2014,1991,150,3.85076
"ISIS",2014,1992,132,3.4363
"ISIS",2014,1993,182,4.82707
"ISIS",2014,1994,187,5.02988
"ISIS",2014,1995,201,5.48843
"ISIS",2014,1996,218,5.97701
"ISIS",2014,1997,303,8.35666
"ISIS",2014,1998,376,10.2221
"ISIS",2014,1999,414,11.2074
"ISIS",2014,2000,470,12.4337
"ISIS",2014,2001,485,12.9558
"ISIS",2014,2002,472,12.6257
"ISIS",2014,2003,467,12.2814
"ISIS",2014,2004,532,13.9222
"ISIS",2014,2005,561,14.5898
"ISIS",2014,2006,519,13.1177
"ISIS",2014,2007,553,13.8318
"ISIS",2014,2008,504,12.8209
"ISIS",2014,2009,495,12.9558
"ISIS",2014,2010,471,12.7426
"ISIS",2014,2011,450,12.3007
"ISIS",2014,2012,467,12.7665
"ISIS",2014,2013,501,13.7399
"ISIS",2014,2014,401,10.8167
"ISIS",2014,2015,117,3.16059
"ISIS",2014,2016,53,1.44424
"ISIS",2014,2017,52,1.45356
"ISIS",2014,2018,53,1.50687
"ISIS",2014,2019,68,1.9582
"ISIS",2014,2020,71,2.12408
"ISIS",2014,2021,113,3.333
"ISIS",2014,2022,114,3.36667
"ISIS",2014,2023,151,4.55484
"ISIS",2014,2024,230,6.87989
"ISIS",2014,2025,128,3.86084
"KATRINA",2005,1990,2479,62.7184
"KATRINA",2005,1991,2225,57.1196
"KATRINA",2005,1992,2526,65.7583
"KATRINA",2005,1993,2036,53.9996
"KATRINA",2005,1994,1924,51.7513
"KATRINA",2005,1995,1667,45.5185
"KATRINA",2005,1996,1543,42.3052
"KATRINA",2005,1997,1411,38.915
"KATRINA",2005,1998,1297,35.2607
"KATRINA",2005,1999,1293,35.003
"KATRINA",2005,2000,1357,35.8991
"KATRINA",2005,2001,1277,34.1124
"KATRINA",2005,2002,1115,29.8256
"KATRINA",2005,2003,1143,30.0592
"KATRINA",2005,2004,1174,30.7231
"KATRINA",2005,2005,1328,34.537
"KATRINA",2005,2006,855,21.6101
"KATRINA",2005,2007,505,12.6312
"KATRINA",2005,2008,420,10.6841
"KATRINA",2005,2009,347,9.08214
"KATRINA",2005,2010,314,8.49505
"KATRINA",2005,2011,234,6.39638
"KATRINA",2005,2012,272,7.43576
"KATRINA",2005,2013,242,6.63682
"KATRINA",2005,2014,233,6.28502
"KATRINA",2005,2015,225,6.07806
"KATRINA",2005,2016,196,5.34095
"KATRINA",2005,2017,196,5.47881
"KATRINA",2005,2018,143,4.0657
"KATRINA",2005,2019,143,4.11797
"KATRINA",2005,2020,133,3.97891
"KATRINA",2005,2021,156,4.6013
"KATRINA",2005,2022,100,2.95322
"KATRINA",2005,2023,108,3.25776
"KATRINA",2005,2024,128,3.82881
"KATRINA",2005,2025,83,2.50351
