"which","rows","rows_with_a_negative","pct_of_rows","negative_cells","cells","worst_cell","rows_whose_total_is_unchanged"
"first name by sex",53613,5552,10.3557,5552,107226,-9,53613
"first name by race",53613,12044,22.4647,14888,321678,-6,53613
