"name","year","female","male"
"AADHYA",2007,10,0
"AADHYA",2008,9,0
"AADHYA",2009,18,0
"AADHYA",2010,19,0
"AADHYA",2011,52,0
"AADHYA",2012,110,0
"AADHYA",2013,172,0
"AADHYA",2014,249,0
"AADHYA",2015,265,0
"AADHYA",2016,284,0
"AADHYA",2017,291,0
"AADHYA",2018,246,0
"AADHYA",2019,249,0
"AADHYA",2020,225,0
"AADHYA",2021,209,0
"AADHYA",2022,268,0
"AADHYA",2023,255,0
"AADHYA",2024,277,0
"AADHYA",2025,268,0
"AALIYAH",1976,18,0
"AALIYAH",1977,40,0
"AALIYAH",1978,46,0
"AALIYAH",1979,38,0
"AALIYAH",1980,39,0
"AALIYAH",1981,28,0
"AALIYAH",1982,28,0
"AALIYAH",1983,20,0
"AALIYAH",1984,21,0
"AALIYAH",1985,10,0
"AALIYAH",1986,18,0
"AALIYAH",1987,14,0
"AALIYAH",1988,17,0
"AALIYAH",1989,14,0
"AALIYAH",1990,12,0
"AALIYAH",1991,16,0
"AALIYAH",1992,25,0
"AALIYAH",1993,22,0
"AALIYAH",1994,1451,6
"AALIYAH",1995,1256,0
"AALIYAH",1996,831,0
"AALIYAH",1997,1739,0
"AALIYAH",1998,1399,5
"AALIYAH",1999,1088,0
"AALIYAH",2000,1496,0
"AALIYAH",2001,3352,8
"AALIYAH",2002,4779,8
"AALIYAH",2003,3673,6
"AALIYAH",2004,3492,11
"AALIYAH",2005,3459,10
"AALIYAH",2006,3745,0
"AALIYAH",2007,3961,0
"AALIYAH",2008,4046,0
"AALIYAH",2009,4378,0
"AALIYAH",2010,4673,6
"AALIYAH",2011,5129,0
"AALIYAH",2012,5523,7
"AALIYAH",2013,5246,12
"AALIYAH",2014,4902,5
"AALIYAH",2015,4884,5
"AALIYAH",2016,4660,0
"AALIYAH",2017,4197,7
"AALIYAH",2018,3845,0
"AALIYAH",2019,3675,5
"AALIYAH",2020,3584,0
"AALIYAH",2021,3619,0
"AALIYAH",2022,3286,0
"AALIYAH",2023,2858,5
"AALIYAH",2024,2712,0
"AALIYAH",2025,2607,0
"AARIV",2007,0,7
"AARIV",2008,0,6
"AARIV",2010,0,12
"AARIV",2011,0,14
"AARIV",2012,0,16
"AARIV",2013,0,14
"AARIV",2014,0,26
"AARIV",2015,0,50
"AARIV",2016,0,61
"AARIV",2017,0,49
"AARIV",2018,0,43
"AARIV",2019,0,56
"AARIV",2020,0,101
"AARIV",2021,0,114
"AARIV",2022,0,110
"AARIV",2023,0,187
"AARIV",2024,0,204
"AARIV",2025,0,131
"AARON",1880,0,102
"AARON",1881,0,94
"AARON",1882,0,85
"AARON",1883,0,105
"AARON",1884,0,97
"AARON",1885,0,88
"AARON",1886,0,86
"AARON",1887,0,78
"AARON",1888,0,90
"AARON",1889,0,85
"AARON",1890,0,96
"AARON",1891,0,69
"AARON",1892,0,95
"AARON",1893,0,81
"AARON",1894,0,79
"AARON",1895,0,94
"AARON",1896,0,69
"AARON",1897,0,87
"AARON",1898,0,89
"AARON",1899,0,71
"AARON",1900,0,104
