"rank","name","people","pct_female","pct_white","pct_black","pct_aian","pct_asian","pct_twoplus","pct_hispanic","also_a_last_name"
1963,"EMORY",14171,41.3097,68.1744,17.6346,0.74095,1.45367,5.94877,6.04756,TRUE
1964,"SHAYNA",14160,99.9152,70.2684,11.363,1.15819,3.78531,6.29237,7.13277,FALSE
1965,"KARYN",14141,99.8303,83.6079,7.22721,0.367725,2.12149,2.53872,4.13691,FALSE
1966,"ASA",14130,11.0505,65.6051,15.7113,1.44374,2.56192,8.09625,6.58174,TRUE
1967,"EDGARDO",14116,0.127605,1.28223,0.37546,0.0637574,20.452,0.240861,77.5857,FALSE
1968,"AURELIA",14112,99.6527,30.8177,6.83107,1.31094,5.10204,3.55017,52.388,TRUE
1969,"ULISES",14109,0.354233,1.3254,0.248069,0.0637891,0.106315,0.0637891,98.1926,FALSE
1970,"SHARRON",14103,98.2409,70.212,23.5482,0.907608,0.794157,2.87173,1.66631,TRUE
1971,"BENITA",14083,99.7586,27.6504,28.6232,0.859192,5.16935,1.91721,35.7807,FALSE
1972,"AMERICA",14063,99.2458,5.60336,2.1617,0.213326,0.490649,0.739529,90.7914,TRUE
1973,"CLAUDIO",14062,1.08085,20.2389,2.05518,0.199118,1.8774,0.554686,75.0747,TRUE
1974,"CHARLEY",14043,54.6834,73.7948,8.84426,1.80873,2.884,5.09863,7.56961,TRUE
1975,"MAXIMILIANO",14027,0.220971,3.60733,0.256648,0.0712911,0.356455,0.142582,95.5657,TRUE
1976,"NIGEL",14012,0.992574,30.0742,52.0126,0.856409,4.4676,6.27319,6.31601,FALSE
1977,"LEXIE",14010,98.4941,71.2277,3.53319,1.05639,2.28408,4.27552,17.6231,FALSE
1978,"GUILLERMINA",13990,99.6927,0.657613,0.128663,0.0214439,0.31451,0.0428878,98.8349,FALSE
1979,"ESTELLE",13988,99.7425,66.65,17.7581,0.850729,3.35287,4.02488,7.36345,TRUE
1980,"LILAH",13983,99.8999,72.9386,2.41722,0.572123,1.56619,6.80112,15.7048,FALSE
1981,"MARCIE",13965,99.6206,83.0218,6.12245,0.930899,1.24597,2.69961,5.97923,FALSE
1982,"MAEVE",13961,99.8065,90.7743,0.630327,0.121768,0.938328,4.03266,3.50261,FALSE
1983,"BART",13949,0.164815,91.046,1.84959,0.745573,1.40512,2.1722,2.78156,TRUE
1984,"ADRIEL",13938,6.50412,7.67685,7.72708,0.423303,3.83125,1.88693,78.4546,FALSE
1985,"ROSANNA",13915,99.8994,48.2716,4.57779,1.14265,8.64535,1.94754,35.415,FALSE
1986,"SHAY",13896,67.0242,68.0771,16.1341,1.44646,3.39666,5.4692,5.4764,TRUE
1987,"JOURNEY",13880,91.0001,36.585,40.1441,1.81556,1.5634,9.67579,10.2161,TRUE
1988,"ADDIE",13877,98.4649,65.5041,24.5226,0.843122,1.33314,3.45896,4.33811,TRUE
1989,"ADDYSON",13875,99.5387,82.6595,3.74775,0.706306,0.663063,4.85766,7.36577,FALSE
1990,"MISAEL",13845,0.801791,1.52402,0.657277,0.130011,0.548935,0.115565,97.0242,FALSE
1991,"MATILDA",13833,99.7543,58.2086,13.9666,2.29885,2.6097,3.81696,19.0993,FALSE
1992,"BRAYLON",13829,1.32321,37.5081,42.2373,1.14253,0.607419,12.105,6.3996,FALSE
1993,"GUNNAR",13797,0.325969,87.7655,0.768283,0.695803,0.398637,5.08806,5.28376,FALSE
1994,"BRICE",13767,3.15453,76.1313,12.5881,1.0024,1.35106,4.84492,4.08223,TRUE
1995,"FAY",13766,95.1143,71.6257,15.8289,0.64652,7.16257,2.25919,2.47712,TRUE
1996,"REBA",13764,99.8111,82.0837,10.6074,1.20604,1.40221,3.02238,1.67829,TRUE
1997,"BRIGITTE",13755,99.9273,71.2904,9.46565,0.341694,2.21011,2.63904,14.0531,FALSE
1998,"ASTRID",13748,99.4401,33.0957,3.17137,0.181845,2.34216,2.8586,58.3503,FALSE
1999,"NATALY",13725,99.7815,10.1931,0.867031,0.138434,1.02732,0.553734,87.2204,FALSE
2000,"TUAN",13721,1.91705,1.07864,0.626776,0.0291524,93.0836,1.08593,4.09591,TRUE
