"year","e0_annual","e0_hus","e65","e75"
1900,47.3,47.3,NA,NA
1901,49.1,NA,NA,NA
1902,51.5,NA,NA,NA
1903,50.5,NA,NA,NA
1904,47.6,NA,NA,NA
1905,48.7,NA,NA,NA
1906,48.7,NA,NA,NA
1907,47.6,NA,NA,NA
1908,51.1,NA,NA,NA
1909,52.1,NA,NA,NA
1910,50,NA,NA,NA
1911,52.6,NA,NA,NA
1912,53.5,NA,NA,NA
1913,52.5,NA,NA,NA
1914,54.2,NA,NA,NA
1915,54.5,NA,NA,NA
1916,51.7,NA,NA,NA
1917,50.9,NA,NA,NA
1918,39.1,NA,NA,NA
1919,54.7,NA,NA,NA
1920,54.1,NA,NA,NA
1921,60.8,NA,NA,NA
1922,59.6,NA,NA,NA
1923,57.2,NA,NA,NA
1924,59.7,NA,NA,NA
1925,59,NA,NA,NA
1926,56.7,NA,NA,NA
1927,60.4,NA,NA,NA
1928,56.8,NA,NA,NA
1929,57.1,NA,NA,NA
1930,59.7,NA,NA,NA
1931,61.1,NA,NA,NA
1932,62.1,NA,NA,NA
1933,63.3,NA,NA,NA
1934,61.1,NA,NA,NA
1935,61.7,NA,NA,NA
1936,58.5,NA,NA,NA
1937,60,NA,NA,NA
1938,63.5,NA,NA,NA
1939,63.7,NA,NA,NA
1940,62.9,NA,NA,NA
1941,64.8,NA,NA,NA
1942,66.2,NA,NA,NA
1943,63.3,NA,NA,NA
1944,65.2,NA,NA,NA
1945,65.9,NA,NA,NA
1946,66.7,NA,NA,NA
1947,66.8,NA,NA,NA
1948,67.2,NA,NA,NA
1949,68,NA,NA,NA
1950,68.2,68.2,13.9,NA
1951,68.4,NA,NA,NA
1952,68.6,NA,NA,NA
1953,68.8,NA,NA,NA
1954,69.6,NA,NA,NA
1955,69.6,NA,NA,NA
1956,69.7,NA,NA,NA
1957,69.5,NA,NA,NA
1958,69.6,NA,NA,NA
1959,69.9,NA,NA,NA
1960,69.7,69.7,14.3,NA
1961,70.2,NA,NA,NA
1962,70.1,NA,NA,NA
1963,69.9,NA,NA,NA
1964,70.2,NA,NA,NA
1965,70.2,NA,NA,NA
1966,70.2,NA,NA,NA
1967,70.5,NA,NA,NA
1968,70.2,NA,NA,NA
1969,70.5,NA,NA,NA
1970,70.8,70.8,15.2,NA
1971,71.1,NA,NA,NA
1972,71.2,NA,NA,NA
1973,71.4,NA,NA,NA
1974,72,NA,NA,NA
1975,72.6,72.6,16.1,NA
1976,72.9,NA,NA,NA
1977,73.3,NA,NA,NA
1978,73.5,NA,NA,NA
1979,73.9,NA,NA,NA
1980,73.7,73.7,16.4,10.4
1981,74.1,NA,NA,NA
1982,74.5,NA,NA,NA
1983,74.6,NA,NA,NA
1984,74.7,NA,NA,NA
1985,74.7,NA,NA,NA
1986,74.7,NA,NA,NA
1987,74.9,NA,NA,NA
1988,74.9,NA,NA,NA
1989,75.1,NA,NA,NA
1990,75.4,75.4,17.2,10.9
1991,75.5,NA,NA,NA
1992,75.8,NA,NA,NA
1993,75.5,NA,NA,NA
1994,75.7,NA,NA,NA
1995,75.8,75.8,17.4,11
1996,76.1,NA,NA,NA
1997,76.5,NA,NA,NA
1998,76.7,NA,NA,NA
1999,76.7,NA,NA,NA
2000,76.8,76.8,17.6,11
2001,77,77,17.9,11.2
2002,77,77,17.9,11.2
2003,77.6,77.2,18.1,11.3
2004,77.5,77.6,18.4,11.5
2005,77.6,77.6,18.4,11.5
2006,77.8,77.8,18.7,11.7
2007,78.1,78.1,18.8,11.9
2008,78.2,78.2,18.8,11.8
2009,78.5,78.5,19.1,12.1
2010,78.7,78.7,19.1,12.1
2011,78.7,NA,NA,NA
2012,78.8,78.8,19.3,12.2
2013,78.8,78.8,19.3,12.2
2014,78.9,78.9,19.4,12.3
2015,78.7,78.7,19.3,12.2
2016,78.7,78.7,19.4,12.3
2017,78.6,78.6,19.4,12.3
2018,78.7,78.7,19.5,12.3
