"bioname","icpsr","congress","year","born","died","age_at_term_start"
"WASHINGTON, George",99869,1,1789,NA,NA,NA
"ADAMS, John",99870,5,1797,NA,NA,NA
"JEFFERSON, Thomas",99871,7,1801,1743,1826,58
"MADISON, James, Jr.",99872,11,1809,1751,1836,58
"MONROE, James",99873,15,1817,1758,1831,59
"ADAMS, John Quincy",99874,19,1825,1767,1848,58
"JACKSON, Andrew",99875,21,1829,1767,1845,62
"VAN BUREN, Martin",99876,25,1837,1782,1862,55
"HARRISON, William Henry",99877,27,1841,1773,1841,68
"TYLER, John",99878,27,1841,1790,1862,51
"POLK, James Knox",99879,29,1845,1795,1849,50
"TAYLOR, Zachary",99880,31,1849,NA,NA,NA
"FILLMORE, Millard",99881,31,1849,1800,1874,49
"PIERCE, Franklin",99882,33,1853,1804,1869,49
"BUCHANAN, James",99883,35,1857,1791,1868,66
"LINCOLN, Abraham",99884,37,1861,1809,1865,52
"JOHNSON, Andrew",99885,39,1865,1808,1875,57
"GRANT, Hiram Ulysses",99886,41,1869,1822,1885,47
"HAYES, Rutherford Birchard",99887,45,1877,1822,1893,55
"GARFIELD, James Abram",99888,47,1881,1831,1881,50
"ARTHUR, Chester Alan",99889,47,1881,1829,1886,52
"CLEVELAND, Stephen Grover",99890,49,1885,1837,1909,48
"HARRISON, Benjamin",99891,51,1889,1833,1901,56
"CLEVELAND, Stephen Grover",99890,53,1893,NA,NA,NA
"McKINLEY, William, Jr.",99892,55,1897,1843,1901,54
"ROOSEVELT, Theodore",99893,57,1901,1858,1919,43
"TAFT, William Howard",99894,61,1909,1857,1930,52
"WILSON, Thomas Woodrow",99895,63,1913,1856,1924,57
"HARDING, Warren Gamaliel",99896,67,1921,1865,1923,56
"COOLIDGE, Calvin",99897,68,1923,1872,1933,51
"HOOVER, Herbert Clark",99898,71,1929,NA,NA,NA
"ROOSEVELT, Franklin Delano",99899,73,1933,1882,1945,51
"TRUMAN, Harry S.",99900,79,1945,1884,1972,61
"EISENHOWER, Dwight David",99901,83,1953,1890,1969,63
"KENNEDY, John Fitzgerald",99902,87,1961,1917,1963,44
"JOHNSON, Lyndon Baines",99903,88,1963,1908,1973,55
"NIXON, Richard Milhous",99904,91,1969,1913,1994,56
"FORD, Gerald Rudolph, Jr.",99905,93,1973,1913,2006,60
"CARTER, James Earl, Jr.",99906,95,1977,1924,NA,53
"REAGAN, Ronald Wilson",99907,97,1981,1911,2004,70
"BUSH, George Herbert Walker",99908,101,1989,1924,2018,65
"CLINTON, William Jefferson (Bill)",99909,103,1993,1946,NA,47
"BUSH, George Walker",99910,107,2001,1946,NA,55
"OBAMA, Barack",99911,111,2009,1961,NA,48
"TRUMP, Donald John",99912,115,2017,1946,NA,71
"BIDEN, Joseph Robinette (Joe), Jr.",99913,117,2021,1942,NA,79
"TRUMP, Donald John",99912,119,2025,1946,NA,79
