"congress","year","chamber","n","n_age","median_age","mean_age","p25_age","p75_age","min_age","max_age","pct_65plus","pct_70plus","pct_80plus","mean_entry_age","mean_years_since_entry","median_entry_age","median_years_since_entry"
1,1789,"Congress",95,95,45,44.8,38.5,51,25,68,1.05263,0,0,44.8,0,45,0
2,1791,"Congress",103,103,43,43.3689,36,50,27,70,2.91262,0.970874,0,42.2039,1.16505,41,2
3,1793,"Congress",143,141,42,43.2411,37,49,28,72,2.83688,0.70922,0,41.695,1.5461,41,2
4,1795,"Congress",158,156,42,42.6474,37,47,26,67,2.5641,0,0,40.4551,2.19231,39,2
5,1797,"Congress",162,158,42,43.2152,37,48,22,68,1.89873,0,0,40.7975,2.41772,40,2
6,1799,"Congress",152,148,43,43.473,37.75,49,24,67,1.35135,0,0,40.6081,2.86486,40,2
7,1801,"Congress",150,147,44,44.0612,36,49,25,67,2.72109,0,0,41.0408,3.02041,40,2
8,1803,"Congress",194,188,45,45.2926,37,51,26,74,2.12766,0.531915,0,42.4202,2.87234,41.5,2
9,1805,"Congress",186,178,43,45.1517,37,52,24,76,3.93258,1.68539,0,41.9719,3.17978,41,2
10,1807,"Congress",188,180,45,45.7833,38,52.25,25,73,3.88889,1.11111,0,42.2389,3.54444,42,2
11,1809,"Congress",198,188,45,46.133,39,53,25,75,3.7234,1.06383,0,42.0479,4.08511,42,2
12,1811,"Congress",184,180,45,46.1611,39,52,25,73,5.55556,1.66667,0,41.7056,4.45556,41,2
13,1813,"Congress",242,235,45,44.9957,36,51.5,27,72,3.82979,0.425532,0,41.4979,3.49787,41,2
14,1815,"Congress",243,234,43,43.4658,35,50,25,74,2.5641,1.28205,0,39.7906,3.67521,39,2
15,1817,"Congress",241,231,42,43.4026,36,49.5,26,72,2.5974,1.2987,0,40.7706,2.63203,40,0
16,1819,"Congress",252,244,43,44.1516,36.75,51,25,72,5.32787,0.819672,0,41.0041,3.14754,40,2
17,1821,"Congress",254,246,42.5,44.1098,36,51,27,74,4.47154,1.21951,0,40.4756,3.63415,39,2
18,1823,"Congress",274,267,42,43.9213,37,51,26,72,1.87266,1.1236,0,39.9963,3.92509,38,2
19,1825,"Congress",285,277,43,43.9025,38,49,27,73,1.44404,0.361011,0,40.0758,3.82671,39,2
20,1827,"Congress",275,268,43,44.209,38,49,26,75,2.61194,0.746269,0,39.7836,4.42537,39,2
21,1829,"Congress",275,269,43,44.5948,39,49,27,77,1.85874,0.371747,0,40.3866,4.20818,39,2
22,1831,"Congress",273,269,44,44.9442,39,50,27,79,1.85874,1.11524,0,40.8773,4.06691,39,2
23,1833,"Congress",314,309,44,44.4563,38,51,25,72,1.2945,0.647249,0,40.9935,3.46278,40,2
24,1835,"Congress",318,316,44,45.019,39,52,26,74,1.89873,0.316456,0,41.6203,3.39873,40,2
25,1837,"Congress",317,314,43,44.2866,37,51,27,76,1.59236,0.636943,0,40.9554,3.33121,40,2
26,1839,"Congress",317,313,43,44.1278,38,50,21,72,2.8754,0.638978,0,40.5559,3.57188,39,2
27,1841,"Congress",318,314,43,44.6815,38,51,23,74,2.54777,1.59236,0,40.535,4.1465,39,2
28,1843,"Congress",296,295,43,43.6746,37,50,25,76,1.01695,0.677966,0,40.9559,2.71864,40,0
29,1845,"Congress",306,304,43,44.3355,37,50,28,78,1.97368,0.328947,0,41.4079,2.92763,40.5,2
30,1847,"Congress",310,310,43,44.4323,37,51,27,80,2.90323,0.322581,0.322581,41.2774,3.15484,41,2
31,1849,"Congress",315,310,44,44.8645,38,50.75,27,72,2.90323,0.322581,0,41.729,3.13548,41,2
32,1851,"Congress",312,311,44,44.8328,39,50,25,74,2.89389,0.643087,0,42.1447,2.6881,41,2
33,1853,"Congress",312,310,44,44.4226,38,49,26,71,2.90323,1.29032,0,42.229,2.19355,41,0
34,1855,"Congress",302,302,44,44.3411,38,49,26,73,3.31126,1.3245,0,41.7848,2.55629,41,1
35,1857,"Congress",320,319,44,45.0752,39,50,27,72,2.19436,1.25392,0,41.8464,3.22884,41,2
36,1859,"Congress",315,314,44,44.7994,39,49,24,73,2.86624,0.318471,0,41.328,3.47134,41,2
37,1861,"Congress",277,277,45,46.6137,40,52,29,75,4.33213,1.44404,0,43.4079,3.20578,43,2
38,1863,"Congress",245,245,46,46.7388,41,52,31,72,3.67347,0.816327,0,43.8,2.93878,43,2
39,1865,"Congress",261,261,47,47.5402,42,53,26,74,3.44828,1.53257,0,43.9693,3.57088,44,2
40,1867,"Congress",303,303,47,47.1287,41,53,26,75,3.9604,1.32013,0,43.7294,3.39934,44,2
41,1869,"Congress",338,338,46,46.2219,40,53,27,72,1.77515,0.591716,0,43.145,3.07692,43,2
42,1871,"Congress",329,329,47,47.3708,41,53,29,72,3.34347,1.51976,0,43.8997,3.47112,44,2
43,1873,"Congress",386,386,47.5,47.8549,42,54,26,74,2.07254,0.777202,0,44.4352,3.41969,44,2
44,1875,"Congress",391,391,48,48.2558,41.5,53,26,77,5.6266,1.53453,0,45.0281,3.22762,45,0
45,1877,"Congress",385,385,49,49.3273,43,54,27,78,5.71429,1.55844,0,45.8,3.52727,45,2
46,1879,"Congress",382,382,49.5,49.9084,44,55,28,72,6.02094,0.78534,0,46.2592,3.64921,46,2
47,1881,"Congress",396,396,50,50.1237,44,56,26,71,5.55556,0.757576,0,46.0581,4.06566,46,2
48,1883,"Congress",422,422,49,49.3057,43,56,26,73,5.6872,0.947867,0,45.7417,3.56398,45,2
49,1885,"Congress",417,417,50,50.3621,44,57,26,75,6.71463,1.43885,0,46.295,4.06715,45,2
50,1887,"Congress",408,408,49.5,50.3088,44,57,30,77,7.10784,2.45098,0,45.8725,4.43627,45,2
51,1889,"Congress",446,446,50,50.7825,44,57,28,79,9.64126,4.03587,0,46.0919,4.69058,45,2
52,1891,"Congress",443,443,50,50.8736,44,57,28,81,9.02935,2.7088,0.225734,46.5982,4.2754,46,2
53,1893,"Congress",474,474,50,50.692,43,57,28,83,9.07173,2.74262,0.21097,45.9241,4.76793,45,2
54,1895,"Congress",462,462,49.5,49.8377,43,56,25,85,8.65801,2.81385,0.21645,45.7597,4.07792,45,2
55,1897,"Congress",467,467,49,49.9422,43,56,27,87,9.42184,4.49679,0.214133,45.394,4.54818,45,2
56,1899,"Congress",472,472,49,49.7267,42,56,27,78,7.62712,4.02542,0,45.0191,4.70763,44,2
57,1901,"Congress",467,467,50,50.5739,43,58,26,80,8.56531,4.06852,0.214133,45.2077,5.36617,44,4
58,1903,"Congress",493,493,50,50.5659,43,58,28,82,9.73631,4.25963,0.20284,45.2718,5.29412,44,4
59,1905,"Congress",501,501,50,50.9002,44,58,27,84,11.7764,4.39122,0.598802,44.8802,6.01996,44,4
60,1907,"Congress",503,503,51,51.4235,44,58,27,86,12.9225,6.16302,0.994036,45.2763,6.14712,44,4
61,1909,"Congress",505,505,51,51.6812,44,59,31,82,14.2574,5.74257,0.594059,45.5228,6.15842,44,4
62,1911,"Congress",519,519,51,51.1985,43.5,58,29,82,9.05588,4.23892,0.578035,45.9229,5.27553,45,4
63,1913,"Congress",555,555,50,50.3153,43,57,30,84,8.28829,3.78378,0.18018,45.6991,4.61622,45,2
64,1915,"Congress",544,544,51,51.1581,44,58,29,80,9.19118,4.04412,0.183824,45.6066,5.55147,45,4
65,1917,"Congress",568,568,51,51.7271,45,58,31,82,9.85915,4.22535,0.528169,45.6954,6.03169,45,4
66,1919,"Congress",556,556,51,52.054,45,58,24,84,10.0719,3.95683,0.359712,46.0072,6.04676,45,4
67,1921,"Congress",560,560,52,52.9321,46,59,31,86,12.3214,4.28571,0.714286,46.85,6.08214,46,4
68,1923,"Congress",558,558,53,52.905,46,60,28,88,11.4695,4.12186,0.896057,46.9373,5.96774,47,4
69,1925,"Congress",548,548,54,53.562,47,60,29,84,12.7737,4.0146,0.364964,47.1058,6.4562,47,4
70,1927,"Congress",547,547,55,54.3291,48,61,28,86,16.4534,4.93601,0.365631,47.0165,7.31261,47,6
