"icpsr","chamber","bioname","born","entry_congress","last_congress","n_congresses","entry_year","entry_age","years_served","span_years","still_serving","prior_house"
154,"House","AMES, Fisher",1758,1,4,4,1789,31,8,8,FALSE,FALSE
259,"House","ASHE, John Baptista",1748,1,2,2,1789,41,4,4,FALSE,FALSE
379,"House","BALDWIN, Abraham",1754,1,5,5,1789,35,10,10,FALSE,FALSE
507,"Senate","BASSETT, Richard",1745,1,2,2,1789,44,4,4,FALSE,FALSE
649,"House","BENSON, Egbert",1746,1,13,3,1789,43,6,26,FALSE,FALSE
786,"House","BLAND, Theodorick",1742,1,1,1,1789,47,2,2,FALSE,FALSE
800,"House","BLOODWORTH, Timothy",1736,1,1,1,1789,53,2,2,FALSE,FALSE
878,"House","BOUDINOT, Elias",1740,1,3,3,1789,49,6,6,FALSE,FALSE
884,"House","BOURNE, Benjamin",1755,1,4,4,1789,34,8,8,FALSE,FALSE
1118,"House","BROWN, John",1757,1,2,2,1789,32,4,4,FALSE,FALSE
1260,"House","BURKE, Aedanus",1743,1,1,1,1789,46,2,2,FALSE,FALSE
1346,"Senate","BUTLER, Pierce",1744,1,8,5,1789,45,10,16,FALSE,FALSE
1387,"House","CADWALADER, Lambert",1742,1,3,2,1789,47,4,6,FALSE,FALSE
1536,"Senate","CARROLL, Charles (of Carrollton)",1737,1,2,2,1789,52,4,4,FALSE,FALSE
1538,"House","CARROLL, Daniel",1730,1,1,1,1789,59,2,2,FALSE,FALSE
1859,"House","CLYMER, George",1739,1,1,1,1789,50,2,2,FALSE,FALSE
1936,"House","COLES, Isaac",1747,1,4,3,1789,42,6,8,FALSE,FALSE
2010,"House","CONTEE, Benjamin",1755,1,1,1,1789,34,2,2,FALSE,FALSE
2307,"Senate","DALTON, Tristram",1738,1,1,1,1789,51,2,2,FALSE,FALSE
2576,"Senate","DICKINSON, Philemon",1739,1,2,2,1789,50,4,4,FALSE,FALSE
