"st","part","pts"
"01",1,"1086 363 2 -9 0 -1 1 -2 3 -9 2 -7 1 -4 0 -3 3 -8 2 -7 0 -2 3 -10 0 -1 3 -8 2 -5 2 -5 3 -3 1 -5 3 -5 -4 -4 0 -2 0 -3 -2 -5 1 -3 0 -1 3 -5 1 -3 -1 -8 1 -5 2 -3 1 -3 -15 -2 -17 -2 -5 0 -6 -1 -9 -1 -3 0 -12 -1 -14 -1 0 -6 8 -7 -1 -4 2 -3 -3 -4 -1 -4 -16 -4 -4 1 -7 -2 -2 21 -1 10 -1 4 -1 12 -2 9 0 7 0 12 0 3 0 10 0 13 0 3 1 11 0 9 0 7 0 12 0 1 1 9 0 5 0 4 0 12 -3 3 6 1 11 1 12 1 11 1 2 0 13 1 1 0 13 2 8 0 1 -4"
"04",1,"206 323 6 1 3 5 -1 4 -4 2 -1 2 2 6 0 5 3 1 4 3 2 5 0 9 4 5 6 2 5 4 -5 7 -2 5 0 5 -4 6 1 5 3 6 0 6 -1 6 2 15 0 7 4 1 8 -1 2 -5 3 -1 4 6 5 23 1 6 33 -6 10 -2 32 -5 19 -3 22 -4 27 -4 -5 -36 -5 -38 -2 -14 -4 -29 -3 -21 -2 -15 -2 -13 -6 -40 -43 7 -19 3 -9 4 -51 30 -5 3 -41 25 1 4 3 3"
"05",1,"822 322 0 11 0 8 0 8 0 17 -1 9 -1 4 -2 13 0 2 -2 12 16 1 6 0 8 0 8 0 1 0 13 1 2 0 7 0 11 0 1 0 13 1 7 0 1 0 8 1 10 0 6 1 10 0 5 -4 0 -4 -3 -3 -5 -8 2 1 10 0 7 1 3 -3 -4 -2 -1 -4 -4 -2 1 -2 1 -4 -4 -2 0 -4 -3 1 2 -1 -1 -3 2 -6 -3 -1 -1 -4 -3 -1 2 -2 -1 -3 -3 -2 -3 -7 -2 0 0 -4 0 -4 -5 -3 -2 -3 0 -5 -3 0 2 -4 -6 -1 2 -3 -5 -10 -1 -3 1 -1 3 -4 0 -6 2 -5 -3 -4 0 -1 -3 0 -5 0 -1 0 -18 -1 -20 0 -8 0 -8 -1 -8 0 -1 0 -8 0 -7 0 -1 9 0 10 -3 1 -7 -1 -3 3 0 11 0 10"
"06",1,"100 351 -1 -2 -4 0 -2 3 -3 8 1 1 4 0 2 -4 3 -6"
"06",2,"103 366 -6 3 0 3 -2 5 4 1 5 -4 2 -4 -1 -4 -2 0"
"06",3,"65 373 -1 4 4 1 4 -5 -3 -2 -4 2"
"06",4,"82 381 4 0 -1 -4 -3 0 0 4"
"06",5,"56 400 -3 3 -2 3 -5 2 -2 4 1 2 6 -1 2 -4 8 -1 2 1 6 -2 2 -2 3 1 2 -3 4 0 1 -3 -3 -1 -3 2 -7 -1 -7 1 -5 -1"
"06",6,"108 589 -1 -2 0 -1 -1 -3 2 -3 7 -10 5 -8 4 -6 16 -23 13 -19 14 -22 30 -45 4 -7 24 -35 -1 -5 4 -6 0 -5 2 -5 5 -7 -5 -4 -6 -2 -4 -5 0 -9 -2 -5 -4 -3 -3 -1 0 -5 -2 -6 1 -2 4 -2 1 -4 -3 -5 -6 -1 -42 5 -34 5 0 3 -2 3 2 8 -2 10 -3 7 -5 7 -8 10 -6 0 -3 3 1 4 -2 6 -8 1 -3 2 -7 4 -2 8 -4 4 -4 3 -2 -1 -6 2 -3 3 -7 2 -5 0 -3 5 -3 4 2 4 1 5 -1 2 2 4 1 3 -3 2 -3 6 2 5 -3 1 -3 8 -3 2 -1 7 -2 6 -2 3 -2 6 -4 6 1 12 1 2 0 6 1 3 -4 4 -1 3 -2 1 -1 5 1 6 -1 6 2 8 0 4 -3 2 -3 6 -4 -1 -1 2 3 6 -1 6 -1 6 -3 3 -3 8 -2 3 -3 6 2 5 0 12 1 4 3 3 1 4 -1 6 -3 8 -5 10 1 5 -1 3 2 3 9 11 3 4 -1 3 5 7 2 6 1 8 -5 7 5 0 0 5 13 -4 8 -2 8 -2 24 -7 22 -7 15 -4 23 -6 -8 -29 -7 -29 -6 -23 -3 -10 -1 -4 -1 -6"
"06",7,"7 564 3 0 3 -4 -3 -2 -3 6"
"08",1,"593 578 1 0 16 -1 -1 -9 0 -2 0 -9 -1 -4 0 -12 -1 -16 -1 -16 0 -4 -1 -12 0 -3 -1 -13 -1 -20 -1 -3 0 -10 -1 -14 -28 2 -2 0 -27 2 -33 3 -2 0 -14 2 -9 1 -13 1 -27 3 -2 1 -26 3 -19 2 2 18 3 15 1 10 1 12 5 32 0 5 1 6 3 20 2 16 2 12 31 -4 16 -2 13 -1 14 -2 4 0 25 -3 9 -1 24 -2 13 -1 6 0 19 -2"
"09",1,"1416 660 -4 -3 -12 -6 -11 -6 -4 -3 -5 5 6 5 -3 5 -1 6 -1 5 -2 14 11 3 1 0 13 3 10 2 1 1 8 1 3 -10 1 -3 0 -2 2 -6 -2 -5 -11 -6"
"10",1,"1340 590 1 0 5 0 -3 -7 2 -2 -1 -5 3 -2 1 -1 5 -2 5 -7 2 -1 5 -7 3 -12 -10 -2 -10 -2 -1 3 0 3 -2 7 -3 11 -1 4 -1 2 -1 2 -3 13 4 5"
"11",1,"1308 550 3 -2 -2 -4 -1 2 -3 3 3 1"
"12",1,"1217 10 5 0 2 -2 1 -5 -12 -1 -4 1 3 5 5 2"
"12",2,"1199 145 -3 4 -3 10 -5 -1 -2 0 -4 6 -3 3 0 2 -6 3 -2 4 -4 3 -4 6 -8 3 -2 1 -3 -1 0 -4 -4 -3 -3 0 -9 -9 -9 -5 -6 2 -5 0 -6 3 -2 8 -5 3 -9 5 -5 2 -8 1 -8 0 -5 -1 -4 -1 -12 -3 -6 -2 -1 4 1 4 3 4 -2 3 1 4 -8 7 0 6 14 1 12 1 3 0 9 1 6 1 5 0 17 2 15 2 4 -9 2 -1 15 1 3 0 6 1 3 0 8 1 4 0 8 0 1 0 1 0 5 1 14 1 3 0 4 0 2 0 6 1 1 -5 2 -2 3 0 1 8 -2 6 3 4 7 -2 11 0 0 -3 1 -5 2 -2 1 -6 6 -15 2 -5 5 -9 6 -9 10 -12 5 -5 3 -6 -1 -7 2 -6 5 -7 6 -11 6 -10 5 -9 3 -6 1 -8 0 -9 1 -13 1 -8 0 -8 1 -2 -2 -5 -5 -11 -2 -4 -10 -9 -2 -1 -6 -5 -3 0 -4 -3 -7 -2 -2 -3 -5 -3 -8 -2 -4 4 -3 -2 -3 3 -3 0 2 5 3 1 4 0 4 2 13 9 9 3 -3 2 -3 6 0 4 -3 5 -5 5 -5 0 -4 1 -3 2 -5 9 -3 8 -5 -1 -3 1 -3 3 -4 8 -2 5 -4 5 -5 7 -7 8 -3 4 0 4 -5 9 0 3 -1 7 0 3 3 4 0 3 1 5"
"13",1,"1094 335 -2 7 -3 9 -1 2 0 1 -2 9 -1 4 3 1 4 0 3 0 8 1 0 1 5 0 1 0 5 1 9 1 5 1 4 0 2 0 11 2 2 0 11 2 0 -2 -5 -7 -1 -2 1 -1 8 -5 1 -1 2 -1 4 0 4 -6 1 -2 5 -7 2 -2 7 -3 4 -5 4 -3 3 -1 0 -1 3 -2 1 -5 3 -2 3 -2 2 -3 3 0 2 -1 5 -7 1 -4 1 -5 4 -1 6 -7 0 -4 1 -4 4 0 3 -2 4 -1 -3 -7 -3 -5 -1 -6 -2 -5 1 -4 -1 -5 -2 -1 1 -6 -2 -8 2 -2 -11 0 -7 2 -3 -4 2 -6 -1 -8 -3 0 -2 2 -1 5 -6 -1 -2 0 -4 0 -3 0 -14 -1 -5 -1 -1 0 -1 0 -8 0 -4 0 -8 -1 -3 0 -6 -1 -3 0 -15 -1 -2 1 -4 9 -1 3 -2 3 -1 5 1 8 -1 3 -3 5 0 1 -1 3 2 5 0 3 0 2 4 4 -3 5 -1 5 -3 3 -2 5 -2 5 -3 8 0 1 -3 10 0 2 -2 7 -3 8 0 3 -1 4"
"16",1,"255 863 4 22 1 2 7 28 1 6 23 -5 -4 -18 -2 -10 -2 -9 4 -9 2 -2 1 -8 -3 -1 4 -5 0 -1 4 -3 5 -12 2 -1 0 -4 6 -5 1 -4 7 0 -1 -5 -5 -9 0 -3 -2 -5 1 -5 -5 -4 1 -4 -3 -3 7 -5 10 6 3 -4 -1 -7 1 -5 2 -6 3 -3 -1 -7 5 -2 3 -4 1 -8 0 -3 4 -3 0 2 3 2 8 -4 4 4 4 -2 6 0 7 -1 2 1 2 4 3 1 3 -5 2 -5 2 -1 -3 -18 -3 -18 -1 -6 -1 -11 -3 -18 -3 -19 -13 2 -16 2 -1 1 -22 4 -22 3 -6 2 -7 1 -20 4 -35 7 -17 4 13 61 1 5 2 1 2 5 0 3 2 2 -4 5 -3 2 2 6 2 2 5 7 4 2 2 3 1 4 2 1 4 6 5 8 3 3 -2 7 -4 4 -2 6 -1 4 2 2 -1 10 1 4 5 21 1 4 1 4"
