"state","counties","ballots","pres_votes","residual_rate"
"District of Columbia",1,328871,40463,87.696
"Vermont",6,150669,135695,9.938
"Missouri",110,2619497,2481730,5.259
"Oregon",36,2269608,2207592,2.732
"Utah",27,1461911,1422711,2.681
"Arizona",15,3477975,3389319,2.549
"New York",60,8329144,8136310,2.315
"Rhode Island",5,522164,510659,2.203
"Illinois",90,3151119,3088734,1.98
"California",57,16110401,15808511,1.874
"South Dakota",60,425155,417192,1.873
"Nebraska",93,965145,947159,1.864
"North Dakota",53,371974,365059,1.859
"Indiana",92,2986839,2933700,1.779
"Wyoming",23,271123,266353,1.759
"Massachusetts",14,3512930,3453437,1.694
"Maine",13,489246,481264,1.631
"Montana",56,612423,602963,1.545
"Colorado",64,3240754,3190873,1.539
"Ohio",88,5851625,5765017,1.48
"Idaho",44,917469,904812,1.38
"North Carolina",100,5756106,5679647,1.328
"Washington",39,3949810,3898835,1.291
"Kansas",97,1308217,1292788,1.179
"New Jersey",21,4321921,4272725,1.138
"Hawaii",4,522236,516701,1.06
"Iowa",99,1674011,1656849,1.025
"Texas",240,11227065,11115198,0.996
"Virginia",89,3126495,3096272,0.967
"West Virginia",53,753811,746550,0.963
"Florida",67,10999125,10893547,0.96
"Minnesota",85,3258305,3227816,0.936
"Kentucky",119,1735546,1719700,0.913
"Georgia",159,5297500,5250047,0.896
"Tennessee",95,3090161,3063942,0.848
"New Hampshire",10,829090,822153,0.837
"Michigan",83,5706503,5662504,0.771
"Maryland",21,2699119,2678642,0.759
"Alabama",67,2272911,2256352,0.729
"Louisiana",64,2021588,2006975,0.723
"South Carolina",46,2566404,2548140,0.712
"Arkansas",65,1085661,1078868,0.626
"Pennsylvania",59,6720404,6678369,0.625
"Delaware",3,514367,511697,0.519
"New Mexico",33,927923,923403,0.487
"Oklahoma",77,1573274,1566173,0.451
"Nevada",8,1129207,1126821,0.211
"Mississippi",80,1204139,1204139,0
