"fips","name","class","bin","rate"
"27047","Freeborn County","ok",1,0.388
"06009","Calaveras County","ok",4,1.506
"25001","Barnstable County","ok",4,1.593
"51119","Middlesex County","ok",3,1.121
"42065","Jefferson County","ok",1,0.259
"18089","Lake County","ok",4,1.831
"47003","Bedford County","ok",2,0.515
"47027","Clay County","ok",2,0.582
"17029","Coles County","ok",3,1.215
"47097","Lauderdale County","ok",1,0.458
"41001","Baker County","ok",5,2.737
"36097","Schuyler County","ok",3,1.387
"26159","Van Buren County","ok",2,0.695
"17131","Mercer County","ok",2,0.914
"21127","Lawrence County","ok",2,0.815
"21175","Morgan County","ok",4,1.665
"21177","Muhlenberg County","ok",2,0.819
"17049","Effingham County","ok",3,1.059
"47105","Loudon County","ok",2,0.928
"46025","Clark County","ok",4,2.385
"15003","Honolulu County","ok",3,1.013
"12041","Gilchrist County","ok",2,0.734
"18157","Tippecanoe County","ok",4,2.475
"42109","Snyder County","ok",1,0.393
"48277","Lamar County","impossible",NA,-0.373
"12086","Miami-Dade County","ok",1,0.395
"31057","Dundy County","ok",2,0.854
"48289","Leon County","ok",1,0.429
"08097","Pitkin County","ok",4,1.604
"38035","Grand Forks County","ok",4,1.862
"18091","LaPorte County","ok",3,1.265
"18057","Hamilton County","ok",4,2.332
"51595","Emporia city","impossible",NA,-0.508
"40081","Lincoln County","ok",1,0.38
"20071","Greeley County","ok",2,0.836
"13145","Harris County","ok",2,0.653
"13251","Screven County","ok",2,0.632
"48433","Stonewall County","ok",3,1.377
"39069","Henry County","ok",3,1.284
"33009","Grafton County","ok",2,0.681
"29145","Newton County","ok",2,0.697
"18129","Posey County","ok",3,1.151
"48311","McMullen County","ok",5,2.988
"17035","Cumberland County","ok",2,0.723
"13297","Walton County","ok",2,0.616
"27121","Pope County","ok",2,0.896
"51157","Rappahannock County","ok",2,0.788
"51009","Amherst County","ok",3,1.018
"06111","Ventura County","ok",4,1.699
"17033","Crawford County","ok",3,1.108
"08093","Park County","ok",3,1.432
"06037","Los Angeles County","ok",4,2.056
"04027","Yuma County","ok",3,1.038
"13129","Gordon County","ok",2,0.555
"19025","Calhoun County","ok",2,0.547
"12055","Highlands County","ok",2,0.757
"51580","Covington city","nodata",NA,NA
"50017","Orange County","impossible",NA,-3.08
"20113","McPherson County","ok",2,0.872
"04021","Pinal County","ok",2,0.965
"39051","Fulton County","ok",3,1.214
"08003","Alamosa County","ok",4,2.02
"12017","Citrus County","ok",2,0.77
"47041","DeKalb County","ok",2,0.949
"42031","Clarion County","ok",1,0.479
"46097","Miner County","ok",5,2.588
"46073","Jerauld County","ok",3,1.187
"18031","Decatur County","ok",2,0.892
"18037","Dubois County","ok",3,1.355
"51057","Essex County","ok",1,0.394
"45089","Williamsburg County","ok",2,0.583
"36031","Essex County","ok",5,2.775
"19195","Worth County","ok",2,0.812
"40063","Hughes County","ok",1,0.236
"51027","Buchanan County","ok",3,1.092
"51005","Alleghany County","ok",2,0.767
"28087","Lowndes County","setaside",NA,0
"18143","Scott County","ok",3,1.27
"08099","Prowers County","ok",3,1.248
"48435","Sutton County","ok",2,0.568
"40101","Muskogee County","ok",1,0.344
"29043","Christian County","ok",2,0.517
"28073","Lamar County","setaside",NA,0
"18137","Ripley County","ok",3,1.127
"38057","Mercer County","ok",4,1.586
"13147","Hart County","ok",2,0.824
"22049","Jackson Parish","ok",2,0.633
"51133","Northumberland County","ok",2,0.738
"48157","Fort Bend County","ok",2,0.817
"55047","Green Lake County","nodata",NA,NA
"30073","Pondera County","ok",3,1.144
"55127","Walworth County","nodata",NA,NA
"32021","Mineral County","impossible",NA,-0.394
"17057","Fulton County","ok",3,1.152
"36103","Suffolk County","ok",4,1.828
"18161","Union County","ok",3,1.104
"29119","McDonald County","ok",6,22.628
"31157","Scotts Bluff County","ok",4,2.141
"35047","San Miguel County","ok",2,0.644
"01081","Lee County","ok",2,0.897
"48367","Parker County","ok",1,0.083
"38021","Dickey County","ok",4,1.933
"38003","Barnes County","ok",4,2.198
"27143","Sibley County","ok",2,0.92
"13293","Upson County","ok",1,0.445
"06097","Sonoma County","ok",5,2.718
"26033","Chippewa County","ok",2,0.681
