"fips","part","pts"
"31039",1,"748 612 6 0 7 0 0 -3 0 -10 -10 0 -3 0 0 13"
"53069",1,"82 867 1 4 9 -3 3 0 -2 -8 -4 0 -1 5 -6 2"
"35011",1,"508 330 1 9 1 10 14 -1 0 3 3 0 0 3 7 -1 -1 -6 5 -1 -1 -19 -6 1 -1 -3 -19 1 1 4 -4 0"
"31109",1,"751 574 12 0 0 -1 0 -9 0 -10 -12 1 0 6 0 13"
"31129",1,"713 549 12 -1 0 -12 -3 0 -9 0 0 13"
"46099",1,"752 677 12 0 0 -13 -4 0 -9 0 -5 0 0 13 6 0"
"48327",1,"663 210 0 -6 4 0 -1 -8 -19 0 0 14 16 0"
"06091",1,"109 610 4 -1 -3 -10 -14 4 -1 3 -5 -1 -8 0 3 8 5 4 5 -4 14 -3"
"21053",1,"1088 437 5 1 2 -4 1 -5 -8 -1 -1 0 1 9"
"39063",1,"1107 599 12 2 1 -7 -2 -6 -10 -1 0 3 -1 9"
"48189",1,"593 332 3 -1 13 0 -1 -18 -16 1 1 18"
"01027",1,"1083 312 6 1 2 -14 -11 -2 -5 0 1 3 0 4 4 0 3 8"
"48011",1,"609 363 16 -1 -1 -16 -11 0 -5 1 1 16"
"39003",1,"1095 586 7 1 0 2 6 1 0 -3 1 -7 -6 -1 -4 1 -4 0 -1 5 1 1"
"13189",1,"1179 328 5 2 1 1 1 -4 5 -7 -2 -1 -1 0 -4 1 -5 8"
"55111",1,"926 670 0 3 14 1 2 -2 3 0 0 -7 -3 -3 -3 -4 -9 -2 -1 15 -3 -1"
"05137",1,"881 389 3 0 0 3 3 3 3 -3 1 -3 3 -1 4 -2 1 -6 -12 -1 -6 0 0 3 0 7"
"41063",1,"219 815 1 5 10 -2 3 -1 14 -3 2 -6 4 -4 2 -7 -3 -3 -5 -8 -4 -6 -12 3 0 3 -5 1 0 4 -3 3 0 7 0 4 0 3 2 6 -6 1"
