"state_name","county_name","fips","ballots","total_votes","residual","residual_rate"
"South Dakota","Potter County","46107",351,1298,-947,-269.801
"Illinois","Knox County","17095",10741,22175,-11434,-106.452
"Virginia","Appomattox County","51011",4721,9642,-4921,-104.236
"Illinois","Cook County","17031",1112978,2056800,-943822,-84.801
"Illinois","Winnebago County","17201",70393,121048,-50655,-71.96
"Illinois","McLean County","17113",51973,86168,-34195,-65.794
"Missouri","Jackson County","29095",196230,317702,-121472,-61.903
"Illinois","Christian County","17021",10767,15534,-4767,-44.274
"Illinois","Vermilion County","17183",20819,29509,-8690,-41.741
"Arkansas","Ouachita County","05103",6181,8626,-2445,-39.557
"Arkansas","Newton County","05101",2943,3770,-827,-28.101
"Illinois","Franklin County","17055",13878,17685,-3807,-27.432
"Vermont","Essex County","50009",2698,3410,-712,-26.39
"Mississippi","Pike County","28113",12715,15485,-2770,-21.785
"Missouri","Franklin County","29071",45676,55454,-9778,-21.407
"Vermont","Grand Isle County","50013",4235,4967,-732,-17.285
"Illinois","Logan County","17107",10711,12555,-1844,-17.216
"Vermont","Windsor County","50027",29517,34018,-4501,-15.249
"West Virginia","Calhoun County","54013",2574,2936,-362,-14.064
"Vermont","Chittenden County","50007",86068,96405,-10337,-12.01
"Maryland","Charles County","24017",81871,91650,-9779,-11.944
"Texas","Runnels County","48399",3632,4056,-424,-11.674
"Texas","Donley County","48129",1559,1712,-153,-9.814
"South Dakota","Walworth County","46129",2309,2466,-157,-6.799
"Vermont","Lamoille County","50015",13911,14757,-846,-6.082
"Minnesota","Rock County","27133",5082,5361,-279,-5.49
"Illinois","Pulaski County","17153",2275,2377,-102,-4.484
"Kansas","Kingman County","20095",3778,3947,-169,-4.473
"Virginia","Rockingham County","51165",46510,48581,-2071,-4.453
"Illinois","St. Clair County","17163",114629,119655,-5026,-4.385
"Vermont","Rutland County","50021",32472,33883,-1411,-4.345
"New York","Wyoming County","36121",18258,19041,-783,-4.289
"Kansas","Woodson County","20207",1445,1506,-61,-4.221
"Virginia","Richmond County","51159",4001,4161,-160,-3.999
"Kansas","Wilson County","20205",3468,3603,-135,-3.893
"Virginia","Augusta County","51015",42704,44223,-1519,-3.557
"Texas","Real County","48385",1893,1958,-65,-3.434
"Kansas","Montgomery County","20125",12030,12441,-411,-3.416
"Missouri","Polk County","29167",15334,15817,-483,-3.15
"Vermont","Orange County","50017",17012,17536,-524,-3.08
"Texas","Ector County","48135",41393,42615,-1222,-2.952
"Vermont","Windham County","50025",25022,25718,-696,-2.782
"Kansas","Comanche County","20033",855,874,-19,-2.222
"Maine","Cumberland County","23005",195008,199225,-4217,-2.162
"Illinois","Richland County","17159",7604,7743,-139,-1.828
"Kansas","Rooks County","20163",2492,2534,-42,-1.685
"Virginia","Campbell County","51031",30661,31171,-510,-1.663
"Arkansas","Franklin County","05047",6858,6971,-113,-1.648
"Texas","Waller County","48473",27148,27545,-397,-1.462
"Arkansas","St. Francis County","05123",5897,5979,-82,-1.391
"Arkansas","Clay County","05021",4899,4967,-68,-1.388
"Virginia","Nottoway County","51135",6763,6853,-90,-1.331
"Virginia","Sussex County","51183",4830,4892,-62,-1.284
"New York","Jefferson County","36045",42224,42743,-519,-1.229
"Nevada","Esmeralda County","32009",456,461,-5,-1.096
"Kansas","Osage County","20139",7812,7892,-80,-1.024
"Texas","Upton County","48461",1290,1303,-13,-1.008
"Texas","Hockley County","48219",7912,7987,-75,-0.948
"Kentucky","Jefferson County","21111",350544,353609,-3065,-0.874
"South Dakota","Oglala Lakota County","46102",3037,3062,-25,-0.823
"Virginia","Smyth County","51173",14308,14420,-112,-0.783
"Texas","Dimmit County","48127",3401,3427,-26,-0.764
"South Dakota","Sanborn County","46111",1203,1212,-9,-0.748
"Mississippi","Winston County","28159",8322,8384,-62,-0.745
"Minnesota","Faribault County","27043",7682,7739,-57,-0.742
"South Dakota","Buffalo County","46017",463,466,-3,-0.648
"West Virginia","Mineral County","54057",12821,12904,-83,-0.647
"Texas","Jack County","48237",4175,4201,-26,-0.623
"Virginia","Fluvanna County","51065",16577,16678,-101,-0.609
"Pennsylvania","Luzerne County","42079",155216,156150,-934,-0.602
"Virginia","Frederick County","51069",51744,52040,-296,-0.572
"Texas","Freestone County","48161",8996,9045,-49,-0.545
"Illinois","Jo Daviess County","17085",12319,12385,-66,-0.536
"Utah","Emery County","49015",4985,5011,-26,-0.522
