"which","names","people","modal_correct_pct","bits_before","bits_after","bits_learned","pct_of_uncertainty_removed","names_over_90","people_over_90_pct"
"first name",53615,283234624,74.1548,1.64472,1.18946,0.455268,27.6805,13204,9.62591
"last name",156621,262640594,79.2865,1.69822,0.940906,0.757314,44.5946,84049,34.4293
