"rank","name","in_the_sex_table","in_the_race_table","gap"
1,"MICHAEL",3476721,3476715,6
2,"JOHN",3125123,3125114,9
3,"JAMES",2996421,2996420,1
4,"DAVID",2813017,2813019,-2
5,"ROBERT",2759339,2759332,7
6,"WILLIAM",2240114,2240112,2
7,"MARY",1768343,1768337,6
8,"MARIA",1652966,1652964,2
9,"DANIEL",1607193,1607193,0
10,"JOSEPH",1600667,1600664,3
