"name","value","note"
"us_2020","331449281","2020 Census resident population, the denominator for the coverage shares"
"first_names","53615","first names published, each held by about 100 people or more"
"last_names","156621","last names published, same threshold"
"first_people","302031536","people a first name was recorded for, residual included"
"last_people","298898231","people a last name was recorded for"
"first_coverage_pct","91.1245","share of the enumerated population with a usable first name"
"last_coverage_pct","90.1792","share with a usable last name"
"no_first_name","29417745","people enumerated in 2020 with no first name in this file"
"residual_first","18794706","people swept into ALL OTHER NAMES, first-name table"
"residual_last","36257637","same, last-name table"
"effective_first_low","3779.74","2^H: fewest equally common first names that would be this surprising"
"effective_first_high","5034.04","most, the two differing only over the tail the file does not itemise"
"effective_last_low","27809.9","same bracket, last names"
"effective_last_high","48619.3","same"
"bound_pct_first","0.00130696","how much of the first-name collision probability the unlisted tail can account for"
"bound_pct_last","0.00775576","same, last names"
"half_first","317","most common first names needed to cover half the country"
"half_last","2412","same, last names"
"maj_wrong","7042013","people whose sex the majority rule on their first name gets wrong"
"maj_right_pct","97.5137","share the majority rule gets right"
"sex_scatter_cut","25000","smallest name shown in the sex figure"
"p_first","0.00157641","probability two people share a first name"
"p_last","0.000523273","probability two people share a last name"
"p_both","0.000000824894","the two multiplied, which assumes they are unrelated"
"one_in_both","1212277","the same number as odds"
"inflate_race","1.11987","how much correlation through six race categories raises it"
"both_names","14926","names that appear in both the first-name and last-name tables"
"both_pct_first","75.1413","share of Americans whose first name is also somebody's surname"
"both_pct_last","50.0224","share whose surname is also somebody's first name"
"disagree_n","49089","first names given different totals by the two tabulations"
"disagree_pct","91.5583","share of them"
"disagree_max","20","largest gap between the two"
"disagree_name","MELVY","the name carrying it"
"resid_diff","3","gap between the two files on the residual line"
"below_100_first","155","first names published with a total under the stated threshold"
"below_100_last","617","same, last names"
"min_first","91","smallest published first-name count"
"min_last","92","smallest published last-name count"
"explore_n","2000","names of each kind carried into the browser figure"
"explore_cov_first","78.0673","share of Americans whose first name is among them"
"explore_cov_last","47.7863","same, last names"
"ssa_min","1880","first birth year in the Social Security file"
"ssa_max","2025","last birth year in it"
"ssa_card_year","1936","the year Social Security numbers were first issued"
"ssa_cov_1920","76.6998","share of 1920's registered births that reached the file"
"ssa_cov_1950","96.4569","same, 1950"
"echo_year","2015","the year Amazon put the Echo on general sale"
"alexa_best_rank","32","ALEXA's best rank among girls' names, in any year of the file"
"alexa_best_year","2015","the year it held that rank"
"alexa_best_n","6053","girls given the name that year"
"alexa_peak_n","6117","the largest number of girls given it in any year"
"alexa_peak_year","2006","the year of that largest number"
"alexa_last_n","243","girls given it in the last year of the file"
"alexa_last_rank","1029","its rank that year"
"alexa_drop_pct","95.9855","fall from the launch year to the last year"
"alexa_born_2010","91160","people named ALEXA ever born through 2010, both sexes"
"alexa_born_2020","129466","same, through 2020"
"alexa_born_decade","38306","born in the decade between the two censuses"
"alexa_census_2020","115935","people the 2020 census counts with the name"
"alexa_stock_growth","42.0206","how much the stock grew across the decade the flow collapsed"
"alexa_survive_pct","89.5486","census count as a share of everyone ever born with the name"
"birth_n","1000","the cut the birth-year figure starts from: this many census names"
"birth_names","1090","names it actually carries, risers and newcomers added to that cut"
"birth_new","86","of those, the ones with no row in the census file"
"birth_y0","1880","first year that figure shows"
"birth_cov","70.0775","share of Americans whose first name is among them"
"never_n","1","names in the census lookup Social Security has never recorded"
"never_name","REF","which ones"
"never_people","14848","people the census gives them"
"rise_now0","2023","first year of the recent window the risers are measured over"
"rise_now1","2025","last year of it"
"rise_then0","2013","first year of the window a decade earlier"
"rise_then1","2015","last year of it"
"rise_n","10","risers shown"
"rise_top","THEODORE","the fastest-rising first name of the decade"
"rise_top_old_year","1919","the year it was last at its most common"
"rise_in_census","10","how many of the risers the 2020 census file carries"
"new_min","500","births over the recent window a newcomer needs to be counted here"
"new_n","86","names that clear it and are absent from the census file"
"new_people","100993","babies given one of those names in the recent window"
"new_top","KEHLANI","the most given of them"
