"which","rank","name","count","pct"
"first name",1,"MICHAEL",3476721,1.15111
"first name",2,"JOHN",3125123,1.0347
"first name",3,"JAMES",2996421,0.992089
"first name",4,"DAVID",2813017,0.931365
"first name",5,"ROBERT",2759339,0.913593
"first name",6,"WILLIAM",2240114,0.741682
"first name",7,"MARY",1768343,0.585483
"first name",8,"MARIA",1652966,0.547283
"first name",9,"DANIEL",1607193,0.532128
"first name",10,"JOSEPH",1600667,0.529967
"first name",11,"RICHARD",1575998,0.521799
"first name",12,"THOMAS",1506606,0.498824
"first name",13,"CHRISTOPHER",1499872,0.496595
"first name",14,"JENNIFER",1331077,0.440708
"first name",15,"MATTHEW",1315151,0.435435
"first name",16,"JOSE",1211106,0.400987
"first name",17,"CHARLES",1207972,0.399949
"first name",18,"ELIZABETH",1206652,0.399512
"first name",19,"PATRICIA",1189825,0.393941
"first name",20,"LINDA",1164876,0.38568
"first name",21,"MARK",1135541,0.375968
"first name",22,"ANDREW",1075513,0.356093
"first name",23,"ANTHONY",1075181,0.355983
"first name",24,"KEVIN",1015227,0.336133
"first name",25,"BRIAN",1011020,0.33474
"last name",1,"SMITH",2369644,0.792793
"last name",2,"JOHNSON",1858234,0.621695
"last name",3,"WILLIAMS",1561395,0.522383
"last name",4,"BROWN",1386083,0.463731
"last name",5,"JONES",1383250,0.462783
"last name",6,"GARCIA",1149510,0.384582
"last name",7,"MILLER",1129186,0.377783
"last name",8,"RODRIGUEZ",1085838,0.36328
"last name",9,"DAVIS",1074448,0.35947
"last name",10,"MARTINEZ",1039848,0.347894
"last name",11,"HERNANDEZ",1013895,0.339211
"last name",12,"LOPEZ",878958,0.294066
"last name",13,"GONZALEZ",828405,0.277153
"last name",14,"WILSON",777275,0.260047
"last name",15,"ANDERSON",756560,0.253116
"last name",16,"THOMAS",734345,0.245684
"last name",17,"TAYLOR",723758,0.242142
"last name",18,"MOORE",696384,0.232984
"last name",19,"LEE",695657,0.23274
"last name",20,"JACKSON",686937,0.229823
"last name",21,"PEREZ",680712,0.22774
"last name",22,"MARTIN",678691,0.227064
"last name",23,"THOMPSON",640099,0.214153
"last name",24,"WHITE",636798,0.213048
"last name",25,"SANCHEZ",607848,0.203363
