"name","first_year","born_by_2010","births_recent"
"KEHLANI",2015,0,5834
"OAKLYNN",2008,5,5731
"WRENLEY",2013,0,5549
"CATALEYA",2011,0,3693
"KYLO",1979,11,2493
"WRENLEE",2016,0,2242
"ELOWYN",2008,13,2146
"KYLIAN",2002,51,2079
"KAIZEN",2004,81,2009
"HAISLEY",2002,49,1958
