"name","born_all","born_through_2020","median_birth_year","census_2020","census_rank","pct_still_counted"
"GABRIELA",86553,81597,2001,112854,500,138.307
"ROSEMARY",163523,158539,1947,112645,501,71.0519
"DEANNA",134743,134283,1970,112509,502,83.785
"JENNY",92706,91914,1977,111784,503,121.618
"MARISSA",121112,120335,1996,111567,504,92.7137
"MELVIN",247075,245649,1944,111421,505,45.3578
"BAILEY",132544,123657,2003,111403,506,90.0903
"ALISON",117481,114146,1985,111220,507,97.4366
"AUTUMN",146326,130688,2005,110887,508,84.8486
"DERRICK",146344,144576,1983,110568,509,76.4774
"MATT",23892,23700,1965,110480,510,466.16
"CARSON",140887,123808,2010,110436,511,89.1994
"ANDRE",132861,127620,1986,110181,512,86.3352
"DON",168839,168347,1946,109818,513,65.2331
"GABRIELLA",137704,123862,2009,109553,514,88.4476
"TRISTAN",130794,123462,2007,109402,515,88.6119
"EDDIE",227627,226152,1952,109400,516,48.3745
"CECILIA",111688,100775,1983,109389,517,108.548
"NORMAN",254762,253968,1939,109382,518,43.0692
"CLARA",301540,286959,1927,109248,519,38.0709
"GRANT",136669,128653,1997,109200,520,84.8795
"BRAYDEN",137606,126370,2011,109062,521,86.3037
"AIDAN",121158,115487,2006,108843,522,94.247
"BRYCE",127695,121214,2003,107825,523,88.9542
"MIRIAM",118190,112007,1963,107719,524,96.1717
"RAY",210307,208583,1943,107593,525,51.5828
"BEN",85816,84242,1945,107539,526,127.655
"LORRAINE",210845,209941,1940,107539,526,51.2234
"MARCO",76917,72712,1998,106978,528,147.126
"MARLENE",130932,130119,1949,106957,529,82.1994
"SPENCER",129638,123764,1996,106323,530,85.9079
"TANYA",117260,117021,1974,105773,531,90.3881
"RONNIE",191119,189626,1958,105401,532,55.5836
"CHARLIE",224639,202780,1950,104901,533,51.7314
"JOANNA",112067,107104,1985,104730,534,97.7835
"DOLORES",212776,212456,1933,104660,535,49.262
"JEANNE",163609,163434,1948,104565,536,63.98
"JESSIE",281367,278876,1935,104536,537,37.4848
"ROBERTA",172330,172030,1946,104467,538,60.726
"MARYANN",63005,62522,1951,104050,539,166.421
"KYLIE",122340,114489,2006,103241,540,90.1755
"DARRELL",160952,160364,1961,103236,541,64.376
"MAYA",123750,103387,2010,103000,542,99.6257
"DAKOTA",134576,123763,2001,102684,543,82.9683
"CAITLIN",112426,111976,1993,102632,544,91.6554
"ARMANDO",76887,74262,1989,102571,545,138.12
"ALMA",165942,162629,1927,102369,546,62.9463
"TOMMY",181675,179690,1956,101695,547,56.5947
"OLGA",62070,61807,1929,101653,548,164.468
"TONYA",120856,120785,1972,100565,549,83.2595
"MIRANDA",115168,112651,1995,99796,550,88.5886
"SUE",145055,145012,1948,99611,551,68.6916
"NICOLAS",101764,91815,2003,99604,552,108.483
"JIM",153938,153779,1948,99345,553,64.6024
"BRAD",83293,83147,1970,99078,554,119.16
"JUANITA",208675,208334,1937,98833,555,47.4397
"JEANETTE",163977,163641,1948,98707,556,60.3192
"ANGELINA",126392,121417,2002,98695,557,81.286
"JOCELYN",113412,108811,2004,98533,558,90.5543
"RICK",81964,81748,1960,98277,559,120.219
"MICAH",133606,113020,2009,97933,560,86.651
"MARJORIE",274611,273466,1928,97802,561,35.7639
"CHARLENE",134111,133570,1955,97330,562,72.8682
"NINA",134038,129182,1964,96875,563,74.9911
"ALBERTO",63259,61514,1989,96609,564,157.052
"BROOKLYN",127055,112362,2012,96523,565,85.9036
"LOUISE",338662,336072,1925,96368,566,28.6748
"ARIANA",120580,107214,2009,95572,567,89.1413
"JOSIAH",149420,120937,2014,95175,568,78.698
"NOLAN",136061,110760,2013,94520,569,85.3377
"MARGARITA",40418,39882,1967,93539,570,234.539
"KARA",102025,100563,1988,93447,571,92.9238
"STELLA",207288,184838,1949,93368,572,50.5134
"EDITH",271705,268677,1924,92920,573,34.5843
"JEROME",162296,161437,1954,92865,574,57.524
"JUNE",209183,199855,1935,92671,575,46.3691
"EARL",291421,291050,1933,92567,576,31.8045
"BRANDY",108861,108579,1981,92449,577,85.1445
"GERALDINE",212097,211532,1936,92416,578,43.6889
"HARPER",145832,106588,2017,92376,579,86.6664
"ALFRED",245153,243773,1936,92300,580,37.8631
