"rank","name","people","pct_white","pct_black","pct_aian","pct_asian","pct_twoplus","pct_hispanic","also_a_first_name"
1,"SMITH",2369644,67.9949,22.618,0.833205,0.681073,4.37243,3.5004,TRUE
2,"JOHNSON",1858234,56.7854,33.5641,0.880675,0.707984,4.72432,3.33752,TRUE
3,"WILLIAMS",1561395,43.8243,46.2204,0.781673,0.589793,5.08475,3.49905,TRUE
4,"BROWN",1386083,55.4319,34.684,0.846847,0.660855,4.82929,3.54712,TRUE
5,"JONES",1383250,53.0558,37.2218,0.9122,0.59165,4.87302,3.34545,TRUE
6,"GARCIA",1149510,5.70147,0.545015,0.490209,1.64061,0.42566,91.197,TRUE
7,"MILLER",1129186,81.4662,10.4606,0.620358,0.681553,3.67707,3.09418,TRUE
8,"RODRIGUEZ",1085838,5.12609,0.623574,0.207674,0.69025,0.324081,93.0283,TRUE
9,"DAVIS",1074448,59.6162,30.8005,0.776492,0.628043,4.73564,3.44316,TRUE
10,"MARTINEZ",1039848,5.60986,0.586913,0.555658,0.72626,0.38044,92.1409,TRUE
11,"HERNANDEZ",1013895,4.23052,0.435647,0.236612,0.735678,0.282475,94.0791,TRUE
12,"LOPEZ",878958,5.07374,0.639393,0.397289,1.16649,0.389552,92.3335,TRUE
13,"GONZALEZ",828405,4.3597,0.421654,0.160429,0.423585,0.246136,94.3885,TRUE
14,"WILSON",777275,64.4584,25.5484,0.979962,0.762021,4.6582,3.59307,TRUE
15,"ANDERSON",756560,72.6201,18.4063,0.666173,0.755261,4.08203,3.47005,TRUE
16,"THOMAS",734345,49.7179,37.759,1.00607,3.18379,4.76275,3.57053,TRUE
17,"TAYLOR",723758,62.7485,27.6048,0.716262,0.660027,4.77825,3.49219,TRUE
18,"MOORE",696384,63.7668,26.9798,0.649211,0.624512,4.58827,3.39138,TRUE
19,"LEE",695657,33.2401,15.2613,0.902169,43.8986,4.16398,2.53386,TRUE
20,"JACKSON",686937,38.2994,51.2494,0.968648,0.532072,5.4564,3.49406,TRUE
21,"PEREZ",680712,5.24892,0.561912,0.233579,1.36989,0.377546,92.2082,TRUE
22,"MARTIN",678691,71.8188,15.3622,0.922658,1.09549,4.06356,6.73723,TRUE
23,"THOMPSON",640099,67.1385,22.9483,1.13108,0.712702,4.59819,3.47118,TRUE
24,"WHITE",636798,62.9953,27.2904,1.00016,0.656252,4.67275,3.38506,TRUE
25,"SANCHEZ",607848,5.15803,0.525625,0.404377,1.14585,0.394671,92.3714,TRUE
26,"HARRIS",603371,49.2274,41.0366,0.623166,0.618028,5.18785,3.30692,TRUE
27,"RAMIREZ",544204,4.32963,0.384047,0.251376,1.09849,0.337557,93.5989,TRUE
28,"CLARK",539661,71.9776,18.4516,0.930399,0.690248,4.43427,3.51591,TRUE
29,"NGUYEN",531404,1.3438,0.216408,0.0214526,95.4477,2.13679,0.833829,TRUE
30,"LEWIS",515459,55.7233,34.0019,1.13413,0.724597,4.8225,3.5935,TRUE
31,"ROBINSON",510138,46.7554,43.4406,0.514371,0.622969,5.07667,3.59001,TRUE
32,"WALKER",504833,56.3297,33.9635,0.813734,0.591879,4.87131,3.42985,TRUE
33,"HALL",470080,69.8273,21.1143,0.602238,0.718601,4.51668,3.22094,TRUE
34,"YOUNG",468920,63.6893,23.9391,0.736373,3.20609,4.8247,3.60445,TRUE
35,"ALLEN",465583,64.7805,25.5834,0.774942,0.675497,4.64686,3.53879,TRUE
36,"KING",453539,67.5239,22.2704,0.945012,1.14455,4.53875,3.57742,TRUE
37,"WRIGHT",443210,63.0633,27.5014,0.658604,0.657927,4.76591,3.35281,TRUE
38,"TORRES",435998,5.6186,0.67615,0.238533,1.62891,0.40436,91.4334,TRUE
39,"FLORES",426965,5.23275,0.501212,0.382467,2.39973,0.503788,90.9801,TRUE
40,"SCOTT",421499,57.6583,32.0542,1.09087,0.634402,4.89491,3.66739,TRUE
41,"HILL",419076,61.9663,28.119,0.88194,0.663364,4.81726,3.5521,TRUE
42,"GREEN",415664,54.5308,35.79,0.599523,0.568969,4.74205,3.76867,TRUE
43,"ADAMS",413470,71.1067,19.488,0.745157,0.713957,4.34155,3.60461,TRUE
44,"NELSON",410801,75.0334,15.6358,1.02166,0.861488,3.90968,3.53797,TRUE
45,"BAKER",401148,76.8524,14.0397,0.839092,0.71096,4.22363,3.33418,TRUE
46,"RIVERA",398449,5.76209,1.05936,0.203539,2.26528,0.535828,90.1739,TRUE
47,"MITCHELL",372104,58.402,31.7667,0.96129,0.607088,4.65972,3.60329,TRUE
48,"CAMPBELL",370555,70.7096,20.2054,0.628517,0.659551,4.27035,3.5266,TRUE
49,"GOMEZ",368213,5.26353,0.838373,0.301999,1.18002,0.400312,92.0158,TRUE
50,"CARTER",364355,55.7264,34.4938,0.732802,0.587888,5.0599,3.39916,TRUE
51,"ROBERTS",362049,74.2134,16.3384,0.813978,0.766471,4.38863,3.47909,TRUE
52,"DIAZ",356910,5.38371,0.76686,0.185481,1.34684,0.394217,91.9229,TRUE
53,"PHILLIPS",343656,73.5459,16.7959,0.959972,0.726599,4.50974,3.46189,TRUE
54,"EVANS",343493,65.6508,25.0124,0.678616,0.638441,4.59223,3.42744,TRUE
55,"CRUZ",342580,5.63693,0.933505,0.294822,5.80419,0.893514,86.437,TRUE
56,"REYES",335828,4.53834,0.697679,0.241493,6.15553,0.703038,87.6639,TRUE
57,"TURNER",333512,61.9291,29.0247,0.549905,0.553203,4.72187,3.22117,TRUE
58,"PARKER",323880,66.3684,24.1018,0.8392,0.693775,4.69958,3.29721,TRUE
59,"EDWARDS",320927,59.4733,30.8612,0.713246,0.66121,4.79548,3.4955,TRUE
60,"COLLINS",317373,68.7563,22.0472,0.69193,0.648448,4.42287,3.43318,TRUE
61,"STEWART",311429,66.4386,24.3022,0.69454,0.626146,4.44082,3.49775,TRUE
62,"MORALES",310866,5.01631,0.608622,0.221317,1.38388,0.341305,92.4286,TRUE
63,"PATEL",309327,3.03013,0.629108,0.575766,93.7535,1.55079,0.460678,TRUE
64,"MORRIS",307446,70.2693,20.0165,0.901296,0.734113,4.45477,3.62405,TRUE
65,"MURPHY",298047,80.5269,11.163,0.583465,0.724047,3.5538,3.44878,TRUE
66,"COOK",290386,78.9067,12.1803,0.902592,0.668765,4.18615,3.15546,TRUE
67,"ROGERS",289242,72.347,18.0465,0.755077,0.6925,4.45613,3.70278,TRUE
68,"ORTIZ",288277,5.36706,0.754483,0.401697,0.815882,0.387475,92.2734,TRUE
69,"MORGAN",276366,72.7383,17.2778,1.17851,0.700882,4.31348,3.79099,TRUE
70,"GUTIERREZ",275216,4.92777,0.318659,0.309938,1.70303,0.377885,92.3627,TRUE
71,"KIM",274068,2.45596,0.332764,0.0153247,93.8369,2.45487,0.904155,TRUE
72,"COOPER",271453,65.2378,25.3727,0.715041,0.621839,4.59122,3.46137,TRUE
73,"BAILEY",269092,69.4008,21.6751,0.574153,0.640301,4.45535,3.25428,TRUE
74,"RAMOS",268640,6.58651,1.12641,0.251638,5.34544,0.787671,85.9023,TRUE
75,"REED",268584,68.5439,21.8818,0.951658,0.670926,4.69053,3.26118,TRUE
76,"BELL",267025,58.893,31.4019,0.897669,0.655369,4.7269,3.42515,TRUE
77,"PETERSON",265150,81.9276,9.67792,0.707524,0.845936,3.4852,3.35584,TRUE
78,"DOE",262774,52.713,21.2818,0.694894,5.06633,1.81867,18.4253,TRUE
79,"WARD",255767,72.5082,18.1489,0.831616,0.638081,4.41378,3.4594,TRUE
80,"KELLY",255516,75.636,15.7646,0.511514,0.763944,3.60838,3.71562,TRUE
81,"HOWARD",253434,61.7021,28.8036,0.82191,0.614361,4.6955,3.36261,TRUE
82,"COX",249872,79.4459,11.76,0.652334,0.62512,4.13292,3.38373,TRUE
83,"RICHARDSON",249840,57.4608,32.4844,0.977025,0.6244,4.80107,3.65234,TRUE
84,"CHAVEZ",244201,5.48524,0.291563,0.991806,0.795656,0.369368,92.0664,TRUE
85,"BROOKS",244116,57.7447,32.5386,0.737764,0.592751,4.95256,3.43361,TRUE
86,"JAMES",243502,48.4111,38.3447,2.36672,1.79834,4.84226,4.23693,TRUE
87,"WATSON",242956,63.2567,27.1457,0.796029,0.688602,4.62676,3.48623,TRUE
88,"MENDOZA",242772,4.6348,0.415616,0.277627,5.52453,0.576261,88.5712,TRUE
89,"GRAY",241208,65.9311,24.5523,0.834549,0.690276,4.55831,3.43355,TRUE
90,"BENNETT",239397,73.3485,17.3737,0.82666,0.692156,4.27365,3.48542,TRUE
91,"WOOD",238948,85.596,5.23294,0.758324,0.830306,4.12977,3.45263,TRUE
92,"RUIZ",237286,5.48073,0.550812,0.248645,1.1602,0.388561,92.1711,TRUE
93,"CHEN",233798,2.06546,0.448678,0.00983755,95.4354,1.45981,0.580843,TRUE
94,"CASTILLO",231347,5.16886,0.839432,0.575326,3.41392,0.59132,89.4111,TRUE
