"check","value"
"first names published","53,615"
"last names published","156,621"
"people with a first name in the file","302,031,536"
"people with a last name in the file","298,898,231"
"race columns sum to the published total, every last name","156,621 of 156,621"
"sex columns sum to the published total, every first name","53,615 of 53,615"
"first names given two different totals by the two tabulations","49,089 of 53,615 (91.56%)"
"rows whose total the negative repair left unchanged","107,226 of 107,226"
"names that are both a first name and a last name","14,926"
"chance two people share both a first and a last name","1 in 1,212,277"
"birth years in the Social Security file","1880-2025 (146 years)"
"girls named ALEXA, launch year against the last year","6,053 in 2015, 243 in 2025"
"ALEXA between the two censuses: born, against counted alive","38,306 born, stock up 42.02%"
"names given to 1,000+ babies since 2023 that the census file has no row for","86 names, 100,993 babies"
