"key","value"
"osm_base","2026-08-14"
"n_wf_osm","532"
"n_cb_osm","647"
"stores_snapped","0"
"stores_snapped_max_km","0"
"vintage_differ","13"
"vintage_differ_ct","13"
"cb_10k_stores","657"
"cb_10k_states","43"
"cb_10k_asof","12 September 2025"
"cb_osm_states","44"
"cb_coverage","98.5"
"wf_osm_states","45"
"cb_single_states","DE, ME, MN, ND, NH, NV, RI, SD"
"cb_n_single_states","8"
"cb_me_stores","1"
"cb_states_gap","1"
"recoded_shannon","3"
"dc_ward_rows","8"
"ak_rows_dropped","109"
"stores_in_ak","0"
"cert_matched","3098"
"cert_win_diff","1"
"cert_dem_diff","42"
"n_counties","3121"
"n_wf_counties","212"
"n_cb_counties","479"
"n_both","116"
"n_wfonly","96"
"n_cbonly","363"
"n_neither","2546"
"excl_wf_votes","65.5"
"excl_cb_votes","39.9"
"excl_gap_votes","25.6"
"excl_gap_counties","77"
"drift_gap_2008","1.7"
"overlap_dens","136"
"overlap_dens_pct","64"
"overlap_edu","107"
"overlap_edu_pct","50"
"wf_pop_share","53.1"
"cb_pop_share","46.0"
"neither_pop_share","29.2"
"neither_county_pct","82"
"med_pop_wf","586,614.5"
"med_pop_cb","172,069"
"med_pop_neither","19,722"
"pop_ratio_cb_neither","8.7"
"ct_units","17"
"ct_2024_missing","8"
"ct_2016_missing","9"
"ct_stores","13"
"wf24","77"
"cb24","27"
"gap24","50"
"wf24v","59.4"
"cb24v","48.6"
"gap24v","10.8"
"nat24v","49.3"
"gap08","43"
"gap08v","9.4"
