"fips","n_wf","n_cb","n_wf_2020","n_cb_2020","has_wf","has_cb","has_wf_2020","has_cb_2020","cat","pop","land_sqmi","ba_pct","density","win2008","dem2008","gop2008","total2008","win2012","dem2012","gop2012","total2012","win2016","dem2016","gop2016","total2016","win2020","dem2020","gop2020","total2020","win2024","dem2024","gop2024","total2024"
"01111",0,0,0,0,FALSE,FALSE,FALSE,FALSE,"neither",23067,580.55,18.8036,39.733,"R",3064,7175,10384,"R",3076,7219,10391,"R",2290,7697,10130,"R",2203,8559,10837,"R",1920,9102,11075
"01113",0,0,0,0,FALSE,FALSE,FALSE,FALSE,"neither",58837,641.182,16.364,91.7633,"D",10085,8705,18915,"D",10495,8276,18871,"D",9577,9210,19136,"D",11228,9864,21329,"D",10422,10078,20679
"01115",0,2,0,2,FALSE,TRUE,FALSE,TRUE,"cracker barrel only",96927,631.61,19.328,153.46,"R",6091,27649,34088,"R",5790,29001,35105,"R",5550,31579,37937,"R",7744,36166,44441,"R",7640,35501,43440
"01117",0,2,0,2,FALSE,TRUE,FALSE,TRUE,"cracker barrel only",235969,785.454,45.6038,300.424,"R",20625,69060,90643,"R",19944,71243,92204,"R",22927,72846,99208,"R",33268,79700,114950,"R",33087,79666,114043
"01119",0,0,0,0,FALSE,FALSE,FALSE,FALSE,"neither",11607,903.826,21.7569,12.8421,"D",5264,1731,7020,"D",5420,1585,7025,"D",4739,1581,6391,"D",4648,1598,6291,"D",3725,1542,5297
"01121",0,0,0,0,FALSE,FALSE,FALSE,FALSE,"neither",81375,736.818,16.6028,110.441,"R",13779,20112,34204,"R",13878,19217,33317,"R",12108,20596,33218,"R",13138,22235,35663,"R",10898,22100,33175
"01123",0,0,0,0,FALSE,FALSE,FALSE,FALSE,"neither",40699,716.531,18.1514,56.8001,"R",6063,13116,19311,"R",6252,12303,18668,"R",5271,12967,18504,"R",5859,14963,20991,"R",4975,14884,19980
"01125",0,1,0,1,FALSE,TRUE,FALSE,TRUE,"cracker barrel only",241212,1320.86,30.8765,182.618,"R",32796,45405,78912,"R",32003,45703,78495,"R",31746,47701,81708,"R",37765,51117,90172,"R",33399,50724,84879
"01127",0,1,0,1,FALSE,TRUE,FALSE,TRUE,"cracker barrel only",65260,791.031,15.289,82.4999,"R",7420,20722,28652,"R",6551,21633,28497,"R",4486,24208,29243,"R",4834,26002,31170,"R",4102,25464,29747
"01129",0,0,0,0,FALSE,FALSE,FALSE,FALSE,"neither",15018,1080.26,14.219,13.9023,"R",3067,5654,8775,"R",2971,5749,8761,"R",2366,6031,8492,"R",2258,6564,8876,"R",1863,6534,8430
"01131",0,0,0,0,FALSE,FALSE,FALSE,FALSE,"neither",9865,887.858,11.6141,11.111,"D",4612,1868,6494,"D",4867,1676,6547,"D",4329,1737,6095,"D",4048,1833,5903,"D",3449,1793,5260
"01133",0,0,0,0,FALSE,FALSE,FALSE,FALSE,"neither",23869,612.999,13.8252,38.9381,"R",1757,8103,10031,"R",1286,8310,9712,"R",871,9225,10255,"R",974,10195,11284,"R",884,10191,11129
"04001",0,0,0,0,FALSE,FALSE,FALSE,FALSE,"neither",64800,11198.3,13.7826,5.78659,"D",15390,8551,24262,"D",16833,8198,25465,"D",12196,5315,18659,"D",23293,11442,35183,"D",18872,12795,32019
"04003",0,0,0,0,FALSE,FALSE,FALSE,FALSE,"neither",125773,6209.86,26.6962,20.2537,"R",18943,29026,48820,"R",16223,26742,43776,"R",15291,25036,43147,"R",23732,35557,60473,"R",22296,35936,58923
"04005",1,1,1,1,TRUE,TRUE,TRUE,TRUE,"both",145161,18616.4,39.5932,7.7975,"D",31433,22186,54344,"D",26316,19368,46746,"D",25308,16573,44929,"D",44698,27052,73346,"D",41504,27576,70067
"04007",0,0,0,0,FALSE,FALSE,FALSE,FALSE,"neither",54073,4757.58,18.0853,11.3657,"R",7884,14095,22333,"R",6650,11525,18477,"R",6746,13672,21398,"R",8943,18377,27678,"R",8504,18901,27648
"04009",0,0,0,0,FALSE,FALSE,FALSE,FALSE,"neither",40242,4621.88,13.9521,8.70685,"R",3487,8376,12007,"R",3608,8076,11854,"R",3301,8025,11939,"R",4034,10749,14996,"R",3867,11177,15183
"04011",0,0,0,0,FALSE,FALSE,FALSE,FALSE,"neither",9410,1842.84,16.6724,5.10625,"R",1165,1712,2913,"R",1310,1590,2972,"R",1092,1892,3243,"R",1182,2433,3688,"R",954,2308,3308
"04012",0,0,0,0,FALSE,FALSE,FALSE,FALSE,"neither",16992,4496.58,12.3825,3.77887,"R",1929,3509,5552,"R",1619,3205,4922,"R",1318,3381,4931,"R",2236,5129,7460,"R",2101,5470,7624
"04013",6,9,6,9,TRUE,TRUE,TRUE,TRUE,"both",4673096,9202.02,34.9849,507.834,"R",602166,746448,1364962,"R",512008,654835,1187008,"R",549040,590465,1201934,"D",1040774,995665,2069475,"R",980016,1051531,2053945
"04015",0,1,0,1,FALSE,TRUE,FALSE,TRUE,"cracker barrel only",226479,13332.1,14.4063,16.9875,"R",22092,44333,67605,"R",18324,46442,65949,"R",16485,54656,74189,"R",24831,78535,104705,"R",24081,85683,110450
"04017",0,0,0,0,FALSE,FALSE,FALSE,FALSE,"neither",109516,9949.5,17.2908,11.0072,"R",15579,19761,35800,"R",16157,19155,35775,"R",15362,18165,35409,"R",23383,27657,51783,"R",20754,29480,50706
"04019",3,1,3,1,TRUE,TRUE,TRUE,TRUE,"both",1080149,9188.68,34.9841,117.552,"D",206254,182406,393428,"D",183470,162927,351817,"D",195649,147019,360762,"D",304981,207758,520735,"D",292450,214669,513176
"04021",0,1,0,1,FALSE,TRUE,FALSE,TRUE,"cracker barrel only",513862,5366.68,21.4048,95.7505,"R",44254,59421,104883,"R",41428,58947,102139,"R",35737,53857,93805,"R",75106,107077,185037,"R",80656,126926,209552
"04023",0,0,0,0,FALSE,FALSE,FALSE,FALSE,"neither",50508,1236.26,23.5032,40.8555,"D",8683,4518,13303,"D",9486,4235,13894,"D",10684,3650,14926,"D",13138,6194,19561,"D",11265,7699,19121
"04025",1,1,1,1,TRUE,TRUE,TRUE,TRUE,"both",252013,8122.93,28.6798,31.0249,"R",36889,61192,99648,"R",32624,62385,96790,"R",29705,58862,92780,"R",49602,91527,143280,"R",48717,99346,149402
"04027",0,1,0,1,FALSE,TRUE,FALSE,TRUE,"cracker barrel only",220310,5513.82,16.4236,39.956,"R",18559,24577,43615,"R",14025,19500,33935,"R",18336,20586,40759,"R",32210,36534,69926,"R",26823,40745,68195
"05001",0,0,0,0,FALSE,FALSE,FALSE,FALSE,"neither",16050,992.14,15.7793,16.1772,"R",2619,4185,6978,"R",2454,3892,6488,"R",1939,3825,6167,"R",1818,4304,6292,"R",1503,3951,5547
"05003",0,0,0,0,FALSE,FALSE,FALSE,FALSE,"neither",17984,925.492,11.5792,19.4318,"R",2976,5406,8642,"R",2855,4866,7915,"R",2408,5338,8027,"R",2125,5548,7926,"R",1774,5145,7030
"05005",0,0,0,0,FALSE,FALSE,FALSE,FALSE,"neither",43007,553.931,18.1602,77.6396,"R",6539,12852,19981,"R",5172,13688,19339,"R",4163,14655,19572,"R",4635,15836,21007,"R",4341,16253,20954
"05007",1,1,1,1,TRUE,TRUE,TRUE,TRUE,"both",321566,847.733,35.508,379.325,"R",23331,51124,76073,"R",22144,53477,77525,"R",27894,60751,94262,"R",42249,73965,119912,"R",45231,79907,128595
"05009",0,0,0,0,FALSE,FALSE,FALSE,FALSE,"neither",38636,589.723,16.6299,65.5155,"R",4435,10575,15474,"R",3762,11143,15363,"R",2925,12225,15912,"R",3064,13652,17114,"R",2854,13968,17112
"05011",0,0,0,0,FALSE,FALSE,FALSE,FALSE,"neither",9935,649.167,12.5405,15.3042,"R",1680,2262,4041,"R",1447,2118,3634,"R",1317,2163,3617,"R",1214,2335,3654,"R",961,2213,3209
"05013",0,0,0,0,FALSE,FALSE,FALSE,FALSE,"neither",4690,628.601,12.5361,7.46101,"R",691,1462,2217,"R",660,1458,2174,"R",636,1554,2250,"R",479,1636,2182,"R",379,1674,2092
"05015",0,0,0,0,FALSE,FALSE,FALSE,FALSE,"neither",28968,629.928,21.442,45.9862,"R",4172,6083,10579,"R",3691,6121,10172,"R",3334,6773,10656,"R",4023,7424,11797,"R",3812,7470,11538
"05017",0,0,0,0,FALSE,FALSE,FALSE,FALSE,"neither",9272,636.978,17.6221,14.5562,"D",3043,2119,5208,"D",2649,1670,4361,"D",2350,1716,4149,"D",2260,1752,4103,"D",1796,1658,3490
"05019",0,2,0,2,FALSE,TRUE,FALSE,TRUE,"cracker barrel only",20920,865.971,26.4488,24.1579,"R",4267,4608,9094,"R",3808,4343,8406,"R",3606,4398,8365,"R",3438,4616,8395,"R",2959,4526,7657
"05021",0,0,0,0,FALSE,FALSE,FALSE,FALSE,"neither",14112,639.224,15.3839,22.0768,"R",2244,3032,5511,"R",1738,3225,5110,"R",1999,3779,5978,"R",962,4086,5183,"R",907,3968,4967
"05023",0,0,0,0,FALSE,FALSE,FALSE,FALSE,"neither",25646,553.959,17.1878,46.2958,"R",2951,7962,11338,"R",2618,8691,11643,"R",2101,9454,11968,"R",1988,10328,12680,"R",1941,10595,12739
"05025",0,0,0,0,FALSE,FALSE,FALSE,FALSE,"neither",7367,597.91,15.8692,12.3213,"R",911,2451,3505,"R",845,2313,3266,"R",723,2460,3299,"R",651,2867,3600,"R",524,2804,3374
"05027",0,0,0,0,FALSE,FALSE,FALSE,FALSE,"neither",22024,766.065,18.9865,28.7495,"R",3554,5861,9558,"R",3557,5790,9455,"R",3140,5456,8837,"R",2814,5500,8616,"R",2466,5367,7940
"05029",0,0,0,0,FALSE,FALSE,FALSE,FALSE,"neither",21422,551.924,19.1466,38.8133,"R",3149,4691,8138,"R",3003,4511,7724,"R",2655,4844,7837,"R",2615,5694,8685,"R",2449,5893,8541
"05031",0,1,0,1,FALSE,TRUE,FALSE,TRUE,"cracker barrel only",115852,707.166,28.2061,163.826,"R",11294,18881,30968,"R",10351,20044,31207,"R",10474,22798,34968,"R",11921,25558,38511,"R",11210,25152,37242
"05033",0,1,0,1,FALSE,TRUE,FALSE,TRUE,"cracker barrel only",62258,595.269,20.3173,104.588,"R",5238,14688,20532,"R",4872,15125,20562,"R",4476,16655,22155,"R",4959,18607,24091,"R",4753,18615,23834
"05035",0,1,0,1,FALSE,TRUE,FALSE,TRUE,"cracker barrel only",46633,611.812,17.6272,76.2211,"D",10330,7650,18255,"D",9092,6192,15513,"D",8368,6953,15798,"D",8514,7333,16367,"D",7362,7028,14681
