"key","value","note"
"scan_date","2026-08-13","the day every address was requested"
"n_addresses","6","archives probed"
"n_probes","12","requests made, two clients per address"
"n_open","2","archives that answered both clients with the data"
"n_walled","4","that put a bot wall in front of at least one"
"n_wall_kinds","2","distinct wall technologies among them"
"wall_names","AWS WAF and Cloudflare","which ones"
"n_403","2","archives that refuse with an error code"
"n_202","2","that refuse with a success code"
"bytes_202","2071","bytes of challenge page served under that success code"
"n_disagree","1","addresses that answered the two clients differently"
"disagree_archive","ICPSR","the archive that did so"
"disagree_curl","403","what curl was told"
"disagree_urllib","200","what Python was told, with identical headers"
"disagree_bytes","74193","bytes the client that got through received"
"dv_datasets","2","Dataverse datasets probed"
"dv_walled","2","of them behind the wall"
"gss_bytes","47562980","bytes the GSS hands any client with no gate at all"
