"archive","what","curl","urllib","wall","max_bytes","open"
"CPS (Census Bureau)","the voting supplement table itself","200","200","",43643,TRUE
"GSS (NORC)","the cumulative file itself","200","200","",47562980,TRUE
"ANES","the cumulative file's download page","403","403","Cloudflare",5965,FALSE
"CES (Harvard Dataverse)","the dataset's metadata API","202","202","AWS WAF",2071,FALSE
"Harvard Dataverse, another dataset","a second dataset's metadata API","202","202","AWS WAF",2071,FALSE
"ICPSR","a study's catalogue page","403","200","Cloudflare",74193,FALSE
