"vote","rvweight","lvweight","educ4","race4","race_said","party3","age4","turnout3","region5"
NA,1.0319,0.9764,"Bachelor's","White","White","Other","35-49","High","Southeast"
"Clinton",0.9211,0.9147,"Postgraduate","White","White","Republican","50-64","High","Southwest"
"Clinton",0.7052,0.6803,"Postgraduate","Hispanic","White","Democratic","35-49","High","Southwest"
"Clinton",0.9305,0.9242,"Bachelor's","White","White","Other","65+","High","Bay Area"
"Trump",1.3168,1.2663,"HS or less","White","White","Republican","65+","High","Bay Area"
"Clinton",1.0417,0.542,"Some college","Black","Black","Other","18-34","Low","North/Panhandle"
NA,0.7945,0.6076,"Postgraduate","White","White","Other","65+","Middle","Southwest"
"Trump",1.2517,1.1952,"Some college","White","White","Republican","50-64","High","Bay Area"
"Clinton",0.83,0.7802,"Some college","Other","White","Democratic","65+","High","Southeast"
"Clinton",1.0406,0.5415,"Some college","White","White","Democratic","18-34","Low","North/Panhandle"
"Trump",0.9935,0.9868,"Some college","Hispanic","Other","Republican","35-49","High","Bay Area"
"Clinton",0.7789,0.7737,"Bachelor's","Black","Black","Democratic","50-64","High","North/Panhandle"
"Clinton",0.741,0.7364,"Some college","White","White","Democratic","50-64","High","Southwest"
NA,0.9254,0.8649,"Bachelor's","White","White","Democratic","18-34","High","Bay Area"
"Clinton",1.3683,0.8413,"Bachelor's","Hispanic","Other","Democratic","35-49","Low","Central"
"Clinton",0.9531,0.5988,"Some college","Other","White","Republican","18-34","Low","North/Panhandle"
"Clinton",0.8165,0.8098,"Bachelor's","White","White","Democratic","18-34","High","Southwest"
"Clinton",0.623,0.5234,"Some college","White","White","Democratic","18-34","Middle","Bay Area"
"Clinton",0.8194,0.7856,"Bachelor's","White","White","Democratic","50-64","High","North/Panhandle"
"Trump",0.7139,0.5851,"Postgraduate","White","White","Other","50-64","Middle","Bay Area"
"Clinton",0.8216,0.6714,"HS or less","Black","Black","Democratic","50-64","Middle","Southeast"
"Trump",1.6425,0.9919,"Some college","White","White","Republican","18-34","Low","Central"
"Clinton",0.8582,0.8258,"Some college","Black","Black","Democratic","18-34","High","North/Panhandle"
"Clinton",0.9102,0.7432,"Some college","White","White","Other","50-64","Middle","Southeast"
NA,0.6735,0.3504,"Bachelor's","Other","Other","Other","18-34","Low","North/Panhandle"
"Trump",1.4654,0.8928,"HS or less","White","White","Other","35-49","Low","Bay Area"
"Trump",0.7182,0.5722,"Bachelor's","Black","Black","Republican","18-34","Middle","North/Panhandle"
"Clinton",0.793,0.7525,"Bachelor's","White","White","Other","18-34","High","North/Panhandle"
"Clinton",0.9837,0.6112,"Some college","Hispanic","White","Democratic","18-34","Low","Southeast"
"Trump",0.6561,0.5094,"Bachelor's","White","White","Other","18-34","Middle","Bay Area"
"Trump",0.8496,0.8447,"HS or less","White","White","Republican","50-64","High","North/Panhandle"
"Trump",1.8154,1.1823,"Bachelor's","White","White","Other","50-64","Low","Central"
NA,0.8216,0.6994,"Postgraduate","Black","Black","Democratic","35-49","Middle","Southeast"
"Clinton",0.9799,0.973,"Bachelor's","White","Other","Democratic","18-34","High","Southeast"
NA,0.7416,0.5876,"Some college","Hispanic","White","Democratic","65+","Middle","Bay Area"
"Clinton",0.8513,0.6659,"Some college","Black","White","Democratic","18-34","Middle","Bay Area"
"Trump",0.7257,0.5882,"Bachelor's","White","White","Democratic","18-34","Middle","North/Panhandle"
"Trump",1.2933,1.2856,"Bachelor's","White","White","Republican","50-64","High","Central"
"Trump",0.9021,0.7407,"Bachelor's","White","White","Republican","35-49","Middle","North/Panhandle"
"Clinton",0.722,0.6867,"Bachelor's","Other","Other","Democratic","18-34","High","Southeast"
"Clinton",0.8026,0.396,"Some college","Hispanic","White","Democratic","18-34","High","Bay Area"
"Trump",0.8629,0.824,"Postgraduate","White","White","Other","50-64","High","North/Panhandle"
"Clinton",0.7796,0.7764,"Bachelor's","White","White","Democratic","65+","High","Southwest"
"Trump",0.7052,0.6903,"HS or less","Hispanic","White","Democratic","35-49","High","Southwest"
"Trump",1.1618,1.1598,"Some college","White","White","Republican","65+","High","Southwest"
NA,0.9347,0.9325,"Bachelor's","White","White","Democratic","65+","High","Southwest"
"Trump",0.9211,0.9178,"Bachelor's","White","Black","Republican","50-64","High","Southwest"
"Trump",0.8194,0.8015,"Some college","White","White","Democratic","50-64","High","North/Panhandle"
"Trump",1.1044,1.1018,"Bachelor's","White","White","Republican","50-64","High","Southwest"
"Clinton",0.8836,0.8811,"Postgraduate","White","White","Democratic","65+","High","Bay Area"
"Trump",0.9211,0.9173,"Postgraduate","White","White","Republican","35-49","High","Southwest"
"Clinton",0.8885,0.8861,"Bachelor's","White","White","Democratic","50-64","High","Southwest"
"Clinton",1.293,0.9012,"HS or less","White","White","Other","50-64","Low","Southwest"
"Clinton",1.0246,1.0223,"Some college","Black","Black","Democratic","35-49","High","North/Panhandle"
"Trump",0.969,0.965,"Bachelor's","White","White","Republican","65+","High","Southwest"
"Clinton",0.8885,0.8861,"HS or less","White","White","Democratic","50-64","High","Southwest"
NA,1.1748,1.1467,"Postgraduate","White","White","Democratic","35-49","High","Southeast"
"Trump",0.8194,0.817,"HS or less","White","White","Democratic","50-64","High","North/Panhandle"
"Trump",1.0715,1.0694,"Bachelor's","White","White","Republican","65+","High","North/Panhandle"
"Trump",1.0715,1.0489,"HS or less","White","White","Republican","65+","High","North/Panhandle"
"Trump",1.0913,0.6801,"Postgraduate","White","White","Other","18-34","Low","North/Panhandle"
NA,1.1176,0.5155,"Postgraduate","White","Black","Republican","35-49","High","North/Panhandle"
"Clinton",0.8546,0.8515,"HS or less","Black","Black","Democratic","18-34","High","North/Panhandle"
"Trump",1.1176,0.5315,"Bachelor's","White","White","Republican","35-49","High","North/Panhandle"
"Trump",0.8937,0.8908,"Bachelor's","White","White","Republican","65+","High","North/Panhandle"
"Trump",0.9391,0.7993,"Some college","White","White","Other","35-49","Middle","Bay Area"
"Clinton",0.9946,0.1702,"Postgraduate","White","White","Other","35-49","Low","North/Panhandle"
"Clinton",1.301,1.2534,"Some college","Black","Black","Democratic","18-34","High","Central"
"Trump",1.9918,1.2007,"Some college","White","White","Other","18-34","Low","Central"
"Clinton",1.0715,1.0694,"Postgraduate","White","White","Republican","65+","High","North/Panhandle"
"Trump",1.1527,1.1283,"Postgraduate","White","White","Other","65+","High","Central"
NA,1.0957,1.0776,"Some college","White","White","Other","50-64","High","Central"
"Trump",1.6313,1.6256,"HS or less","White","White","Republican","65+","High","Central"
"Trump",1.2933,1.29,"HS or less","White","White","Republican","50-64","High","Central"
NA,1.5126,0.9234,"Some college","White","White","Democratic","65+","Low","Central"
"Clinton",1.1265,1.1241,"Some college","White","White","Democratic","65+","High","Southeast"
"Trump",1.2933,1.2895,"Some college","White","White","Republican","50-64","High","Central"
"Clinton",0.8643,0.7965,"HS or less","Black","Black","Democratic","65+","Middle","Southeast"
"Trump",1.1679,1.1645,"HS or less","White","White","Republican","65+","High","Southeast"
"Trump",1.1102,1.1075,"Some college","White","White","Republican","50-64","High","Southeast"
"Trump",1.1679,1.1654,"Bachelor's","White","White","Republican","65+","High","Southeast"
"Clinton",0.8931,0.8914,"Some college","White","White","Democratic","50-64","High","Southeast"
"Clinton",1.1265,1.1066,"Some college","White","White","Democratic","65+","High","Southeast"
"Clinton",1.0178,0.4861,"Some college","Black","Black","Democratic","50-64","High","Southeast"
NA,1.8393,0.3899,"Some college","White","Refused","Republican","50-64","Low","Southeast"
"Clinton",1.1167,1.1136,"Bachelor's","Black","Black","Democratic","35-49","High","Southeast"
"Clinton",0.791,0.6536,"HS or less","White","White","Democratic","35-49","Middle","Southeast"
"Clinton",0.8931,0.8905,"Postgraduate","White","White","Democratic","35-49","High","Southeast"
"Clinton",0.8643,0.722,"Some college","White","Other","Democratic","35-49","Middle","Southeast"
"Trump",1.1679,1.165,"Postgraduate","White","White","Republican","65+","High","Southeast"
"Clinton",0.7358,0.6591,"Some college","Other","Other","Other","35-49","Middle","Southeast"
"Trump",1.935,1.2372,"Postgraduate","White","White","Republican","65+","Low","Southeast"
"Clinton",0.8931,0.8912,"Some college","White","White","Democratic","50-64","High","Southeast"
"Clinton",0.7438,0.6822,"Bachelor's","White","White","Democratic","35-49","Middle","Bay Area"
"Trump",1.4002,1.3935,"Some college","White","White","Republican","65+","High","Southeast"
"Clinton",1.019,0.9982,"Some college","Hispanic","White","Democratic","35-49","High","Southeast"
"Clinton",0.791,0.6462,"Bachelor's","White","White","Democratic","35-49","Middle","Southeast"
"Clinton",1.0705,0.1639,"Bachelor's","Hispanic","Other","Democratic","50-64","Low","Southeast"
"Clinton",0.7889,0.7871,"Postgraduate","Other","White","Democratic","50-64","High","Southeast"
"Clinton",0.8149,0.8136,"Postgraduate","Hispanic","White","Democratic","65+","High","Southeast"
"Trump",0.8931,0.8718,"Bachelor's","White","White","Democratic","50-64","High","Southeast"
NA,0.581,0.5343,"Postgraduate","White","White","Other","50-64","Middle","North/Panhandle"
"Trump",0.5884,0.4817,"Postgraduate","Other","White","Other","65+","Middle","Southeast"
"Clinton",1.1962,0.7617,"HS or less","Other","Black","Democratic","35-49","Low","Southeast"
"Trump",1.426,0.8868,"Bachelor's","White","White","Other","18-34","Low","Southeast"
"Clinton",0.8527,0.7645,"Some college","Hispanic","Other","Republican","35-49","Middle","Southeast"
NA,0.9493,0.3367,"Some college","Black","Black","Other","35-49","Middle","Southeast"
"Trump",0.9405,0.9221,"Some college","White","White","Other","50-64","High","Southeast"
"Clinton",0.7055,0.5874,"Refused","Other","Black","Other","65+","Middle","Southeast"
NA,1.0708,1.0528,"Some college","White","White","Democratic","50-64","High","Southeast"
"Clinton",1.2368,0.1296,"Some college","Hispanic","Other","Other","35-49","Low","Southeast"
"Clinton",0.9396,0.9134,"Postgraduate","White","White","Democratic","65+","High","Southeast"
"Clinton",0.9468,0.8887,"Postgraduate","White","White","Other","35-49","High","North/Panhandle"
"Clinton",1.5583,1.0777,"Some college","White","White","Other","50-64","Low","Southeast"
"Trump",1.1618,1.1589,"HS or less","White","White","Republican","65+","High","Southwest"
NA,1.2342,0.1588,"Bachelor's","White","White","Democratic","35-49","Low","Southeast"
"Trump",0.969,0.9498,"HS or less","White","White","Republican","65+","High","Southwest"
"Clinton",0.7285,0.7198,"Some college","Hispanic","White","Democratic","50-64","High","Bay Area"
"Trump",1.2117,1.1769,"Bachelor's","White","Other","Republican","18-34","High","Southwest"
"Trump",1.6313,1.6272,"Some college","White","White","Republican","65+","High","Central"
"Clinton",0.7171,0.249,"Some college","Black","Black","Democratic","65+","Middle","Southwest"
"Trump",1.3606,1.3572,"Bachelor's","White","White","Republican","65+","High","Central"
"Trump",1.1044,1.101,"Some college","White","White","Republican","50-64","High","Southwest"
NA,1.2475,1.1982,"Some college","White","White","Democratic","50-64","High","Central"
"Trump",0.8937,0.8918,"Bachelor's","White","White","Republican","65+","High","North/Panhandle"
"Trump",0.8496,0.8469,"Some college","White","White","Republican","50-64","High","North/Panhandle"
"Clinton",0.9055,0.7907,"HS or less","Black","Black","Other","65+","Middle","Southwest"
"Trump",0.6835,0.6726,"HS or less","White","White","Democratic","50-64","High","North/Panhandle"
"Trump",1.3606,1.3342,"HS or less","White","White","Republican","65+","High","Central"
"Trump",0.8496,0.8346,"Some college","White","White","Republican","35-49","High","North/Panhandle"
"Clinton",0.9297,0.817,"Some college","Black","Refused","Republican","35-49","Middle","Southwest"
"Trump",1.1618,1.1594,"HS or less","White","White","Republican","65+","High","Southwest"
NA,1.1454,1.1418,"Bachelor's","White","White","Republican","35-49","High","Bay Area"
"Trump",0.9211,0.9186,"Postgraduate","White","White","Republican","50-64","High","Southwest"
"Trump",0.6299,0.5142,"Postgraduate","White","White","Other","50-64","Middle","Southwest"
"Trump",0.8885,0.8762,"Bachelor's","White","White","Democratic","50-64","High","Southwest"
"Clinton",0.9347,0.9208,"Bachelor's","White","White","Democratic","65+","High","Southwest"
"Clinton",1.2437,0.8095,"Some college","Black","Black","Other","18-34","Low","North/Panhandle"
"Trump",0.8937,0.8912,"HS or less","White","White","Republican","65+","High","North/Panhandle"
"Trump",0.8222,0.7361,"HS or less","White","White","Republican","50-64","Middle","North/Panhandle"
"Trump",0.4873,0.1865,"HS or less","Other","White","Democratic","50-64","Middle","North/Panhandle"
"Clinton",0.8194,0.8168,"Bachelor's","Black","Black","Democratic","65+","High","North/Panhandle"
"Trump",1.0715,1.069,"Some college","White","White","Republican","65+","High","North/Panhandle"
"Clinton",0.9946,0.1737,"Bachelor's","White","White","Other","35-49","Low","North/Panhandle"
"Trump",0.8222,0.7176,"Some college","White","White","Republican","50-64","Middle","North/Panhandle"
"Trump",1.3606,1.3582,"Bachelor's","White","White","Republican","65+","High","Central"
"Clinton",0.6898,0.2823,"HS or less","Black","Black","Democratic","35-49","Middle","North/Panhandle"
"Clinton",0.5036,0.4943,"Postgraduate","Other","White","Democratic","50-64","High","North/Panhandle"
"Trump",0.8937,0.8782,"Some college","White","White","Republican","65+","High","North/Panhandle"
"Trump",1.0186,1.0167,"Refused","White","Refused","Republican","50-64","High","North/Panhandle"
"Clinton",0.9339,0.9321,"Some college","Black","Black","Democratic","50-64","High","North/Panhandle"
"Trump",0.6614,0.588,"Some college","White","White","Democratic","50-64","Middle","North/Panhandle"
"Trump",0.5517,0.479,"HS or less","White","White","Democratic","50-64","Middle","North/Panhandle"
"Trump",0.9021,0.771,"Some college","White","White","Republican","35-49","Middle","North/Panhandle"
NA,0.9021,0.7444,"Postgraduate","White","Black","Republican","18-34","Middle","North/Panhandle"
"Clinton",0.862,0.8604,"Bachelor's","White","White","Democratic","65+","High","North/Panhandle"
"Trump",0.7505,0.7481,"Some college","Other","White","Republican","50-64","High","North/Panhandle"
"Clinton",0.7198,0.7045,"Bachelor's","White","White","Other","50-64","High","North/Panhandle"
"Trump",0.9321,0.9294,"Some college","White","White","Republican","35-49","High","North/Panhandle"
NA,1.4159,0.2962,"Refused","Black","Refused","Democratic","35-49","Low","North/Panhandle"
"Clinton",0.9339,0.919,"Bachelor's","Black","Black","Democratic","50-64","High","North/Panhandle"
NA,0.8496,0.8459,"Some college","White","White","Republican","50-64","High","North/Panhandle"
NA,0.7369,0.3666,"Bachelor's","Hispanic","White","Republican","35-49","High","North/Panhandle"
"Clinton",0.6614,0.5603,"HS or less","Black","Black","Democratic","65+","Middle","North/Panhandle"
