"variable","label","level","as_collected","registered","likely"
"educ4","education","Bachelor's",23.99,24.11,24.62
"educ4","education","HS or less",19.72,19.3,17.3
"educ4","education","Postgraduate",19.61,19.17,20.57
"educ4","education","Refused",1.38,1.29,1.3
"educ4","education","Some college",35.29,36.12,36.21
"race4","race (voter file)","Black",12.69,13.2,11.97
"race4","race (voter file)","Hispanic",17.07,15.2,13.63
"race4","race (voter file)","Other",8.3,6.2,5.53
"race4","race (voter file)","White",61.94,65.4,68.87
"party3","party registration","Democratic",40.95,38.1,38.31
"party3","party registration","Other",27.1,25.8,22.21
"party3","party registration","Republican",31.95,36.1,39.48
"age4","age","18-34",24.68,23.08,18.93
"age4","age","35-49",19.38,19.19,17.94
"age4","age","50-64",29.41,29.03,30.88
"age4","age","65+",26.53,28.7,32.25
"turnout3","turnout history","High",51.21,53.8,63.49
"turnout3","turnout history","Low",14.53,19.2,11.58
"turnout3","turnout history","Middle",34.26,27,24.93
"region5","region","Bay Area",21.22,20.5,20.78
"region5","region","Central",20.07,25.3,25.51
"region5","region","North/Panhandle",22.26,18.5,18.4
"region5","region","Southeast",27.1,27.3,26.34
"region5","region","Southwest",9.34,8.4,8.97
