"scheme","what_it_assumes","margin","leader"
"As collected","that the people who answered are the electorate",9.17,"Clinton"
"Registered voters (Times)","that the electorate looks like Florida's registered voters",4.03,"Clinton"
"Likely voters (Times, published)","that it looks like the Times' model of who turns out",0.64,"Clinton"
"Rebuilt from recovered targets","the same targets, reached by raking rather than by the Times' procedure",-0.36,"Trump"
"Education only","that only the education skew needs fixing",9.32,"Clinton"
"Party registration only","that only the party mix needs fixing",-0.24,"Trump"
"Education and race","that education and race need fixing and nothing else",4.64,"Clinton"
"Everything at once","that all six variables need fixing at once",-0.36,"Trump"
