"key","value","note"
"src_rows","4879","respondents in the whole released file"
"src_cols","34","columns in it"
"n","867","respondents in the September Florida wave"
"n_twoparty","720","of them naming one of the two major candidates"
"n_other","147","who named somebody else, refused, or said they would not vote"
"margin_raw","9.17","Clinton's two-party margin with no weights at all"
"margin_rv","4.03","under the Times' registered-voter weight"
"margin_lv","0.64","under the Times' likely-voter weight -- the published figure"
"clinton_raw","54.58","Clinton's two-party share as collected"
"clinton_lv","50.32","and as published"
"weighting_moves","8.53","points of margin the weighting alone accounts for"
"bach_collected","43.6","percent of the raw sample holding at least a bachelor's degree"
"bach_likely","45.19","and of the electorate the Times weighted to"
"bach_move","1.59","points the weighting moved that share, and in which direction"
"bach_direction","up","whether weighting raised or lowered the college share"
"margin_rebuilt","-0.36","raking the raw sample to the Times' own recovered targets"
"scheme_spread","9.68","points between the widest and narrowest answer these schemes give"
"actual_margin","-1.24","the two-party margin Florida actually produced in November"
"actual_winner","Trump","who carried the state"
"published_error","1.88","points by which the published poll missed, on the two-party margin"
"race_disagree","203","respondents whose voter-file race differs from the race they gave"
"race_disagree_pct","24.7","percent of those who answered the race question"
