"check","passed"
"the wave is the 867 the article is about",TRUE
"both of the Times' own weights are present on every row",TRUE
"educ4 has no missing values to weight around",TRUE
"race4 has no missing values to weight around",TRUE
"party3 has no missing values to weight around",TRUE
"age4 has no missing values to weight around",TRUE
"turnout3 has no missing values to weight around",TRUE
"region5 has no missing values to weight around",TRUE
"the published Clinton +1 reproduces from the released weights",TRUE
"weighting moves the margin by more than five points",TRUE
"the education profile is not left where it was found",TRUE
"the rebuilt weight lands within two points of the published margin",TRUE
"the sibling chapter's state returns are where this expects them",TRUE
"exactly one Florida 2016 row",TRUE
"the poll and the result disagree about who won Florida",TRUE
"the committed respondent file is the whole wave, not a sample",TRUE
"it carries nothing that could identify anybody",TRUE
