"congress","house","senate","total"
1,109,100,209
2,102,52,154
3,69,79,148
4,83,86,169
5,155,202,357
6,96,120,216
7,142,88,230
8,132,150,282
9,158,88,246
10,237,91,328
11,293,167,460
12,314,204,518
13,352,263,615
14,113,189,302
15,106,132,238
16,147,120,267
17,95,91,186
18,94,178,272
19,111,234,345
20,233,238,471
21,273,277,550
22,462,422,884
23,327,229,556
24,459,439,898
25,475,410,885
26,751,334,1085
27,974,822,1796
28,597,305,902
29,642,383,1025
30,478,344,822
31,572,499,1071
32,455,358,813
33,607,546,1153
34,729,449,1178
35,548,702,1250
36,433,607,1040
37,638,801,1439
38,600,598,1198
39,613,501,1114
40,717,716,1433
41,634,742,1376
42,517,803,1320
43,475,420,895
44,328,434,762
45,377,585,962
46,439,570,1009
47,349,986,1335
48,334,428,762
49,306,461,767
50,320,389,709
51,587,526,1113
52,304,209,513
53,373,561,934
54,162,197,359
55,183,381,564
56,149,169,318
57,185,118,303
58,87,92,179
59,136,128,264
60,312,84,396
61,202,268,470
62,262,396,658
63,282,572,854
64,157,406,563
65,266,384,650
66,339,407,746
67,362,751,1113
68,179,235,414
69,114,236,350
70,72,191,263
71,103,436,539
72,123,280,403
73,143,228,371
74,212,193,405
75,158,174,332
76,227,266,493
77,152,192,344
78,156,220,376
79,231,244,475
80,163,248,411
81,275,455,730
82,181,313,494
83,147,271,418
84,149,217,366
85,193,307,500
86,180,422,602
87,240,428,668
88,232,534,766
89,394,497,891
90,478,596,1074
91,443,666,1109
92,649,955,1604
93,1078,1138,2216
94,1273,1311,2584
95,1540,1156,2696
96,1276,1054,2330
97,812,966,1778
98,906,663,1569
99,890,740,1630
100,939,799,1738
101,879,638,1517
102,901,550,1451
103,1094,724,1818
104,1321,919,2240
105,1166,612,1778
106,1209,672,1881
107,990,633,1623
108,1218,675,1893
109,1210,645,1855
110,1865,657,2522
111,1647,696,2343
112,1602,486,2088
113,1202,657,1859
114,1322,502,1824
115,1207,599,1806
116,952,720,1672
117,996,949,1945
118,1235,691,1926
119,643,890,1533
