"band","roll_calls","pct"
"Unanimous -- nobody on the losing side",6520,5.7
"Losing side under 10%",12644,11.1
"Losing side 10-20%",9249,8.1
"Losing side 20-40%",39968,35.2
"Close -- losing side over 40%",45130,39.8
