"year","n","liberal","moderate","conservative","not_placed"
1972,2155,18.6,26.9,26.4,28.2
1974,1550,19.3,28,26.8,25.9
1976,2225,15.9,25.3,26.6,32.3
1978,2284,19.4,26.8,27.1,26.8
1980,1565,16.2,19.6,28.3,35.8
1982,1400,14.6,22.4,27.1,35.9
1984,2229,17.9,23.3,28.6,30.2
1986,2170,17.8,27.8,29.7,24.7
1988,2035,16.4,21.9,31.7,30
1990,1967,16.7,24.5,25.8,33
1992,2480,20.3,23.1,30.2,26.5
1994,1784,15.7,26.8,36,21.5
1996,1712,19.9,23.5,34.3,22.4
1998,1280,19.4,29,31.2,20.5
2000,866,20.7,24.8,32.2,22.3
2002,1497,22.6,22.7,37.8,16.8
2004,1211,19.9,24.5,31.5,24
2008,2318,21.1,22.2,26.9,29.9
2012,5882,25.1,31.1,34,9.9
2016,4270,24.2,20.9,32.2,22.6
2020,8259,30.2,22,33.2,14.6
2024,5451,29.6,21.8,35.5,13.2
